pmid,title,journal,year,drug,disease
37158493,"It's (not just) the cholesterol, stupid! Recent lessons about chronic inflammation and cardiovascular risk.",European journal of preventive cardiology,2023,Clopidogrel,Inflammatory Bowel Disease
30817579,Therapeutic strategies of thromboembolic events in patients with inflammatory bowel diseases: Two case reports.,Medicine,2019,Clopidogrel,Inflammatory Bowel Disease
30480590,Eosinophilic colitis and colonic eosinophilia.,Current opinion in gastroenterology,2019,Clopidogrel,Inflammatory Bowel Disease
30136027,Massive stent thrombosis during active ulcerative colitis: the tricky balance between manifest hemorrhagic and concealed thrombotic risk.,Clinical and experimental medicine,2018,Clopidogrel,Inflammatory Bowel Disease
29606934,Vedolizumab Treatment for Ulcerative Colitis in an Elderly Multimorbid Patient with Hemophilia A.,Case reports in gastroenterology,2017,Clopidogrel,Inflammatory Bowel Disease
28993732,Purinergic Signalling: Therapeutic Developments.,Frontiers in pharmacology,2017,Clopidogrel,Inflammatory Bowel Disease
28840395,Clopidogrel IBS Patients Have Higher Incidence of Gastrointestinal Symptoms Influenced by Age and Gender.,Digestive diseases and sciences,2017,Clopidogrel,Inflammatory Bowel Disease
27998630,Nonsteroidal anti-inflammatory drugs-induced small bowel enteropathy and obscure gastrointestinal bleeding.,Gastroenterologia y hepatologia,2018,Clopidogrel,Inflammatory Bowel Disease
28635889,[Small bowel injuries due to nonsteroidal anti-inflammatory drugs and antiplatelet therapy. Approaches to prevention and treatment].,Terapevticheskii arkhiv,2016,Clopidogrel,Inflammatory Bowel Disease
25446727,"Epidemiology, risk factors and management of cardiovascular diseases in IBD.",Nature reviews. Gastroenterology & hepatology,2015,Clopidogrel,Inflammatory Bowel Disease
25278707,Small-bowel mucosal injuries in low-dose aspirin users with obscure gastrointestinal bleeding.,World journal of gastroenterology,2014,Clopidogrel,Inflammatory Bowel Disease
23248405,Evaluation of anti-inflammatory effect of anti-platelet agent-clopidogrel in experimentally induced inflammatory bowel disease.,Indian journal of pharmacology,2012,Clopidogrel,Inflammatory Bowel Disease
22565604,The effect of antiplatelet therapy in patients with inflammatory bowel disease.,Journal of clinical gastroenterology,2012,Clopidogrel,Inflammatory Bowel Disease
22542153,Prevention of damage induced by aspirin in the GI tract.,Best practice & research. Clinical gastroenterology,2012,Clopidogrel,Inflammatory Bowel Disease
22364132,"Inflammation-induced thrombosis: mechanisms, disease associations and management.",Current pharmaceutical design,2012,Clopidogrel,Inflammatory Bowel Disease
21733786,Late bare-metal stent thrombosis in a patient with Crohn's disease.,Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,2011,Clopidogrel,Inflammatory Bowel Disease
21670664,Recurrent ischemic stroke in a patient with ulcerative colitis and high levels of lipoprotein (a).,Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,2011,Clopidogrel,Inflammatory Bowel Disease
16361039,GIH clinical research update: 2004-2005.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2005,Clopidogrel,Inflammatory Bowel Disease
