pmid,title,journal,year,drug,disease
40334445,Kimura disease: A rare case affecting the inguinal lymph node.,International journal of surgery case reports,2025,Clopidogrel,Tuberculosis
37824341,Arteriovenous thrombosis in a patient with miliary tuberculosis complicated by a left ventricular mass and its treatment.,Journal of infection in developing countries,2023,Clopidogrel,Tuberculosis
37363457,How is ischemic stroke linked to a COVID-19-infected patient different from other cardiovascular risk factors? a case report.,Annals of medicine and surgery (2012),2023,Clopidogrel,Tuberculosis
36944357,Atorvastatin versus Placebo in ICU Patients with COVID-19: Ninety-day Results of the INSPIRATION-S Trial.,Thrombosis and haemostasis,2023,Clopidogrel,Tuberculosis
36653090,PCSK9 Inhibition During the Inflammatory Stage of SARS-CoV-2 Infection.,Journal of the American College of Cardiology,2023,Clopidogrel,Tuberculosis
35152432,Systematic review of drug-drug interactions between rifamycins and anticoagulant and antiplatelet agents and considerations for management.,Pharmacotherapy,2022,Clopidogrel,Tuberculosis
34713782,Analysis of influence of background therapy for comorbidities in the period before infection on the risk of the lethal COVID outcome. Data from the international ACTIV SARS-CoV-2 registry (<<Analysis of chronic non-infectious diseases dynamics after COVID-19 infection in adult patients SARS-CoV-2>>).,Kardiologiia,2021,Clopidogrel,Tuberculosis
33865239,Intermediate-Dose versus Standard-Dose Prophylactic Anticoagulation in Patients with COVID-19 Admitted to the Intensive Care Unit: 90-Day Results from the INSPIRATION Randomized Trial.,Thrombosis and haemostasis,2022,Clopidogrel,Tuberculosis
32992075,Intermediate versus standard-dose prophylactic anticoagulation and statin therapy versus placebo in critically-ill patients with COVID-19: Rationale and design of the INSPIRATION/INSPIRATION-S studies.,Thrombosis research,2020,Clopidogrel,Tuberculosis
29982245,Treatment of Chronic Pulmonary Aspergillosis: Current Standards and Future Perspectives.,Respiration; international review of thoracic diseases,2018,Clopidogrel,Tuberculosis
28029011,Clinical Pharmacogenetic Testing and Application: Laboratory Medicine Clinical Practice Guidelines.,Annals of laboratory medicine,2017,Clopidogrel,Tuberculosis
24352136,A patient with HIV and tuberculosis with diminished clopidogrel response.,International journal of STD & AIDS,2014,Clopidogrel,Tuberculosis
18424580,Drug interaction with anti-mycobacterial treatment as a cause of clopidogrel resistance.,Postgraduate medical journal,2008,Clopidogrel,Tuberculosis
