pmid,title,journal,year,drug,disease
40927932,The Effectiveness and Profitability of Different Antithrombotic Therapy Regimens in Patients with Type 2 Diabetes Mellitus During 1 Year of Follow-Up after an Exacerbation of Coronary Heart Disease According to the Study ORACLE II.,Kardiologiia,2025,Clopidogrel,Type 2 Diabetes
40738464,Anti-thrombotic and glucose lowering therapy in diabetic patients with coronary artery disease undergoing PCI with stent implantation: A prospective multicenter observational study on prescription patterns and clinical outcomes. Baseline inclusion data of the ARTHEMIS registry.,Revista portuguesa de cardiologia : orgao oficial da Sociedade Portuguesa de Cardiologia = Portuguese journal of cardiology : an official journal of the Portuguese Society of Cardiology,2025,Clopidogrel,Type 2 Diabetes
40491648,Acute Ischemic Stroke Secondary to Severe Anemia From Upper Gastrointestinal Bleeding: A Case Report.,Cureus,2025,Clopidogrel,Type 2 Diabetes
40447342,An Observational Study of Cardiovascular Outcomes of Tirzepatide vs Glucagon-Like Peptide-1 Receptor Agonists.,JACC. Advances,2025,Clopidogrel,Type 2 Diabetes
40355973,The relationship between ABO blood types and clopidogrel-related low on-treatment platelet reactivity in patients with coronary artery diseases and type 2 diabetes mellitus: a secondary analysis of a prospective cohort study.,Diabetology & metabolic syndrome,2025,Clopidogrel,Type 2 Diabetes
40064300,Comparative effect of aspirin versus clopidogrel monotherapy on incident type 2 diabetes in patients with atherosclerotic cardiovascular diseases: A target trial emulation study.,Diabetes research and clinical practice,2025,Clopidogrel,Type 2 Diabetes
40041905,Real-time platelet P2Y(12) receptor occupancy as a promising pharmacodynamics biomarker for bridging the gap between PK/PD of clopidogrel therapy.,Acta pharmaceutica Sinica. B,2025,Clopidogrel,Type 2 Diabetes
39985884,"Long-Term, Patient-Level Analysis of Radiofrequency Renal Denervation in the SYMPLICITY Clinical Trial Program.",JACC. Advances,2025,Clopidogrel,Type 2 Diabetes
39961315,Effect of sotagliflozin on major adverse cardiovascular events: a prespecified secondary analysis of the SCORED randomised trial.,The lancet. Diabetes & endocrinology,2025,Clopidogrel,Type 2 Diabetes
39931900,Efficacy and Safety of Dual Antiplatelet Treatment up to 72 Hours in Acute Ischemic Stroke Stratified by Glycemic Status.,Annals of neurology,2025,Clopidogrel,Type 2 Diabetes
39913634,"Risk of Incident Diabetes Related to Lipoprotein(a), LDL Cholesterol, and Their Changes With Alirocumab: Post Hoc Analyses of the ODYSSEY OUTCOMES Randomized Trial.",Diabetes care,2025,Clopidogrel,Type 2 Diabetes
39763313,Comparison of 1-Year Clinical Outcomes Between Ticagrelor Versus Clopidogrel in Type 2 Diabetes Patients After Implantation of Small Diameter Stents.,Anatolian journal of cardiology,2025,Clopidogrel,Type 2 Diabetes
