PMID,Title,Journal,Year
40890873,SGLT2i Dapagliflozin in primary prevention of chemotherapy induced cardiotoxicity in breast cancer patients treated with neo-adjuvant anthracycline-based chemotherapy +/- trastuzumab: rationale and design of the multicenter PROTECT trial.,"Cardio-oncology (London, England)",2025
40427493,Cardio-Renal and Systemic Effects of SGLT2i Dapagliflozin on Short-Term Anthracycline and HER-2-Blocking Agent Therapy-Induced Cardiotoxicity.,"Antioxidants (Basel, Switzerland)",2025
40231513,Exploring SGLT2 Inhibitors' Activity in Breast Cancer: An Overview.,Current topics in medicinal chemistry,2025
40044419,Impact of sodium-glucose cotransporter-2 inhibitors on heart failure outcomes in cancer patients and survivors: a systematic review and meta-analysis.,European journal of preventive cardiology,2025
39882521,A study on the pharmacovigilance of various SGLT-2 inhibitors.,Frontiers in medicine,2024
39177931,SGLT2 inhibition improves PI3Kalpha inhibitor-induced hyperglycemia: findings from preclinical animal models and from patients in the BYLieve and SOLAR-1 trials.,Breast cancer research and treatment,2024
38950839,Exploring the anti-cancer potential of SGLT2 inhibitors in breast cancer treatment in pre-clinical and clinical studies.,European journal of pharmacology,2024
38686050,A comparative in vitro study on the effect of SGLT2 inhibitors on chemosensitivity to doxorubicin in MCF-7 breast cancer cells.,Oncology research,2024
38530620,Sodium-glucose cotransporter 2 inhibitors and cancer: a systematic review and meta-analysis.,Journal of endocrinological investigation,2024
38416196,Exploring the therapeutic potential of SGLT2 inhibitors in cancer treatment: integrating in silico and in vitro investigations.,Naunyn-Schmiedeberg's archives of pharmacology,2024
38237714,Investigation of co-treatment multi-targeting approaches in breast cancer cell lines.,European journal of pharmacology,2024
37549754,Dapagliflozin protects against doxorubicin-induced nephrotoxicity associated with nitric oxide pathway-A translational study.,Free radical biology & medicine,2023
37148547,Sodium-glucose cotransporter 2 inhibitors versus dipeptidyl peptidase 4 inhibitors on new-onset overall cancer in Type 2 diabetes mellitus: A population-based study.,Cancer medicine,2023
36276495,Dapagliflozin induces apoptosis by downregulating cFILP(L) and increasing cFILP(S) instability in Caki-1 cells.,Oncology letters,2022
35595952,A precision medicine approach to metabolic therapy for breast cancer in mice.,Communications biology,2022
34281618,SGLT2 inhibitors as potentially helpful drugs in PI3K inhibitor-induced diabetes: a case report.,Clinical diabetes and endocrinology,2021
33784591,Perturbations of cancer cell metabolism by the antidiabetic drug canagliflozin.,"Neoplasia (New York, N.Y.)",2021
33211168,Dapagliflozin suppresses ER stress and protects doxorubicin-induced cardiotoxicity in breast cancer patients.,Archives of toxicology,2021
33068934,Sodium-glucose co-transporter-2 (SGLT-2) inhibition reduces glucose uptake to induce breast cancer cell growth arrest through AMPK/mTOR pathway.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2020
32704566,The association of sodium-glucose cotransporter 2 inhibitors with cancer: An overview of quantitative systematic reviews.,"Endocrinology, diabetes & metabolism",2020
