PMID,Title,Journal,Year
40467095,"Effect of dapagliflozin on metabolic dysfunction-associated steatohepatitis: multicentre, double blind, randomised, placebo controlled trial.",BMJ (Clinical research ed.),2025
40442985,Pathological Glucose Levels Enhance Entry Factor Expression and Hepatic SARS-CoV-2 Infection.,Journal of cellular and molecular medicine,2025
40350800,Sodium-Glucose Cotransporter-2 Inhibitor Enhances Hepatic Gluconeogenesis and Reduces Lipid Accumulation via AMPK-SIRT1 Activation and Autophagy Induction.,"Endocrinology and metabolism (Seoul, Korea)",2025
40190631,"Unraveling PPARbeta/delta nuclear receptor agonists via a drug-repurposing approach: HTVS-based ligand identification, molecular dynamics, pharmacokinetics, and in vitro anti-steatotic validation.",RSC advances,2025
40184145,Efficacy of dapagliflozin to treat nonalcoholic fatty liver disease in patients with type 2 diabetes: A meta-analysis.,Medicine,2025
40075451,"Dapagliflozin attenuates metabolic dysfunction-associated steatotic liver disease by inhibiting lipid accumulation, inflammation and liver fibrosis.",BMC pharmacology & toxicology,2025
39884573,Efficacy and safety of dapagliflozin compared to pioglitazone in diabetic and non-diabetic patients with non-alcoholic steatohepatitis: A randomized clinical trial.,Clinics and research in hepatology and gastroenterology,2025
39877433,Dapagliflozin treatment decreases visceral and subcutaneous adipose tissue: a systematic review and meta-analysis.,Diabetology international,2025
39720302,Dapagliflozin treatment alleviates fatty liver in patients with type 2 diabetes.,Biomedical reports,2025
39674228,Interdisciplinary perspectives on the co-management of metabolic dysfunction-associated steatotic liver disease and coronary artery disease.,The lancet. Gastroenterology & hepatology,2025
39634912,Impact of Sodium-Glucose Co-Transporter Type-2 Inhibitors on Alanine Aminotransferase Levels in Type-2 Diabetes Patients Having Features of Nonalcoholic Fatty Liver Disease: A Retrospective Cohort Study in Pakistan.,Pakistan journal of medical sciences,2024
39625600,Effects of dapagliflozin on liver steatosis in patients with nonalcoholic fatty liver disease: a randomized controlled trial.,Hepatology international,2025
39294445,"SGLT2 inhibitors ameliorate NAFLD in mice via downregulating PFKFB3, suppressing glycolysis and modulating macrophage polarization.",Acta pharmacologica Sinica,2024
39265364,Sodium-glucose cotransporter 2 inhibitors ameliorate ER stress-induced pro-inflammatory cytokine expression by inhibiting CD36 in NAFLD progression in vitro.,Biochemical and biophysical research communications,2024
39056668,Unlocking Synergistic Hepatoprotection: Dapagliflozin and Silymarin Combination Therapy Modulates Nuclear Erythroid 2-Related Factor 2/Heme Oxygenase-1 Pathway in Carbon Tetrachloride-Induced Hepatotoxicity in Wistar Rats.,Biology,2024
38527558,Dapagliflozin ameliorates hepatic steatosis via suppressing LXRalpha-mediated synthesis of lipids and bile acids.,Biochemical pharmacology,2024
38223613,Therapeutic outcome of dapagliflozin in patients with type 2 diabetes and non-alcoholic fatty liver disease: a meta-analysis of randomized controlled trials.,African health sciences,2023
38158911,[Clinical effectiveness and pharmacokinetics of gliflozin from the point of view of individual genetic characteristics: A review].,Terapevticheskii arkhiv,2023
38127469,Serum thrombospondin-2 level changes with liver stiffness improvement in patients with type 2 diabetes.,Clinical endocrinology,2024
37974258,Comparative effectiveness of multiple different treatment regimens for nonalcoholic fatty liver disease with type 2 diabetes mellitus: a systematic review and Bayesian network meta-analysis of randomised controlled trials.,BMC medicine,2023
