PMID,Title,Journal,Year
40739638,Efficacy and safety of dapagliflozin in patients hospitalized with COVID-19 with and without type 2 diabetes: a prespecified analysis of the DARE-19 randomized trial.,Cardiovascular diabetology,2025
40442985,Pathological Glucose Levels Enhance Entry Factor Expression and Hepatic SARS-CoV-2 Infection.,Journal of cellular and molecular medicine,2025
39250922,"Effect of sodium-glucose co-transporter-2 inhibitors on survival free of organ support in patients hospitalised for COVID-19 (ACTIV-4a): a pragmatic, multicentre, open-label, randomised, controlled, platform trial.",The lancet. Diabetes & endocrinology,2024
37549309,Effect of dapagliflozin on COVID-19 infection and risk of hospitalization.,The Journal of antimicrobial chemotherapy,2023
37220822,Operational challenges and mitigation measures during the COVID-19 pandemic-Lessons from DELIVER.,American heart journal,2023
35483735,Learnings from Throwing Paint at the Wall for COVID-19 with an SGLT2 Inhibitor.,Clinical journal of the American Society of Nephrology : CJASN,2022
35102475,Evaluating the effects of sodium glucose co-transporter -2 inhibitors from a renin-angiotensin-aldosterone system perspective in patients infected with COVID-19: contextualizing findings from the dapagliflozin in respiratory failure in patients with COVID-19 study.,Molecular biology reports,2022
34974611,The year in cardiovascular medicine 2021: heart failure and cardiomyopathies.,European heart journal,2022
34921753,Dapagliflozin in patients with COVID-19: mind the kidneys - Authors' reply.,The lancet. Diabetes & endocrinology,2022
34921752,Dapagliflozin in patients with COVID-19: mind the kidneys.,The lancet. Diabetes & endocrinology,2022
34918477,A year in heart failure: an update of recent findings.,ESC heart failure,2021
34375490,"Analysis of continuous glucose tracking data in people with type 1 diabetes after COVID-19 vaccination reveals unexpected link between immune and metabolic response, augmented by adjunctive oral medication.",International journal of clinical practice,2021
34302746,Dapagliflozin in patients with COVID-19: truth or dare.,The lancet. Diabetes & endocrinology,2021
34000358,Abnormal apelin-ACE2 and SGLT2 signaling contribute to adverse cardiorenal injury in patients with COVID-19.,International journal of cardiology,2021
33933611,Endothelin antagonism and sodium glucose Co-transporter 2 inhibition. A potential combination therapeutic strategy for COVID-19.,Pulmonary pharmacology & therapeutics,2021
33594390,"American Heart Association (AHA) Scientific Sessions 2020 (November 13-17, 2020 - Virtual Meeting).","Drugs of today (Barcelona, Spain : 1998)",2021
33319454,Effects of dapagliflozin on prevention of major clinical events and recovery in patients with respiratory failure because of COVID-19: Design and rationale for the DARE-19 study.,"Diabetes, obesity & metabolism",2021
32900588,"Anti-inflammatory properties of antidiabetic drugs: A ""promised land"" in the COVID-19 era?",Journal of diabetes and its complications,2020
32736592,muLTi-Arm Therapeutic study in pre-ICu patients admitted with Covid-19-Experimental drugs and mechanisms (TACTIC-E): A structured summary of a study protocol for a randomized controlled trial.,Trials,2020
32335366,Can dapagliflozin have a protective effect against COVID-19 infection? A hypothesis.,Diabetes & metabolic syndrome,2020
