pmid,title,journal,year,drug,disease
40713864,A human neuron alzheimer's disease model reveals barriers to senolytic translatability.,Alzheimer's research & therapy,2025,Dasatinib,Alzheimer's
40585083,Integrating GWAS and Transcriptomic Data Using PrediXcan and Multimodal Deep Learning Reveals Genetic Basis and Drug Repositioning Opportunities for Alzheimer's Disease.,medRxiv : the preprint server for health sciences,2025,Dasatinib,Alzheimer's
40274471,Evaluation of exploratory fluid biomarkers from a phase 1 senolytic trial in mild Alzheimer's disease.,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,2025,Dasatinib,Alzheimer's
40159237,Differential senolytic inhibition of normal versus Abeta-associated cholinesterases: implications in aging and Alzheimer's disease.,Aging,2025,Dasatinib,Alzheimer's
40010154,A pilot study of senolytics to improve cognition and mobility in older adults at risk for Alzheimer's disease.,EBioMedicine,2025,Dasatinib,Alzheimer's
39120687,"Senolytic intervention improves cognition, metabolism, and adiposity in female APP(NL)(-F/NL-F) mice.",GeroScience,2025,Dasatinib,Alzheimer's
38496619,Evaluation of Exploratory Fluid Biomarker Results from a Phase 1 Senolytic Trial in Mild Alzheimer's Disease.,Research square,2024,Dasatinib,Alzheimer's
38485080,Senolytics prevent age-associated changes in female mice brain.,Neuroscience letters,2024,Dasatinib,Alzheimer's
38461508,A Need for Refined Senescence Biomarkers and Measures of Senolytics in the Brain.,Journal of Alzheimer's disease : JAD,2024,Dasatinib,Alzheimer's
38365833,Advanced patient-specific microglia cell models for pre-clinical studies in Alzheimer's disease.,Journal of neuroinflammation,2024,Dasatinib,Alzheimer's
38306030,Senescence Targeting Methods Impact Alzheimer's Disease Features in 3xTg Mice.,Journal of Alzheimer's disease : JAD,2024,Dasatinib,Alzheimer's
38168356,"Senolytic Intervention Improves Cognition, Metabolism, and Adiposity in Female APP (NL-F/NL-F) Mice.",bioRxiv : the preprint server for biology,2024,Dasatinib,Alzheimer's
38164616,Pharmacological Targeting of Senescence with Senolytics as a New Therapeutic Strategy for Neurodegeneration.,Molecular pharmacology,2024,Dasatinib,Alzheimer's
37874093,The Critical Role of Biomarkers for Drug Development Targeting the Biology of Aging.,The journal of prevention of Alzheimer's disease,2023,Dasatinib,Alzheimer's
37874084,Translating the Biology of Aging into New Therapeutics for Alzheimer's Disease: Senolytics.,The journal of prevention of Alzheimer's disease,2023,Dasatinib,Alzheimer's
37874082,Editorial: The State of Alzheimer's Research and the Path Forward.,The journal of prevention of Alzheimer's disease,2023,Dasatinib,Alzheimer's
37679434,Senolytic therapy in mild Alzheimer's disease: a phase 1 feasibility trial.,Nature medicine,2023,Dasatinib,Alzheimer's
37450933,Underlying Mechanisms and Treatment of Cellular Senescence-Induced Biological Barrier Interruption and Related Diseases.,Aging and disease,2024,Dasatinib,Alzheimer's
37296266,Sexual dimorphic metabolic and cognitive responses of C57BL/6 mice to Fisetin or Dasatinib and quercetin cocktail oral treatment.,GeroScience,2023,Dasatinib,Alzheimer's
37162971,Senolytic therapy to modulate the progression of Alzheimer's Disease (SToMP-AD) - Outcomes from the first clinical trial of senolytic therapy for Alzheimer's disease.,Research square,2023,Dasatinib,Alzheimer's
36976489,Effect of Nrf2 loss on senescence and cognition of tau-based P301S mice.,GeroScience,2023,Dasatinib,Alzheimer's
40248131,"Rationale and Design of STAMINA: Senolytics To Alleviate Mobility Issues and Neurological Impairments in Aging, A Geroscience Feasibility Study.",Translational medicine of aging,2023,Dasatinib,Alzheimer's
35841237,Editorial: The dawn of a new era of Alzheimer's research and drug development.,The journal of prevention of Alzheimer's disease,2022,Dasatinib,Alzheimer's
35295737,Decoding the Role of Astrocytes in the Entorhinal Cortex in Alzheimer's Disease Using High-Dimensional Single-Nucleus RNA Sequencing Data and Next-Generation Knowledge Discovery Methodologies: Focus on Drugs and Natural Product Remedies for Dementia.,Frontiers in pharmacology,2021,Dasatinib,Alzheimer's
35292270,"Orally-active, clinically-translatable senolytics restore alpha-Klotho in mice and humans.",EBioMedicine,2022,Dasatinib,Alzheimer's
35098970,Senolytic Therapy to Modulate the Progression of Alzheimer's Disease (SToMP-AD): A Pilot Clinical Trial.,The journal of prevention of Alzheimer's disease,2022,Dasatinib,Alzheimer's
34939537,Role of Fyn Kinase Inhibitors in Switching Neuroinflammatory Pathways.,Current medicinal chemistry,2022,Dasatinib,Alzheimer's
34432266,Fyn Kinase Activity and Its Role in Neurodegenerative Disease Pathology: a Potential Universal Target?,Molecular neurobiology,2021,Dasatinib,Alzheimer's
34401216,Cellular Senescence in Idiopathic Pulmonary Fibrosis.,Current molecular biology reports,2021,Dasatinib,Alzheimer's
33941241,Artificial intelligence-based computational framework for drug-target prioritization and inference of novel repositionable drugs for Alzheimer's disease.,Alzheimer's research & therapy,2021,Dasatinib,Alzheimer's
32977842,The VEGF inhibitor vatalanib regulates AD pathology in 5xFAD mice.,Molecular brain,2020,Dasatinib,Alzheimer's
32854855,Cellular senescence in aging and age-related diseases: Implications for neurodegenerative diseases.,International review of neurobiology,2020,Dasatinib,Alzheimer's
32686219,Senolytic drugs: from discovery to translation.,Journal of internal medicine,2020,Dasatinib,Alzheimer's
30936558,Senolytic therapy alleviates Abeta-associated oligodendrocyte progenitor cell senescence and cognitive deficits in an Alzheimer's disease model.,Nature neuroscience,2019,Dasatinib,Alzheimer's
30616998,"Senolytics in idiopathic pulmonary fibrosis: Results from a first-in-human, open-label, pilot study.",EBioMedicine,2019,Dasatinib,Alzheimer's
30126037,Tau protein aggregation is associated with cellular senescence in the brain.,Aging cell,2018,Dasatinib,Alzheimer's
30050035,Oxidation of KCNB1 channels in the human brain and in mouse model of Alzheimer's disease.,Cell death & disease,2018,Dasatinib,Alzheimer's
26630962,Tyrosine Kinase Inhibitor as a new Therapy for Ischemic Stroke and other Neurologic Diseases: is there any Hope for a Better Outcome?,Current neuropharmacology,2015,Dasatinib,Alzheimer's
24217950,Ligand-dependent activation of EphA4 signaling regulates the proteolysis of amyloid precursor protein through a Lyn-mediated pathway.,Molecular neurobiology,2014,Dasatinib,Alzheimer's
22673542,Inhibition of Src kinase activity attenuates amyloid associated microgliosis in a murine model of Alzheimer's disease.,Journal of neuroinflammation,2012,Dasatinib,Alzheimer's
22133278,Amyloid-beta oligomers stimulate microglia through a tyrosine kinase dependent mechanism.,Neurobiology of aging,2012,Dasatinib,Alzheimer's
