pmid,title,journal,year,drug,disease
40748136,Targeting Src tyrosine kinase to enhance radioiodide uptake in breast cancer.,Endocrine-related cancer,2025,Dasatinib,Breast Cancer
40614736,Chemotherapy awakens dormant cancer cells in lung by inducing neutrophil extracellular traps.,Cancer cell,2025,Dasatinib,Breast Cancer
40543550,ARID1A-driven modulation of EZH2 impedes proliferation and enhances senescence in breast cancer cells.,Biochimica et biophysica acta. Gene regulatory mechanisms,2025,Dasatinib,Breast Cancer
40442861,"BCR::ABL1 Tyrosine Kinase Inhibitors During Pregnancy, a Disproportionality Analysis of Vigibase.",Clinical pharmacology and therapeutics,2025,Dasatinib,Breast Cancer
40389522,The adverse effects of chemotherapy on bone mass are not prevented by senolytics.,Scientific reports,2025,Dasatinib,Breast Cancer
40290752,Semi-synthesis and biological activities of heterocyclic compounds containing camphor.,RSC advances,2025,Dasatinib,Breast Cancer
40245935,Design and Optimization of Novel Pyrimidine-Morpholine Hybrids Through Computational Approaches for SRC Kinase Inhibitory Activity.,Drug research,2025,Dasatinib,Breast Cancer
40187703,Nanodiamond-Protein hybrid Nanoparticles: LHRH receptor targeted and co-delivery of doxorubicin and dasatinib for triple negative breast cancer therapy.,International journal of pharmaceutics,2025,Dasatinib,Breast Cancer
40074422,Exploration of crucial stromal risk genes associated with prognostic significance and chemotherapeutic opportunities in invasive ductal breast carcinoma.,"Journal, genetic engineering & biotechnology",2025,Dasatinib,Breast Cancer
40054628,Stimuli-responsive polymer-dasatinib prodrug to reprogram cancer-associated fibroblasts for boosted immunotherapy.,Journal of controlled release : official journal of the Controlled Release Society,2025,Dasatinib,Breast Cancer
39962816,YIGSR Functionalized Hybrid Exosomes Spatially Target Dasatinib to Laminin Receptors for Precision Therapy in Breast Cancer.,Advanced healthcare materials,2025,Dasatinib,Breast Cancer
39933530,Biguanides antithetically regulate tumor properties by the dose-dependent mitochondrial reprogramming-driven c-Src pathway.,Cell reports. Medicine,2025,Dasatinib,Breast Cancer
39744964,Co-delivery of dasatinib and miR-30a by liposomes targeting neuropilin-1 receptors for triple-negative breast cancer therapy.,Journal of materials chemistry. B,2025,Dasatinib,Breast Cancer
39704172,YAP/TAZ mediates resistance to KRAS inhibitors through inhibiting proapoptosis and activating the SLC7A5/mTOR axis.,JCI insight,2024,Dasatinib,Breast Cancer
39655193,Coagulation factor II thrombin receptor as a promising biomarker in breast cancer management.,Open life sciences,2024,Dasatinib,Breast Cancer
39644231,YAP/TAZ Inhibitor-Based Drug Delivery System for Selective Tumor Accumulation and Cancer Combination Therapy.,Biomacromolecules,2025,Dasatinib,Breast Cancer
39560680,"""Development, optimization, and characterization of Eudragit-based nanoparticles for Dasatinib delivery"".",Journal of biomaterials science. Polymer edition,2025,Dasatinib,Breast Cancer
39478150,Reciprocal inhibition of NOTCH and SOX2 shapes tumor cell plasticity and therapeutic escape in triple-negative breast cancer.,EMBO molecular medicine,2024,Dasatinib,Breast Cancer
39413608,"Quantum chemical treatment, electronic energy in various solvents, spectroscopic, molecular docking and dynamic simulation studies of 2-amino-N-(2-chloro-6-methylphenyl)thiazole-5-carboxamide: A core of anticancer drug.","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2025,Dasatinib,Breast Cancer
39327614,A SRC-slug-TGFbeta2 signaling axis drives poor outcomes in triple-negative breast cancers.,Cell communication and signaling : CCS,2024,Dasatinib,Breast Cancer
39287183,"Solid Self Nano-Emulsifying Drug Delivery System of Dasatinib: Optimization, In-vitro, Ex-vivo and In-vivo assessment.",Therapeutic delivery,2024,Dasatinib,Breast Cancer
39275964,"Signaling effect, combinations, and clinical applications of triciribine.","Journal of chemotherapy (Florence, Italy)",2024,Dasatinib,Breast Cancer
39245084,"Manifesting the Dasatinib-gallic acid co-amorphous system to augment anticancer potential: Physicochemical characterization, in silico molecular simulation, ex vivo permeability, and in vitro efficacy.",International journal of pharmaceutics,2024,Dasatinib,Breast Cancer
39240687,Copper and Manganese Complexes of Pyridinecarboxaldimine Induce Oxidative Cell Death in Cancer Cells.,ACS applied bio materials,2024,Dasatinib,Breast Cancer
39191884,Bioinformatics and computational studies of chabamide F and chabamide G for breast cancer and their probable mechanisms of action.,Scientific reports,2024,Dasatinib,Breast Cancer
39191139,Neratinib plus dasatinib is highly synergistic in HER2-positive breast cancer in vitro and in vivo.,Translational oncology,2024,Dasatinib,Breast Cancer
39170071,"Evaluation of the effects of a dasatinib-containing, self-emulsifying, drug delivery system on HT29 and SW420 human colorectal carcinoma cells, and MCF7 human breast adenocarcinoma cells.",Journal of Taibah University Medical Sciences,2024,Dasatinib,Breast Cancer
38974648,Evaluating dasatinib nanocarrier: Physicochemical properties and cytotoxicity activity on cancer cells.,International journal of health sciences,2024,Dasatinib,Breast Cancer
38819023,Multiaction Pt(IV) Prodrugs Releasing Cisplatin and Dasatinib Are Potent Anticancer and Anti-Invasive Agents Displaying Synergism between the Two Drugs.,Journal of medicinal chemistry,2024,Dasatinib,Breast Cancer
38809025,Discovery of potent CSK inhibitors through integrated virtual screening and molecular dynamic simulation.,Archiv der Pharmazie,2024,Dasatinib,Breast Cancer
38796738,Senolytic Therapy Enabled by Senescent Cell-Sensitive Biomimetic Melanin Nano-Senolytics.,Advanced healthcare materials,2024,Dasatinib,Breast Cancer
38705320,Co-assembly of cisplatin and dasatinib in hyaluronan nanogel to combat triple negative breast cancer with reduced side effects.,International journal of biological macromolecules,2024,Dasatinib,Breast Cancer
38514720,The immune regulation and therapeutic potential of the SMAD gene family in breast cancer.,Scientific reports,2024,Dasatinib,Breast Cancer
38469918,Dendritic Polymer-Based Nanomedicines Remodel the Tumor Stroma: Improve Drug Penetration and Enhance Antitumor Immune Response.,"Advanced materials (Deerfield Beach, Fla.)",2024,Dasatinib,Breast Cancer
38431613,Targeting HER2-positive breast cancer cells by a combination of dasatinib and BMS-202: Insight into the molecular pathways.,Cancer cell international,2024,Dasatinib,Breast Cancer
38393520,Exploring the potential of EphA2 receptor signaling pathway: a comprehensive review in cancer treatment.,Molecular biology reports,2024,Dasatinib,Breast Cancer
38357786,TPX2 overexpression promotes sensitivity to dasatinib in breast cancer by activating YAP transcriptional signaling.,Molecular oncology,2024,Dasatinib,Breast Cancer
38347536,Superbinder based phosphoproteomic landscape revealed PRKCD_pY313 mediates the activation of Src and p38 MAPK to promote TNBC progression.,Cell communication and signaling : CCS,2024,Dasatinib,Breast Cancer
38291086,Bioinformatics analysis identifies coagulation factor II receptor as a potential biomarker in stomach adenocarcinoma.,Scientific reports,2024,Dasatinib,Breast Cancer
38185340,"Dasatinib loaded mucoadhesive lecithin-chitosan hybrid nanoparticles for its augmented oral delivery, in-vitro efficacy and safety.",International journal of pharmaceutics,2024,Dasatinib,Breast Cancer
