pmid,title,journal,year,drug,disease
40810715,Cardiovascular Disease in Patients With Chronic Myeloid Leukemia: JACC: CardioOncology State-of-the-Art Review.,JACC. CardioOncology,2025,Dasatinib,Hypertension
40745453,Telomere Dynamics in Cardiovascular Aging: From Molecular Mechanisms to Precision Medicine.,Cardiology in review,2025,Dasatinib,Hypertension
40696668,Pulmonary arterial hypertension caused by coadministration of dasatinib and voriconazole: A case report and literature review.,Medicine,2025,Dasatinib,Hypertension
40688241,Dasatinib Induced Pulmonary Hypertension and Third Space Effusion: A Case Series and Literature Review.,Hospital pharmacy,2025,Dasatinib,Hypertension
40573218,Dasatinib and Quercetin Combination Increased Kidney Damage in Acute Folic Acid-Induced Experimental Nephropathy.,"Pharmaceuticals (Basel, Switzerland)",2025,Dasatinib,Hypertension
40470146,Reversible pulmonary arterial hypertension induced by bosutinib: a case report.,ERJ open research,2025,Dasatinib,Hypertension
40329356,Exercise hemodynamic evaluation in the management of dasatinib-related pulmonary arterial hypertension: a case report.,Journal of medical case reports,2025,Dasatinib,Hypertension
40262926,Dasatinib-induced pulmonary hypertension presenting with hoarseness: Ortner's syndrome.,BMJ case reports,2025,Dasatinib,Hypertension
40228166,Identification of Nitric Oxide Donating Dasatinib Derivatives with Intraocular Pressure Lowering and Senolytic Activities.,Journal of medicinal chemistry,2025,Dasatinib,Hypertension
40065794,Dasatinib-Induced Pulmonary Arterial Hypertension in Chronic Myeloid Leukaemia: A Case Report and Literature Review.,Respirology case reports,2025,Dasatinib,Hypertension
39967609,Dasatinib-induced renal (or chronic) thrombotic microangiopathy in a patient with chronic myeloid leukemia: A case report.,SAGE open medical case reports,2025,Dasatinib,Hypertension
39833041,"Low-dose dasatinib-induced chylothorax, pulmonary hypertension, and pericardial effusion in a patient with chronic myeloid leukemia: A case report and literature review.",Medicine,2025,Dasatinib,Hypertension
39684570,Searching for Old and New Small-Molecule Protein Kinase Inhibitors as Effective Treatments in Pulmonary Hypertension-A Systematic Review.,International journal of molecular sciences,2024,Dasatinib,Hypertension
39557194,Senescent cell depletion alleviates obesity-related metabolic and cardiac disorders.,Molecular metabolism,2025,Dasatinib,Hypertension
38883633,Integrative bioinformatics approach for identifying key genes and potential therapeutic targets in the concurrent manifestation of hypertrophic cardiomyopathy and pulmonary hypertension.,Journal of thoracic disease,2024,Dasatinib,Hypertension
