pmid,title,journal,year,drug,disease
40631209,Elimination of senescent cells with senolytic host-directed therapy reduces tuberculosis progression in mice.,bioRxiv : the preprint server for biology,2025,Dasatinib,Tuberculosis
34099212,Case reports of chronic myeloid leukemia and tuberculosis: Is imatinib the link between the two?,The Indian journal of tuberculosis,2021,Dasatinib,Tuberculosis
32874590,Drug-induced interstitial lung disease associated with dasatinib coinciding with active tuberculosis.,Respirology case reports,2020,Dasatinib,Tuberculosis
31246494,"Pleural Diseases: Pleurodesis via Indwelling Pleural Catheter, Dasatinib-induced Pleural Effusion, and IL-27 in Tuberculosis Pleural Effusion.",American journal of respiratory and critical care medicine,2019,Dasatinib,Tuberculosis
30242834,The tyrosine kinase inhibitor dasatinib reduces the growth of intracellular Mycobacterium tuberculosis despite impairing T-cell function.,European journal of immunology,2018,Dasatinib,Tuberculosis
29454849,ESCMID Study Group for Infections in Compromised Hosts (ESGICH) Consensus Document on the safety of targeted and biological therapies: an infectious diseases perspective (Intracellular signaling pathways: tyrosine kinase and mTOR inhibitors).,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2018,Dasatinib,Tuberculosis
29388066,Infections in patients on BCR-ABL tyrosine kinase inhibitor therapy: cases and review of the literature.,Infection,2018,Dasatinib,Tuberculosis
28199133,Endobronchial Lesions of Mycobacterium abscessus Infection in an Immunocompromised Patient.,American journal of respiratory and critical care medicine,2017,Dasatinib,Tuberculosis
25556390,Diseases at the crossroads: chronic myelogenous leukemia and tuberculosis.,Archives of Iranian medicine,2015,Dasatinib,Tuberculosis
24351780,Off-Target Effects of BCR-ABL and JAK2 Inhibitors.,American journal of clinical oncology,2016,Dasatinib,Tuberculosis
