PMID,Title,Journal,Year
40902303,Denosumab versus zoledronic acid in metastatic breast cancer: A retrospective observational analysis of 24-dose regimens on analgesia and skeletal-related event prevention.,"Breast (Edinburgh, Scotland)",2025
40886410,Changes in femoral 3D-DXA cortical and trabecular indices in postmenopausal women with early breast cancer treated with aromatase inhibitors: a prospective study of the B-ABLE cohort.,Maturitas,2025
40873550,Role and mechanism of botanical drugs and their metabolites in osteoporosis: new strategies for clinical application.,Frontiers in pharmacology,2025
40862790,Bone Health and Endocrine Therapy with Ovarian Function Suppression in Premenopausal Early Breast Cancer: A Real-Life Monocenter Experience with Denosumab.,"Current oncology (Toronto, Ont.)",2025
40837365,"Comparison of the effects of zoledronic acid versus denosumab on bone metabolism, inflammatory response, and immunoglobulins in breast cancer patients with bone metastases.",Journal of medical biochemistry,2025
40812966,Effects of anti-RANKL and anti-PD-1 antibodies on cancer-induced osteolysis in mice.,Journal of oral biosciences,2025
40803152,Clinical and economic research of bone modifiers as adjuvant therapy for early breast cancer: A systematic literature review.,"Breast (Edinburgh, Scotland)",2025
40756959,Trastuzumab deruxtecan in patients with bone metastases from HR+/HER2-low breast cancer: efficacy enhanced by denosumab.,Translational breast cancer research : a journal focusing on translational research in breast cancer,2025
40726588,"Management of aromatase inhibitor-associated bone loss (AIBL) in women with hormone-sensitive breast cancer: An updated joint position statement of the IOF, CABS, ECTS, IEG, ESCEO, IMS, and SIOG.",Journal of bone oncology,2025
40701406,"Comparing the time spent in clinic by patients receiving, subcutaneous and intravenous formulations of cancer drugs: A pilot study.",Journal of cancer policy,2025
40653165,Comparison Between Alendronate and Denosumab in Preventing Bone Loss and Lowering Fracture Risk Related to Adjuvant Endocrine Therapy for Breast Cancer: Real-World Data From a Third-Level Center Experience.,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,2025
40647539,Denosumab Dosage and Tooth Extraction Predict Medication-Related Osteonecrosis of the Jaw in Patients with Breast Cancer and Bone Metastases.,Cancers,2025
40642487,"Comparison of efficacy and safety of a proposed biosimilar QL1206 with reference denosumab in patients with bone metastasis from breast cancer: A subgroup analysis of a randomized, double-blinded phase III study.",Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,2025
40599862,Update in the clinical utilization of chemoprevention for breast cancer: a narrative review.,Frontiers in oncology,2025
40589671,Atypical Femoral Fracture During Long-Term Treatment With Denosumab in Patients With Metastatic Bone Tumors.,Cureus,2025
40549044,Efficacy and immune-related adverse events of pembrolizumab with bone-modifying agents in female patients with breast cancer.,The oncologist,2025
40507804,RANKL Drives Bone Metastasis in Mammary Cancer: Protective Effects of Anti-Resorptive Treatments.,International journal of molecular sciences,2025
40500761,Patterns of adjuvant bone modifying agent use in patients with early-stage breast cancer in the United States.,Breast cancer research : BCR,2025
40448575,Use of Low-Value Cancer Treatments in Medicare Advantage Versus Traditional Medicare.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2025
40424680,Comparative analysis of Denosumab and Zoledronic acid in advanced breast cancer patients receiving CDK4/6 inhibitors.,"Breast (Edinburgh, Scotland)",2025
