PMID,Title,Journal,Year
40844610,Correction: Comparison of bone mineral density changes between denosumab and bisphosphonates in tenofovir-exposed chronic hepatitis B patients with osteoporosis.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2025
40646275,Comparison of bone mineral density changes between denosumab and bisphosphonates in tenofovir-exposed chronic hepatitis B patients with osteoporosis.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2025
33359534,Denosumab Use as a Predictor Variable for External Cervical Resorption: A Case-Control Study.,Journal of endodontics,2021
31003599,Denosumab improves clinical manifestations of hypophosphatemic osteomalacia by adefovir-induced Fanconi syndrome: a case report.,Journal of medical case reports,2019
30171299,Severe hypophosphatemia induced by denosumab in a patient with osteomalacia and tenofovir disoproxil fumarate-related acquired Fanconi syndrome.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2019
29337457,[Pharmacovigilance update].,Revue medicale suisse,2018
28451403,Successful treatment with denosumab in a patient with sacral giant cell tumor of bone refractory to combination therapy with arterial embolization and zoledronic acid: A case report.,Molecular and clinical oncology,2017
21225012,Gateways to clinical trials.,Methods and findings in experimental and clinical pharmacology,2010
18806898,Gateways to clinical trials.,Methods and findings in experimental and clinical pharmacology,2008
17982511,Gateways to clinical trials.,Methods and findings in experimental and clinical pharmacology,2007
