PMID,Title,Journal,Year
40831958,Zoledronic acid and denosumab are associated with similar fracture incidence and mortality in patients with type 2 diabetes: a population-based cohort study.,Frontiers in endocrinology,2025
40697092,Severe symptomatic hypocalcemia and prolonged heart failure after treatment of osteoporosis with denosumab in a peritoneal dialysis patient: A case report.,Peritoneal dialysis international : journal of the International Society for Peritoneal Dialysis,2025
40668510,Real-world data from a national survey on management of CKD-associated osteoporosis among Italian nephrologists.,Archives of osteoporosis,2025
40547129,Case report of hypercalcemia-related kidney complications after discontinuation of denosumab.,Frontiers in pediatrics,2025
40450503,Enzalutamide plus radium-223 in metastatic castration-resistant prostate cancer: results of the EORTC 1333/PEACE-3 trial.,Annals of oncology : official journal of the European Society for Medical Oncology,2025
40242678,Prostate Cancer With Orbital Metastasis.,Cureus,2025
40200464,Minimizing STOPP and Beers Criteria Risks in PIM Treatments Using PM-TOM and ChatGPT: A Case Study.,Studies in health technology and informatics,2025
40162981,Analysis of potential risk factors for the development of medication-related osteonecrosis of the jaw.,Dental and medical problems,2025
40098428,Incidence of Hypercalcemia and Vertebral Fractures Following Denosumab Withdrawal in Lung Cancer Patients: A Longitudinal Cohort Study.,Journal of bone metabolism,2025
39572000,[Long-Term Response to CDK4/6 Inhibitor for Multiple Metastases of Breast Cancer].,Gan to kagaku ryoho. Cancer & chemotherapy,2024
39498489,Possible role of bone turnover markers in the diagnosis of adult hypophosphatasia.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2024
39434561,Falls and fractures in men with prostate cancer taking second-generation androgen receptor antagonists: A retrospective chart review.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2024
39350812,Calcinosis Universalis Secondary to Silicone Injections in a Patient With HIV and Chronic Kidney Disease: A Case Report of Silicone-Induced Hypercalcemia.,Cureus,2024
39208258,Effect of denosumab on the incidence of fractures and mortality in patients undergoing hemodialysis: A retrospective cohort study.,PloS one,2024
39119540,Incidence and clinical course of femoral localized periosteal thickening and atypical femoral fracture over a 10-year period in patients with autoimmune inflammatory rheumatic disease.,JBMR plus,2024
38846825,Denosumab and metatarsal fracture healing: potential benefits with delayed remodeling: a case report.,Annals of medicine and surgery (2012),2024
38512458,Long-term effects of denosumab on bone mineral density and turnover markers in patients undergoing hemodialysis.,Journal of bone and mineral metabolism,2024
37723308,Effect of denosumab on bone mineral density in a postmenopausal osteoporotic woman with prolonged chronic mild hyponatremia.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2023
37436441,Drug utilization analysis of osteoporosis medications in seven European electronic health databases.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2023
37076702,Comment on One-Year Romosozumab Treatment Followed by One-Year Denosumab Treatment for Osteoporosis in Patients on Hemodialysis: An Observational Study.,Calcified tissue international,2023
