PMID,Title,Journal,Year
40746103,Migration of cementless total knee arthroplasty is mitigated by both local intraoperative zoledronate and postoperative denosumab: a randomized controlled trial.,The bone & joint journal,2025
40594305,A randomized controlled trial comparing romosozumab and denosumab in elderly women with primary osteoporosis and knee osteoarthritis.,Scientific reports,2025
40200464,Minimizing STOPP and Beers Criteria Risks in PIM Treatments Using PM-TOM and ChatGPT: A Case Study.,Studies in health technology and informatics,2025
40149708,"Beyond Bone Remodeling: Denosumab's Multisystemic Benefits in Musculoskeletal Health, Metabolism, and Age-Related Diseases-A Narrative Review.",Biomedicines,2025
20301329,Hypophosphatasia.,,1993
39982235,Preoperative Osteoporosis Treatment Reduces Stress Shielding in Total Hip Arthroplasty.,"Medical sciences (Basel, Switzerland)",2025
39768410,Incidence of Total Knee Arthroplasty in Older Females with Knee Osteoarthritis and Osteoporosis Treated with Denosumab Compared with Those Treated Using Bisphosphonates: A Population-Based Cohort Study.,"Life (Basel, Switzerland)",2024
39713569,Clinical Outcome of Extended Curettage with Postoperative Denosumab Administration for the Treatment of Campanacci Grade III Giant Cell Tumors of the Extremities.,Cancer management and research,2024
39670712,Osteogenesis imperfecta: shifting paradigms in pathophysiology and care in children.,Journal of pediatric endocrinology & metabolism : JPEM,2025
39457605,The Pathogenetic Role of RANK/RANKL/OPG Signaling in Osteoarthritis and Related Targeted Therapies.,Biomedicines,2024
39103081,Osteoarthritis year in review 2024: Epidemiology and therapy.,Osteoarthritis and cartilage,2024
38840731,Denosumab ameliorates osteoarthritis by protecting cartilage against degradation and modulating subchondral bone remodeling.,Regenerative therapy,2024
38485753,Evidence-Based Guideline for the management of osteoporosis in men.,Nature reviews. Rheumatology,2024
38374383,The efficacy of Denosumab in the treatment of femoral head osteonecrosis: a retrospective comparative study.,Scientific reports,2024
38372871,Effect of Osteoporosis Treatments on Osteoarthritis Progression in Postmenopausal Women: A Review of the Literature.,Current rheumatology reports,2024
38361122,RANKL blockade for erosive hand osteoarthritis: a randomized placebo-controlled phase 2a trial.,Nature medicine,2024
37393412,"Update on the clinical use of trabecular bone score (TBS) in the management of osteoporosis: results of an expert group meeting organized by the European Society for Clinical and Economic Aspects of Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (ESCEO), and the International Osteoporosis Foundation (IOF) under the auspices of WHO Collaborating Center for Epidemiology of Musculoskeletal Health and Aging.",Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2023
37324440,Synthesis and characterization of novel denosumab/magnesium-based metal organic frameworks nanocomposite prepared by ultrasonic route as drug delivery system for the treatment of osteoporosis.,Frontiers in bioengineering and biotechnology,2023
37121707,[Discovery of RANKL and the current and future impact of its research].,Nihon yakurigaku zasshi. Folia pharmacologica Japonica,2023
36860316,"Current comprehensive understanding of denosumab (the RANKL neutralizing antibody) in the treatment of bone metastasis of malignant tumors, including pharmacological mechanism and clinical trials.",Frontiers in oncology,2023
