PMID,Title,Journal,Year
40932197,Effects of metformin and Denosumab on bone and glucose metabolism in postmenopausal women with OP and OA.,The Journal of endocrinology,2025
40831958,Zoledronic acid and denosumab are associated with similar fracture incidence and mortality in patients with type 2 diabetes: a population-based cohort study.,Frontiers in endocrinology,2025
40588549,Anti-resorptive and anabolic therapies improve Falls Risk Assessment Score (FRAS) in postmenopausal women with type 2 diabetes mellitus.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2025
40445395,Comparison of Type 2 Diabetes Risk in Osteoporosis Patients Treated with Denosumab or Alendronate: A Nationwide Cohort Study.,Calcified tissue international,2025
40418391,Role of denosumab in lipid metabolism disorders: clinical significance and potential mechanisms.,Archives of osteoporosis,2025
39336089,The Constellation of Risk Factors and Paraneoplastic Syndromes in Cholangiocarcinoma: Integrating the Endocrine Panel Amid Tumour-Related Biology (A Narrative Review).,Biology,2024
39217877,RANKL/RANK contributes to the pathological process of type 2 diabetes mellitus through TRAF3 activation of NIK.,International immunopharmacology,2024
39046498,Type 2 diabetes incidence in patients initiating denosumab or alendronate treatment: a primary care cohort study.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2024
38899553,"Denosumab, for osteoporosis, reduces the incidence of type 2 diabetes, risk of foot ulceration and all-cause mortality in adults, compared with bisphosphonates: An analysis of real-world, cohort data, with a systematic review and meta-analysis.","Diabetes, obesity & metabolism",2024
38732046,"Links among Obesity, Type 2 Diabetes Mellitus, and Osteoporosis: Bone as a Target.",International journal of molecular sciences,2024
38524631,Anti-osteoporotic treatments in the era of non-alcoholic fatty liver disease: friend or foe.,Frontiers in endocrinology,2024
38490126,Effect of denosumab on inflammation and bone health in active Charcot foot: A phase II randomised controlled trial.,Journal of diabetes and its complications,2024
38111052,"Effect of denosumab on glucose metabolism in postmenopausal osteoporotic women with prediabetes: a study protocol for a 12-month multicenter, open-label, randomized controlled trial.",Trials,2023
38025034,Antiresorptive Versus Anabolic Therapy in Managing Osteoporosis in People with Type 1 and Type 2 Diabetes.,JBMR plus,2023
37917286,Micropetrosis: Osteocyte Lacunar Mineralization in Aging and Disease.,Current osteoporosis reports,2023
37873516,"Efficacy of zoledronate, denosumab or teriparatide in postmenopausal women with type 2 diabetes mellitus at high risk of fragility fractures: protocol of an open, blinded endpoint randomized controlled pilot trial.",Therapeutic advances in endocrinology and metabolism,2023
37715387,Denosumab Improves Glycaemic Parameters in Postmenopausal Osteoporosis Patients with Combined Type 2 Diabetes Mellitus.,"Cellular and molecular biology (Noisy-le-Grand, France)",2023
37373436,Denosumab Attenuates Glucolipotoxicity-Induced beta-Cell Dysfunction and Apoptosis by Attenuating RANK/RANKL Signals.,International journal of molecular sciences,2023
37215491,Explaining declining hip fracture rates in Norway: a population-based modelling study.,The Lancet regional health. Europe,2023
37072150,Denosumab and incidence of type 2 diabetes among adults with osteoporosis: population based cohort study.,BMJ (Clinical research ed.),2023
