PMID,Title,Journal,Year
40875659,Eradication of Mycoplasma pneumoniae biofilm towers by treatment with hydrogen peroxide or antibiotic combinations acting synergistically.,PloS one,2025
40691021,Generation of a novel lung fibrosis model using precision-cut lung slices from transgenic TGFbeta1 mice.,American journal of physiology. Cell physiology,2025
40586207,Lung-specific TGFbeta overexpression increases airway fibrosis and airway contractility in transgenic mice.,American journal of physiology. Lung cellular and molecular physiology,2025
39265877,Tissue-specific inducible IL-33 expression elicits features of eosinophilic esophagitis.,The Journal of allergy and clinical immunology,2024
38868278,Successful Management of Pasteurella multocida Pneumonia in a Chronic Obstructive Pulmonary Disease Patient: A Case Report Highlighting the Importance of Tailored Antibiotic Therapy.,Cureus,2024
38375246,"Biogenic Salvia species synthesized silver nanoparticles with catalytic, sensing, antimicrobial, and antioxidant properties.",Heliyon,2024
38066550,Biologic use and treatment patterns in patients with chronic rhinosinusitis with nasal polyps: a US real-world study.,"Allergy, asthma, and clinical immunology : official journal of the Canadian Society of Allergy and Clinical Immunology",2023
37995018,Treatments of Epistaxis in Hereditary Hemorrhagic Telangiectasia: Systematic Review and Network Meta-Analysis.,Current allergy and asthma reports,2023
37437223,Doxycycline may be more clinically effective in type 2 chronic rhinosinusitis nasal polyp comorbid with asthma.,The Journal of asthma : official journal of the Association for the Care of Asthma,2024
37421193,Eosinophilic Granulomatosis with Polyangiitis - description of a pediatric patient with severe disease.,ARP rheumatology,2023
35724828,"COVID-19 prophylaxis with doxycycline and zinc in health care workers: a prospective, randomized, double-blind clinical trial.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2022
35686285,Hidden Dangers: A Gastrointestinal Stromal Tumor Concealed Inside of a Meckel's Diverticulum.,Cureus,2022
35660131,Airway epithelial STAT3 inhibits allergic inflammation via upregulation of stearoyl-CoA desaturase 1.,Allergology international : official journal of the Japanese Society of Allergology,2022
35623585,Immediate hypersensitivity to oral doxycycline: New nonirritating concentrations for skin prick test.,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2022
35490266,Study Effect of Azithromycin and Doxycycline in Mucus Producing and Inflammatory Signaling Pathways of Allergic Asthma.,"Iranian journal of allergy, asthma, and immunology",2022
35386966,Potent Anti-Inflammatory Effects of Tetracyclines on Human Eosinophils.,Frontiers in allergy,2021
34979502,Real-World Effects of Antibiotic Treatment on Acute COPD Exacerbations in Outpatients: A Cohort Study under the PharmLines Initiative.,Respiration; international review of thoracic diseases,2022
34329624,"Doxycycline for community treatment of suspected COVID-19 in people at high risk of adverse outcomes in the UK (PRINCIPLE): a randomised, controlled, open-label, adaptive platform trial.",The Lancet. Respiratory medicine,2021
34163182,"Outcomes of Antibiotics in Adults with ""Difficult to Treat"" Asthma or the Overlap Syndrome.",Journal of asthma and allergy,2021
34039422,Felty syndrome: a case report.,Journal of medical case reports,2021
