PMID,Title,Journal,Year
40755703,Fatal Case of Stevens-Johnson Syndrome/Toxic Epidermal Necrolysis Induced by Doxycycline or Flucloxacillin in a 77-Year-Old Woman: A Rare but Serious Adverse Drug Reaction.,Cureus,2025
40586207,Lung-specific TGFbeta overexpression increases airway fibrosis and airway contractility in transgenic mice.,American journal of physiology. Lung cellular and molecular physiology,2025
40378193,Comparative effectiveness of azithromycin versus doxycycline in hospitalized patients with community acquired pneumonia treated with beta-lactams: A multicenter matched cohort study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
39766500,Efficacy of Prophylactic Antibiotics in COPD: A Systematic Review.,"Antibiotics (Basel, Switzerland)",2024
39552893,Comparative efficacy of doxycycline and its analogues with autologous blood patch pleurodesis for persistent air leak following secondary spontaneous pneumothorax in adults-a systematic review.,Journal of thoracic disease,2024
38868278,Successful Management of Pasteurella multocida Pneumonia in a Chronic Obstructive Pulmonary Disease Patient: A Case Report Highlighting the Importance of Tailored Antibiotic Therapy.,Cureus,2024
38074110,"Characteristics of Chryseobacterium bacteremia, associated risk factors and their antibiotic susceptibility pattern at a university hospital: a descriptive, retrospective study.",Access microbiology,2023
37734069,Long-Term Doxycycline Therapy for Stable Chronic Obstructive Pulmonary Disease: Do the Benefits Outweigh the Drawbacks?,American journal of respiratory and critical care medicine,2023
37531185,Revisiting the Use of Antibiotics to Prevent COPD Exacerbation: Is Doxycycline the Answer?,American journal of respiratory and critical care medicine,2023
37450935,"A Double-Blind, Randomized, Placebo-controlled Trial of Long-Term Doxycycline Therapy on Exacerbation Rate in Patients with Stable Chronic Obstructive Pulmonary Disease.",American journal of respiratory and critical care medicine,2023
20301692,Alpha-1 Antitrypsin Deficiency.,,1993
35724828,"COVID-19 prophylaxis with doxycycline and zinc in health care workers: a prospective, randomized, double-blind clinical trial.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2022
35518814,Anaplasmosis-induced hemophagocytic lymphohistiocytosis.,Proceedings (Baylor University. Medical Center),2022
35113778,Genomic diversity and antimicrobial resistance of Prevotella species isolated from chronic lung disease airways.,Microbial genomics,2022
34979502,Real-World Effects of Antibiotic Treatment on Acute COPD Exacerbations in Outpatients: A Cohort Study under the PharmLines Initiative.,Respiration; international review of thoracic diseases,2022
34380793,"Impact of long-term doxycycline on lung function & exacerbations: A real-world open, prospective pilot observation on chronic obstructive pulmonary disease.",The Indian journal of medical research,2021
33828547,Autophagy Promotes Cigarette Smoke-Initiated and Elastin-Driven Bronchitis-Like Airway Inflammation in Mice.,Frontiers in immunology,2021
33760647,The effect of long-term doxycycline treatment in a mouse model of cigarette smoke-induced emphysema and pulmonary hypertension.,American journal of physiology. Lung cellular and molecular physiology,2021
33448349,Prophylactic antibiotics for adults with chronic obstructive pulmonary disease: a network meta-analysis.,The Cochrane database of systematic reviews,2021
32873175,Doxycycline treatment of high-risk COVID-19-positive patients with comorbid pulmonary disease.,Therapeutic advances in respiratory disease,2020
