PMID,Title,Journal,Year
40880007,Is Doxy-PEP Right for Me? Piloting a Novel Patient Decision Aid in an Urban Ambulatory Clinic.,AIDS and behavior,2025
40854605,[Not Available].,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,2025
40630608,Beyond behavioural change: prioritising structural solutions to control bacterial sexually transmitted infections.,EClinicalMedicine,2025
40610420,Impact of doxycycline pre-exposure prophylaxis (doxyPrEP) for sexually transmitted infections on the microbiome of men who have sex with men on HIV PrEP.,Nature communications,2025
40601156,Sexually Transmitted Infections and Risk of Human Immunodeficiency Virus Transmission.,Current HIV/AIDS reports,2025
40555261,Mycoplasma genitalium treatment strategies in the era of significant macrolide resistance: Findings from a multi-centre audit in Northwest England.,International journal of STD & AIDS,2025
40505019,"British Association for Sexual Health and HIV (BASHH) UK national guideline for the use of doxycycline post-exposure prophylaxis (DoxyPEP) for the prevention of syphilis, 2025.",International journal of STD & AIDS,2025
40472386,CROI 2025: global epidemiology and prevention of HIV and other sexually transmitted diseases.,Topics in antiviral medicine,2025
40393712,Doxycycline postexposure prophylaxis to prevent bacterial sexually transmitted infections.,CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,2025
40323716,"Factors Influencing Oral Pre-, Post-, and Doxycycline Post-Exposure Prophylaxis Uptake Among Substance-Using Men Who Have Sex with Men in the Rural Southern US.",AIDS patient care and STDs,2025
40289038,Rapid Diffusion of Awareness and Uptake of Doxy-PEP among Men who Have Sex with Men in San Francisco.,AIDS and behavior,2025
40276721,Pilot Findings From the First Legalized Mobile Retail Pharmacy Clinic in the United States for Infectious Disease Treatment and Prevention Tailored to Reach People Who Use Drugs.,Open forum infectious diseases,2025
40247214,"Mycoplasma genitalium infection in Eswatini amid syndromic case management: prevalence, coinfections, diagnostic challenges and treatment gaps.",BMC infectious diseases,2025
40185219,The Influential factors on clinical outcomes of focal brucellosis: A retrospective cohort study.,Acta tropica,2025
40162974,Interest and disparities in awareness and uptake of doxycycline postexposure prophylaxis among US MSM with HIV.,"AIDS (London, England)",2025
40099718,"Exceedingly high levels of tetracycline resistance in Neisseria gonorrhoeae in eight WHO Enhanced Gonococcal Antimicrobial Surveillance Programme countries in three WHO regions, 2021-2024-doxycycline post-exposure prophylaxis will unlikely impact gonorrhoea burdens.",The Journal of antimicrobial chemotherapy,2025
40074945,"Expanding Horizons in Syphilis Treatment: Challenges, Advances, and Opportunities for Alternative Antibiotics.",Current HIV/AIDS reports,2025
40051899,Diagnosis of Prosthetic Endocarditis Caused by Coxiella burnetii Using PET Scan and PCR: A Case Report of Chronic Q Fever.,Clinical case reports,2025
40036749,Potential Impact of Doxycycline Post-Exposure Prophylaxis on Tetracycline Resistance in Neisseria gonorrhoeae and Colonization With Tetracycline-Resistant Staphylococcus aureus and Group A Streptococcus.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
39969650,"Promises, Pitfalls, and Progress: Doxycycline Prophylaxis for Bacterial Sexually Transmitted Infections.",Current HIV/AIDS reports,2025
