PMID,Title,Journal,Year
40276721,Pilot Findings From the First Legalized Mobile Retail Pharmacy Clinic in the United States for Infectious Disease Treatment and Prevention Tailored to Reach People Who Use Drugs.,Open forum infectious diseases,2025
38560383,Sexually transmitted coinfections among at-risk HIV-positive MSM: implications for optimal preemptive treatment.,Frontiers in medicine,2024
38482088,Cases from a Community Hospital ... JCHIMP Series #2: 66-Year-old Man with Recurrent Painful Rashes and Oral Ulcerations.,Journal of community hospital internal medicine perspectives,2024
32551516,Controlled Functional Zonation of Hepatocytes In Vitro by Engineering of Wnt Signaling.,ACS synthetic biology,2020
31112805,Refractory Helicobacter pylori gastritis: The hidden predictors of resistance.,Journal of global antimicrobial resistance,2019
29970608,Unexpected cause of fever in a patient with untreated HIV.,BMJ case reports,2018
27322040,Anorectal Lymphogranuloma Venereum in Madrid: A Persistent Emerging Problem in Men Who Have Sex With Men.,Sexually transmitted diseases,2016
26989205,The spectrum of MALT lymphoma at different sites: biological and therapeutic relevance.,Blood,2016
26943641,Conditional Inducible Triple-Transgenic Mouse Model for Rapid Real-Time Detection of HCV NS3/4A Protease Activity.,PloS one,2016
25975444,"The role of infectious agents, antibiotics, and antiviral therapy in the treatment of extranodal marginal zone lymphoma and other low-grade lymphomas.",Current treatment options in oncology,2015
25200433,Establishment of a novel triple-transgenic mouse: conditionally and liver-specifically expressing hepatitis C virus NS3/4A protease.,Molecular biology reports,2014
25122779,Modulation of hepatitis C virus genome replication by glycosphingolipids and four-phosphate adaptor protein 2.,Journal of virology,2014
24787368,Pitfalls in the diagnosis and management of inguinal lymphogranuloma venereum: important lessons from a case series.,Sexually transmitted infections,2014
23788593,A case of spotted fever rickettsiosis in a human immunodeficiency virus-positive patient.,Journal of medical microbiology,2013
23563682,Spontaneous bacterial peritonitis by Brucella in a cirrhotic patient.,BMJ case reports,2013
23301587,[Lymphogranuloma venereum].,Casopis lekaru ceskych,2012
22729936,A zebrafish model of intrahepatic cholangiocarcinoma by dual expression of hepatitis B virus X and hepatitis C virus core protein in liver.,"Hepatology (Baltimore, Md.)",2012
22421894,HCV core-induced nonobese hepatic steatosis is associated with hypoadiponectinemia and is ameliorated by adiponectin administration.,"Obesity (Silver Spring, Md.)",2012
22116335,"Acute Q fever presenting as antiphospholipid syndrome, pneumonia, and acalculous cholecystitis and masquerading as Mycoplasma pneumoniae and hepatitis C viral infections.",Japanese journal of infectious diseases,2011
21331443,Association between lipid accumulation and the cannabinoid system in Huh7 cells expressing HCV genes.,International journal of molecular medicine,2011
