PMID,Title,Journal,Year
40884115,Leukemia cutis with concomitant acrodermatitis chronica atrophicans and chronic B-cell lymphocytic leukemia: complete clearance under doxycycline therapy.,Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG,2025
40470252,Identifying Targeted Therapies for CBFA2T3::GLIS2 Acute Myeloid Leukemia.,Research square,2025
40371165,Impact of doxycycline on mycoplasma pneumonia treatment and cancer prognosis in pediatric leukemia patients post-chemotherapy: a target trial emulation.,American journal of cancer research,2025
39994353,Collaborative orchestration of BH3-only proteins governs Bak/Bax-dependent hepatocyte apoptosis under antiapoptotic protein-deficiency in mice.,Cell death and differentiation,2025
39676795,Generation of an inducible dCas9-SAM human PSC line for endogenous gene activation.,Frontiers in cell and developmental biology,2024
39640015,"First-in-class transactivator-free, doxycycline-inducible IL-18-engineered CAR-T cells for relapsed/refractory B cell lymphomas.",Molecular therapy. Nucleic acids,2024
38940430,NUP98-BPTF promotes oncogenic transformation through PIM1 upregulation.,Cancer medicine,2024
38864598,Efficacy of rifapentine and other rifamycins against Coxiella burnetii in vitro.,Microbiology spectrum,2024
38778275,Cutaneous Lagenidium deciduum infection in a patient with relapsed acute myeloid leukemia.,BMC infectious diseases,2024
38727148,A systematic review of the management of eosinophilic dermatosis of hematological malignancy.,International journal of dermatology,2024
38592710,Immunoglobulin replacement vs prophylactic antibiotics for hypogammaglobulinemia secondary to hematological malignancy.,Blood advances,2024
38171093,Acute myeloid leukemia with neutrophilic differentiation in a 12-year-old African lion (Panthera leo).,Journal of the American Veterinary Medical Association,2024
37868438,Dasatinib-Associated Acneiform Eruption Successfully Treated With Sarecycline in a Patient With Chronic Myeloid Leukemia.,Cureus,2023
37639801,"Generation of a human induced pluripotent stem cell line harboring the infant leukemia-associated fusion gene, KMT2A-AFF1 (IMSUTi002-A-2).",Stem cell research,2023
37550185,[Establishment of leukemia cell model with inducible AML1-ETO expression and its effect on fatty acid metabolism in leukemia cells].,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,2023
37331423,BCR-ABL promotes hematopoietic stem and progenitor cell formation in embryonic stem cells.,Experimental hematology,2023
37190104,Inducible MLL-AF9 Expression Drives an AML Program during Human Pluripotent Stem Cell-Derived Hematopoietic Differentiation.,Cells,2023
36989489,STAT5 activation promotes progression and chemotherapy resistance in early T-cell precursor acute lymphoblastic leukemia.,Blood,2023
36922625,Impact of U2AF1 mutations on circular RNA expression in myelodysplastic neoplasms.,Leukemia,2023
36358254,Identification of NRAS Downstream Genes with CRISPR Activation Screening.,Biology,2022
