PMID,Title,Journal,Year
40935349,Iron-oxide nanoparticles selectively enhance the toxicity of pharmacological ascorbate through hydrogen peroxide-dependent DNA damage in non-small cell lung cancer (NSCLC).,Free radical biology & medicine,2025
40927437,pH-responsive activation of Tet-On inducible CAR-T cells enables spatially selective treatment of targeted solid tumors at reduced safety risk.,National science review,2025
40923969,Enhanced Versus Standard Dermatologic Management With Amivantamab-Lazertinib in EGFR-Mutated Advanced NSCLC: The COCOON Global Randomized Controlled Trial.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2025
40877108,Human neutrophil-derived extracellular vesicles induce renal endothelial inflammation in critical illness: an ex vivo investigation.,British journal of anaesthesia,2025
40713180,hCCL19-expressing recombinant Newcastle disease virus boosts CAR T cell infiltration and efficacy in solid tumor.,Journal for immunotherapy of cancer,2025
40694497,Metastatic small cell lung cancer arises from TP53/RB1-deficient and MYC overproduction hESC-derived PNECs.,eLife,2025
40647660,A Rare Case of Exophiala Dermatitidis Isolation in a Patient with Non-Cystic Fibrosis Bronchiectasis: Colonization or True Infection?,"Diagnostics (Basel, Switzerland)",2025
40376983,[Corrigendum] New application of an old drug: Antitumor activity and mechanisms of doxycycline in small cell lung cancer.,International journal of oncology,2025
40177896,A Nano-Strategy for Advanced Triple-Negative Breast Cancer Therapy by Regulating Intratumoral Microbiota.,Nano letters,2025
39885503,USP39 phase separates into the nucleolus and drives lung adenocarcinoma progression by promoting GLI1 expression.,Cell communication and signaling : CCS,2025
39881923,"A Case of Purpuric Papulopustular Eruption on the Extremities Developed During Erlotinib and Ramucirumab Combination Treatment, Resulting in Complete Regression Without Oral Prednisone or Discontinuing Chemotherapy.",Cureus,2024
39839354,Dermatologic Adverse Events Following Afatinib in a Woman with Non-Small-Cell Lung Cancer: A Case Report.,"Clinical, cosmetic and investigational dermatology",2025
39669836,Resolution of Bullous Pemphigoid Following Lung Cancer Resection: A Case of Paraneoplastic Pemphigoid.,Cureus,2024
39351636,Partial role of volatile organic compounds in behavioural responses of mice to bedding from cancer-affected congeners.,Biology open,2024
39269895,Systems Biology and Machine Learning Identify Genetic Overlaps Between Lung Cancer and Gastroesophageal Reflux Disease.,Omics : a journal of integrative biology,2024
39199578,Aurora Kinase A Inhibition Potentiates Platinum and Radiation Cytotoxicity in Non-Small-Cell Lung Cancer Cells and Induces Expression of Alternative Immune Checkpoints.,Cancers,2024
38953310,Metabolic stress induces a double-positive feedback loop between AMPK and SQSTM1/p62 conferring dual activation of AMPK and NFE2L2/NRF2 to synergize antioxidant defense.,Autophagy,2024
38816770,EDI3 knockdown in ER-HER2+ breast cancer cells reduces tumor burden and improves survival in two mouse models of experimental metastasis.,Breast cancer research : BCR,2024
38523909,An overview of case reports and case series of pulmonary actinomycosis mimicking lung cancer: a scoping review.,Frontiers in medicine,2024
38511244,Utilization of broad- versus narrow-spectrum antibiotics for the treatment of outpatient community-acquired pneumonia among adults in the United States.,Pharmacoepidemiology and drug safety,2024
