PMID,Title,Journal,Year
40686590,Phenoconversion and in vivo phenotyping of hepatic cytochrome P450: Implications in predictive precision medicine and personalized therapy.,Hepatology forum,2025
38974617,The Role of Pharmacogenomics Studies for Precision Medicine Among Ethiopian Patients and Their Clinical Implications: A Scoping Review.,Pharmacogenomics and personalized medicine,2024
38767383,Population pharmacokinetics of ravidasvir in adults with chronic hepatitis C virus infection and impact of antiretroviral treatment.,Antimicrobial agents and chemotherapy,2024
38396908,Plasma Concentrations of Rosmarinic Acid in Patients on Antiretroviral Therapy: In Silico Exploration Based on Clinical Data.,International journal of molecular sciences,2024
37891471,"Antenatal hepatitis B virus sero-prevalence, risk factors, pregnancy outcomes and vertical transmission rate within 24 months after birth in a high HIV prevalence setting.",BMC infectious diseases,2023
37731164,Mechanisms and Clinical Significance of Pharmacokinetic Drug Interactions Mediated by FDA and EMA-approved Hepatitis C Direct-Acting Antiviral Agents.,Clinical pharmacokinetics,2023
37681155,Identification of potential molecular mechanisms and therapeutic targets for recurrent pelvic organ prolapse.,Heliyon,2023
36511384,"Efficacy, Tolerability, and Compliance of Direct Acting Antivirals in Patients with HIV and Hepatitis C Coinfection: A Real-Life Experience.",AIDS research and human retroviruses,2023
36508059,Low incidence of advanced neurological burden but high incidence of age-related conditions that are dementia risk factors in aging people living with HIV: a data-linkage 10-year follow-up study.,Journal of neurovirology,2023
35491563,The making of the one pill-Developing single tablet regimens for HIV and for HCV.,Antiviral therapy,2022
34729853,Do contemporary antiretrovirals increase the risk of end-stage liver disease? Signals from patients starting therapy in the North American AIDS Cohort Collaboration on Research and Design.,Pharmacoepidemiology and drug safety,2022
34359857,NNRTI and Liver Damage: Evidence of Their Association and the Mechanisms Involved.,Cells,2021
34021755,Liver stiffness change with HCV cure in HIV-infected patients on non-nucleoside analogues.,The Journal of antimicrobial chemotherapy,2021
33776879,Neurocognitive Trajectories After 72 Weeks of First-Line Anti-retroviral Therapy in Vietnamese Adults With HIV-HCV Co-infection.,Frontiers in neurology,2021
31975695,Assessment of liver and renal functions in human immunodeficiency virus-infected persons on highly active antiretroviral therapy: A mixed cohort study.,"Indian journal of dermatology, venereology and leprology",2020
31504702,Drug-Drug Interactions of Glecaprevir and Pibrentasvir Coadministered With Human Immunodeficiency Virus Antiretrovirals.,The Journal of infectious diseases,2020
31427111,Effects of long-term exposure to tenofovir disoproxil fumarate-containing antiretroviral therapy on renal function in HIV-positive Chinese patients.,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",2019
29862098,Acute Liver Failure among Patients on Efavirenz-Based Antiretroviral Therapy.,Case reports in hepatology,2018
29592839,High resolution mass spectrometry-based methodologies for identification of Etravirine bioactivation to reactive metabolites: In vitro and in vivo approaches.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2018
28487145,Unmasking efavirenz neurotoxicity: Time matters to the underlying mechanisms.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2017
