PMID,Title,Journal,Year
40494789,"[Prevalence of non-alcoholic fatty liver disease and related factors in people living with HIV in Taizhou, Zhejiang Province].",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,2025
39182854,Effect of protein binding on the pharmacokinetics of the six substrates in the Basel phenotyping cocktail in healthy subjects and patients with liver cirrhosis.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2024
38767383,Population pharmacokinetics of ravidasvir in adults with chronic hepatitis C virus infection and impact of antiretroviral treatment.,Antimicrobial agents and chemotherapy,2024
38078606,Recent data on the role of antiretroviral therapy in weight gain and obesity in persons living with HIV.,Current opinion in HIV and AIDS,2024
37891471,"Antenatal hepatitis B virus sero-prevalence, risk factors, pregnancy outcomes and vertical transmission rate within 24 months after birth in a high HIV prevalence setting.",BMC infectious diseases,2023
37667518,Drug-drug interaction prediction of ziritaxestat using a physiologically based enzyme and transporter pharmacokinetic network interaction model.,Clinical and translational science,2023
37328712,The Activity of Members of the UDP-Glucuronosyltransferase Subfamilies UGT1A and UGT2B is Impaired in Patients with Liver Cirrhosis.,Clinical pharmacokinetics,2023
37017611,Dose Adjustment in Patients with Liver Cirrhosis - Comparison of Two Different Modeling Approaches.,Clinical pharmacology and therapeutics,2023
36511384,"Efficacy, Tolerability, and Compliance of Direct Acting Antivirals in Patients with HIV and Hepatitis C Coinfection: A Real-Life Experience.",AIDS research and human retroviruses,2023
36041711,"Anti-retroviral drugs induced photosensitivity may be two culprits in mixed formulation, a case report and literature review.",Photodiagnosis and photodynamic therapy,2022
35905752,"72 weeks post-partum follow-up of dolutegravir versus efavirenz initiated in late pregnancy (DolPHIN-2): an open-label, randomised controlled study.",The lancet. HIV,2022
35856680,"Quantitative Imaging Analysis of the Spatial Relationship between Antiretrovirals, Reverse Transcriptase Simian-Human Immunodeficiency Virus RNA, and Fibrosis in the Spleens of Nonhuman Primates.",Antimicrobial agents and chemotherapy,2022
35570253,Liver Cirrhosis Affects the Pharmacokinetics of the Six Substrates of the Basel Phenotyping Cocktail Differently.,Clinical pharmacokinetics,2022
34861767,Immunologic Change over 72 Weeks Following Raltegravir- Versus Efavirenz-Based Therapy in HIV/HCV-Coinfected Individuals in Vietnam.,AIDS research and human retroviruses,2022
34288357,Impact of switching to raltegravir and/or adding losartan in lymphoid tissue fibrosis and inflammation in people living with HIV. A randomized clinical trial.,HIV medicine,2021
34064387,Psoriasis and Liver Damage in HIV-Infected Patients.,Cells,2021
31999679,Diagnosis of elephantiasis nostras verrucosa as a clinical mani-festation of Kaposi's sarcoma.,Medwave,2020
30239650,Improvement in Hepatic Fibrosis Biomarkers Associated With Chemokine Receptor Inactivation Through Mutation or Therapeutic Blockade.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2019
29702139,Renal health after long-term exposure to tenofovir disoproxil fumarate (TDF) in HIV/HBV positive adults in Ghana.,The Journal of infection,2018
29467129,Antiretroviral treatment Long-Term (ALT) cohort: a prospective cohort of 10 years of ART-experienced patients in Uganda.,BMJ open,2018
