PMID,Title,Journal,Year
40938120,"Molecular epidemiology and pretreatment drug resistance of HIV-1 among newly diagnosed individuals in Nanning City, Guangxi, China.",Microbiology spectrum,2025
40933576,HIV-positive and HHV-8-negative primary effusion lymphoma complicated with coronary heart disease: a Case Report and literature review.,Frontiers in medicine,2025
40931993,HIV drug resistance among key populations in Nigeria: Insights from the 2020 integrated biological and behavioural surveillance survey.,Journal of acquired immune deficiency syndromes (1999),2025
40903037,"Maternal Anthropometry, Body Composition, and Fat Distribution by HIV Status and Antiretroviral Therapy Class in South African Women.",AIDS research and human retroviruses,2025
40831141,Recreational Use of Efavirenz by Young People Living With HIV in Zimbabwe.,Journal of the International Association of Providers of AIDS Care,2025
40751608,Lamivudine and tenofovir pharmacokinetic variability in people with HIV in Papua New Guinea.,British journal of clinical pharmacology,2025
40751346,"Effectiveness of dolutegravir based antiretroviral treatment in preventing vertical transmission of HIV in West Bengal, India: A retrospective cohort study.",International journal of STD & AIDS,2025
40741959,"Pharmacokinetics of first-line tuberculosis drugs rifampin, isoniazid, ethambutol, and pyrazinamide during pregnancy and postpartum with and without efavirenz-based antiretroviral treatment: IMPAACT P1026s study.",Antimicrobial agents and chemotherapy,2025
40707210,Compare antiretroviral drug concentrations in hair and plasma across EFV-based regimens in China.,Bioscience trends,2025
40704988,"Blood pressure, weight change and incident hypertension after switching to dolutegravir in treatment-experienced people living with HIV.","AIDS (London, England)",2025
40704749,"Formulation and characterization of a fixed-dose microemulsion containing efavirenz, emtricitabine, and tenofovir.",Pharmaceutical development and technology,2025
40687174,Drug resistance mutations among people living with HIV and ART failure in Bangladesh: a cross-sectional study.,The Lancet regional health. Southeast Asia,2025
40687062,Factors predicting renal impairment associated with Tenofovir Disoproxil fumarate: Focus on patients with HIV and pre-existing metabolic abnormalities under the Thai National Health Security Scheme.,Preventive medicine reports,2025
40641198,The Impact of Palliative Care on Quality of Life and Cortisol Levels in HIV/AIDS Patients with Anxiety.,Acta medica Indonesiana,2025
40629838,Foetal growth in pregnant women with HIV.,"AIDS (London, England)",2025
40544263,Weight loss with real-world doravirine use in the OPERA cohort: a US-based cohort study.,AIDS research and therapy,2025
40439730,HIV dynamics under multi-drug combination therapy: mathematical modelling and data fitting.,Journal of mathematical biology,2025
40431742,"Prevalence of Doravirine Resistance Mutations in a Large-Scale HIV-1 Transmitted Drug Resistance Survey in Buenos Aires, Argentina.",Viruses,2025
40406087,The cost-effectiveness analysis of single-tablet efavirenz-based regimen among HIV-1 infected adults in China.,Frontiers in public health,2025
40295173,Transmitted Human Immunodeficiency Virus Type 1 (HIV-1) Drug Resistance Among Newly Diagnosed Individuals in 31 Provincial-Level Administrative Divisions in China in 2023: A Cross-sectional Survey.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
