PMID,Title,Journal,Year
39323078,"Pretreatment drug resistance among people living with HIV from 2018 to 2022 in Guangzhou, China.",Journal of medical virology,2024
39075393,Prevalence and predictors of long-term progression of chronic kidney disease in people with HIV in Ghana from 2003-2018.,BMC nephrology,2024
39050228,Impact of Human Immunodeficiency Virus Drug Resistance Mutations Detected in Women Prior to Antiretroviral Therapy With Efavirenz + Tenofovir Disoproxil Fumarate + Lamivudine (or Emtricitabine).,Open forum infectious diseases,2024
37891471,"Antenatal hepatitis B virus sero-prevalence, risk factors, pregnancy outcomes and vertical transmission rate within 24 months after birth in a high HIV prevalence setting.",BMC infectious diseases,2023
36856368,"Tenofovir-induced hypophosphatemic osteomalacia: how do bone mineral density, trabecular bone score and proximal hip geometry change with treatment?","Endocrinology, diabetes & metabolism case reports",2023
31643973,Antiviral Agents.,,2012
33639308,Impact of HBeAg status on immune recovery in HIV/HBV co-infected patients after highly active antiretroviral therapy.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2021
33148997,Brief Report: Weight Gain Following ART Initiation in ART-Naive People Living With HIV in the Current Treatment Era.,Journal of acquired immune deficiency syndromes (1999),2021
33062976,"Profile of HIV and multidrug-resistant tuberculosis in orphans living in orphanages in Mumbai, Maharashtra, India.",Indian journal of sexually transmitted diseases and AIDS,2020
32736042,Assessing the association between platelets and immune recovery in HIV/HBV co-infected patients: A long-term cohort in Asia.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2020
31427111,Effects of long-term exposure to tenofovir disoproxil fumarate-containing antiretroviral therapy on renal function in HIV-positive Chinese patients.,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",2019
31329519,Natural Conception is Safe for HIV-Serodiscordant Couples with Persistent Suppressive Antiretroviral Therapy for the Infected Partner.,Journal of women's health (2002),2019
31304710,Serum Alanine Aminotransferase Elevations in HIV Positive Patients on Antiretroviral Therapy in India.,The Journal of the Association of Physicians of India,2019
31304705,High Prevalence of Vitamin D Deficiency in HIV Infected on Antiretroviral Therapy in a Cohort of Indian Patients.,The Journal of the Association of Physicians of India,2019
31145067,Penile Lymphangioma Secondary to Sclerosing Lymphangitis/Mondor's Disease in an HIV-Positive Patient.,Skinmed,2019
30702515,Hepatitis B virus coinfection is associated with high early mortality in HIV-infected Tanzanians on antiretroviral therapy.,"AIDS (London, England)",2019
30577760,"Rates of HBV, HCV, HDV and HIV type 1 among pregnant women and HIV type 1 drug resistance-associated mutations in breastfeeding women on antiretroviral therapy.",BMC pregnancy and childbirth,2018
30084414,"Lamivudine plus tenofovir versus lamivudine plus adefovir for the treatment of hepatitis B virus in HIV-coinfected patients, starting antiretroviral therapy.",Indian journal of medical microbiology,2018
29800563,Modelling hepatotoxicity and antiretroviral therapeutic effect in HIV/HBV coinfection.,Mathematical biosciences,2018
29702139,Renal health after long-term exposure to tenofovir disoproxil fumarate (TDF) in HIV/HBV positive adults in Ghana.,The Journal of infection,2018
