PMID,Title,Journal,Year
38087902,"HIV and fracture: Risk, assessment and intervention.",HIV medicine,2024
37809448,Prevalence and risk factors of vitamin D deficiency among living with HIV adults receiving antiretroviral treatment in tropical area: Cross-sectional study.,Heliyon,2023
37041320,"Effect of different antiretroviral therapy on muscle mass, bone mineral density, and trabecular bone score in Chinese HIV-infected males.",Archives of osteoporosis,2023
36856368,"Tenofovir-induced hypophosphatemic osteomalacia: how do bone mineral density, trabecular bone score and proximal hip geometry change with treatment?","Endocrinology, diabetes & metabolism case reports",2023
36508059,Low incidence of advanced neurological burden but high incidence of age-related conditions that are dementia risk factors in aging people living with HIV: a data-linkage 10-year follow-up study.,Journal of neurovirology,2023
33269812,Effects of efavirenz and tenofovir on bone tissue in Wistar rats.,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,2020
33163587,Increase in bone turnover markers in HIV patients treated with tenofovir disoproxil fumarate combined with raltegravir or efavirenz.,Bone reports,2020
31671383,"[High prevalence of hypovitaminosis D in HIV-infected persons attending an outpatient clinic, Buenos Aires city].",Medicina,2019
30740382,Non-traumatic Unilateral Femur Neck Fracture in a Human Immunodeficiency Virus-Positive Septuagenarian Indian Male: A Unique Case Report.,Journal of orthopaedic case reports,2018
30445888,Bone mass preservation with high-dose cholecalciferol and dietary calcium in HIV patients following antiretroviral therapy. Is it possible?,HIV clinical trials,2018
29492905,Tenofovir-Associated Bone Adverse Outcomes among a US National Historical Cohort of HIV-Infected Veterans: Risk Modification by Concomitant Antiretrovirals.,Infectious diseases and therapy,2018
28370356,"Changes in Bone Mineral Density, Body Composition, Vitamin D Status, and Mineral Metabolism in Urban HIV-Positive South African Women Over 12 Months.",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2017
27098343,Effects of Osteoporosis-Inducing Drugs on Vitamin D-Related Gene Transcription and Mineralization in MG-63 and Saos-2 Cells.,Basic & clinical pharmacology & toxicology,2016
26075752,Vitamin D and Calcium Attenuate Bone Loss With Antiretroviral Therapy Initiation: A Randomized Trial.,Annals of internal medicine,2015
25808410,Different Impact Of Antiretroviral Drugs On Bone Differentiation In An In Vitro Model.,Journal of cellular biochemistry,2015
25565175,Perspectives on pharmacogenomics of antiretroviral medications and HIV-associated comorbidities.,Current opinion in HIV and AIDS,2015
24322593,Optimizing antiretroviral therapy for women living with HIV.,Current opinion in infectious diseases,2014
22333484,"Prospective evaluation of bone markers, parathormone and 1,25-(OH)(2) vitamin D in HIV-positive patients after the initiation of tenofovir/emtricitabine with atazanavir/ritonavir or efavirenz.",BMC infectious diseases,2012
22095195,Incidence of low and high-energy fractures in persons with and without HIV infection: a Danish population-based cohort study.,"AIDS (London, England)",2012
21606537,"Bone mineral density and fractures in antiretroviral-naive persons randomized to receive abacavir-lamivudine or tenofovir disoproxil fumarate-emtricitabine along with efavirenz or atazanavir-ritonavir: Aids Clinical Trials Group A5224s, a substudy of ACTG A5202.",The Journal of infectious diseases,2011
