PMID,Title,Journal,Year
39954697,"Safety and drug quantification of the dapivirine vaginal ring and oral pre-exposure prophylaxis in breastfeeding mother-infant pairs (MTN-043): a phase 3B, open-label, randomised trial.",The lancet. HIV,2025
38200564,Cocaine regulates antiretroviral therapy CNS access through pregnane-x receptor-mediated drug transporter and metabolizing enzyme modulation at the blood brain barrier.,Fluids and barriers of the CNS,2024
37546800,Cocaine Regulates Antiretroviral Therapy CNS Access Through Pregnane-X Receptor-Mediated Drug Transporter and Metabolizing Enzyme Modulation at the Blood Brain Barrier.,bioRxiv : the preprint server for biology,2023
33544759,Impact of postpartum tenofovir-based antiretroviral therapy on bone mineral density in breastfeeding women with HIV enrolled in a randomized clinical trial.,PloS one,2021
32899170,Click-Free Synthesis of a Multivalent Tricyclic Peptide as a Molecular Transporter.,Pharmaceutics,2020
31160284,Multiple Drug Transporters Contribute to the Placental Transfer of Emtricitabine.,Antimicrobial agents and chemotherapy,2019
29649076,Pharmacokinetics of Tenofovir Alafenamide When Coadministered With Other HIV Antiretrovirals.,Journal of acquired immune deficiency syndromes (1999),2018
27076103,Antiretroviral drug transporters and metabolic enzymes in human testicular tissue: potential contribution to HIV-1 sanctuary site.,The Journal of antimicrobial chemotherapy,2016
26727197,"Long-term administration of tenofovir or emtricitabine to pregnant rats; effect on Abcb1a, Abcb1b and Abcg2 expression in the placenta and in maternal and fetal organs.",The Journal of pharmacy and pharmacology,2016
25394095,"Efficacy, safety, and lack of interactions with the use of raltegravir in HIV-infected patients undergoing antineoplastic chemotherapy.",Journal of the International AIDS Society,2014
24375014,Pharmacokinetics of cobicistat boosted-elvitegravir administered in combination with rosuvastatin.,Journal of clinical pharmacology,2014
18985183,Gateways to clinical trials.,Methods and findings in experimental and clinical pharmacology,2008
