PMID,Title,Journal,Year
40847916,The 'Informed Matter' of Gay and Bisexual Men's (Potential) Use of HIV Antiretrovirals to Prevent COVID-19.,Sociology of health & illness,2025
40745633,Efficacy of tenofovir on clinical outcomes of COVID-19 patients: a systematic review.,BMC infectious diseases,2025
40402466,Four-Year Experience of HIV Pre-exposure Prophylaxis (PrEP) from an Italian Multicentre Cohort: Incidence of Sexually Transmitted Infections and Renal Toxicity.,AIDS and behavior,2025
40281876,The Effect of SARS-CoV-2 Vaccination on HIV Viral Load in Patients Under Bictegravir/Tenofovir Alafenamide/Emtricitabine Therapy: A Retrospective Observational Study.,"Healthcare (Basel, Switzerland)",2025
40179836,Safety and Efficacy of Pharmacotherapy Containing the Second-Generation Integrase Inhibitors and Chemotherapy Drugs in AIDS-Related Diffuse Large B-Cell Lymphoma: A Single-Center Retrospective Analysis.,Oncology research and treatment,2025
40079835,"Doravirine/islatravir (100/0.75 mg) once-daily compared to bictegravir/emtricitabine/tenofovir alafenamide as initial HIV-1 treatment: 48-week results from a phase 3, randomized, controlled, double-blind, non-inferiority trial.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
40021991,Telemedicine virologic and immunologic outcomes in people living with HIV (PLWH) in a correctional setting during the SARS-CoV-2 pandemic.,BMC infectious diseases,2025
39470635,Representation of Native Hawaiian and Pacific Islander Individuals in Clinical Trials.,JAMA network open,2024
39034049,Making new drugs the hard way.,"Advances in pharmacology (San Diego, Calif.)",2024
38918748,Dynamics of HIV PrEP use and coverage during and after COVID-19 in Germany.,BMC public health,2024
38831550,Weight change with antiretroviral switch from integrase inhibitor or tenofovir alafenamide-based to Doravirine-Based regimens in people with HIV.,HIV research & clinical practice,2024
38197085,Effectiveness of Drug Repurposing and Natural Products Against SARS-CoV-2: A Comprehensive Review.,Clinical pharmacology : advances and applications,2024
38040478,HIV pre-exposure prophylaxis and its implementation in the PrEP Impact Trial in England: a pragmatic health technology assessment.,The lancet. HIV,2023
38026934,Statutory health insurance-covered pre-exposure prophylaxis in Germany: changing trends in nationwide tenofovir disoproxil/emtricitabine prescriptions during the COVID-19 pandemic.,Frontiers in pharmacology,2023
37849432,Major revision version 12.0 of the European AIDS Clinical Society guidelines 2023.,HIV medicine,2023
37790938,Viral dissemination and immune activation modulate antiretroviral drug levels in lymph nodes of SIV-infected rhesus macaques.,Frontiers in immunology,2023
37783219,"Efficacy, safety, tolerability, and pharmacokinetics of long-acting injectable cabotegravir for HIV pre-exposure prophylaxis in transgender women: a secondary analysis of the HPTN 083 trial.",The lancet. HIV,2023
37752816,HIV-DNA decrease during treatment in primary HIV-1 infection with three different drug regimens: Italian Network of Acute HIV Infection (INACTION) clinical trial.,Journal of medical virology,2023
37666866,Identification of potential new COVID-19 treatments via RWD-driven drug repurposing.,Scientific reports,2023
37545919,Investigation of antiviral substances in Covid 19 by Molecular Docking: In Silico Study.,African health sciences,2023
