PMID,Title,Journal,Year
40937125,"Viral suppression in adults on efavirenz- or dolutegravir-based antiretroviral therapy in Mopani District, South Africa.",Southern African journal of HIV medicine,2025
40857111,HIV-1 Resistance Analysis of Participants With HIV-1 and Hepatitis B Receiving Bictegravir/Emtricitabine/Tenofovir Alafenamide or Dolutegravir Plus Emtricitabine/Tenofovir Disoproxil Fumarate Through the Open-Label Extension of the ALLIANCE Study.,Journal of acquired immune deficiency syndromes (1999),2025
40788226,Brief Report: HIV-1 Resistance Analysis of Participants With HIV-1 and Hepatitis B Initiating Therapy With Bictegravir/Emtricitabine/Tenofovir Alafenamide or Dolutegravir Plus Emtricitabine/Tenofovir Disoproxil Fumarate: A Subanalysis of ALLIANCE Data.,Journal of acquired immune deficiency syndromes (1999),2024
40616767,Indirect Treatment Comparison of Long-Acting Injectable Cabotegravir as Pre-exposure Prophylaxis When Compared with no Pre-exposure Prophylaxis for HIV Prevention.,Infectious diseases and therapy,2025
40577173,"A randomised trial to compare dolutegravir plus boosted darunavir versus recommended standard of care antiretroviral regimens in people with HIV-1, whose first-line non-nucleoside reverse transcriptase inhibitor therapy has failed: Final 96-week results of the D2EFT study.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
40233329,"Pharmacokinetics of Tenofovir Diphosphate, Lamivudine Triphosphate and Emtricitabine Triphosphate in Adolescents With HIV Infection With and Without Tuberculosis Coinfection.",The Pediatric infectious disease journal,2025
40179836,Safety and Efficacy of Pharmacotherapy Containing the Second-Generation Integrase Inhibitors and Chemotherapy Drugs in AIDS-Related Diffuse Large B-Cell Lymphoma: A Single-Center Retrospective Analysis.,Oncology research and treatment,2025
39807872,HIV-1 DNA Genotypic Drug Resistance Testing Guides Antiretroviral Therapy in Patients with Low-Level Viremia.,AIDS research and human retroviruses,2025
39602624,Twice-Yearly Lenacapavir for HIV Prevention in Men and Gender-Diverse Persons.,The New England journal of medicine,2025
39030884,Patterns of daily oral HIV PrEP adherence among people who inject drugs in Ukraine: an analysis of biomarkers.,Journal of the International AIDS Society,2024
38802753,"A complex case study: coexistence of multi-drug-resistant pulmonary tuberculosis, HBV-related liver failure, and disseminated cryptococcal infection in an AIDS patient.",BMC infectious diseases,2024
38795930,CRF08_BC subtype is more prone to ART failure and new-generation NNRTI-resistance under long-term first-line ART.,International journal of antimicrobial agents,2024
38599659,"A case report highlighting drug-drug interactions between 3 life-saving treatments: Feminizing hormones, antiretrovirals and antituberculosis drugs.",British journal of clinical pharmacology,2024
38056572,Rapid ART initiation with bictegravir/emtricitabine/tenofovir alafenamide in individuals presenting with advanced HIV disease (Rainbow study).,International journal of antimicrobial agents,2024
37949444,"More Frequent HIV Viral Load Testing With Point-Of-Care Tests Detects Elevated Viral Load Earlier in Postpartum HIV-Positive Women in a Randomized Controlled Trial in Two Clinics in Johannesburg, South Africa.",Journal of acquired immune deficiency syndromes (1999),2023
37939141,"A study of the pharmacokinetics, safety, and efficacy of bictegravir/emtricitabine/tenofovir alafenamide in virologically suppressed pregnant women with HIV.","AIDS (London, England)",2024
37890226,The clinical impact of rifampicin-based anti-TB therapy and tenofovir alafenamide-containing ARV regimen drug Interaction in people living with HIV: Case series report.,Journal of infection and public health,2023
37494942,"Bictegravir, emtricitabine, and tenofovir alafenamide versus dolutegravir, emtricitabine, and tenofovir disoproxil fumarate for initial treatment of HIV-1 and hepatitis B coinfection (ALLIANCE): a double-blind, multicentre, randomised controlled, phase 3 non-inferiority trial.",The lancet. HIV,2023
37374953,Efficacy and Safety of Two-Drug Regimens That Are Approved from 2018 to 2022 for the Treatment of Human Immunodeficiency Virus (HIV) Disease and Its Opportunistic Infections.,Microorganisms,2023
37235306,The State of the HIV Epidemic in the Philippines: Progress and Challenges in 2023.,Tropical medicine and infectious disease,2023
