PMID,Title,Journal,Year
39400108,Empagliflozin and other SGLT2 inhibitors in patients with heart failure and preserved ejection fraction: a systematic review and meta-analysis.,Therapeutic advances in cardiovascular disease,2024
39076384,Association of Sodium-Glucose Cotransporter 2 Inhibitors (SGLT2i) with Cardiac Arrhythmias: A Systematic Review and Meta-Analysis of Cardiovascular Outcome Trials.,Reviews in cardiovascular medicine,2023
38690659,Ertugliflozin for Functional Mitral Regurgitation Associated With Heart Failure: EFFORT Trial.,Circulation,2024
37966828,Sodium-glucose co-transporter-2 inhibitors for the prevention of atrial fibrillation: a systemic review and meta-analysis.,European journal of preventive cardiology,2024
36967133,Systematic review of sodium-glucose cotransporter 2 inhibitors: a hopeful prospect in tackling heart failure-related events.,ESC heart failure,2023
36508322,Sodium-Glucose Cotransporter 2 Inhibitor Treatment and Risk of Atrial Fibrillation: Scandinavian Cohort Study.,Diabetes care,2023
35045327,Ertugliflozin to reduce arrhythmic burden in ICD/CRT patients (ERASe-trial) - A phase III study.,American heart journal,2022
34813574,Association of SGLT2 Inhibitors With Risk of Atrial Fibrillation and Stroke in Patients With and Without Type 2 Diabetes: A Systemic Review and Meta-Analysis of Randomized Controlled Trials.,Journal of cardiovascular pharmacology,2022
34355511,Prospective association of serum adipocyte fatty acid-binding protein with heart failure hospitalization in diabetes.,ESC heart failure,2021
33815278,Protective Effects of Sodium-Glucose Transporter 2 Inhibitors on Atrial Fibrillation and Atrial Flutter: A Systematic Review and Meta- Analysis of Randomized Placebo-Controlled Trials.,Frontiers in endocrinology,2021
33757845,Association of SGLT2 inhibitors with arrhythmias and sudden cardiac death in patients with type 2 diabetes or heart failure: A meta-analysis of 34 randomized controlled trials.,Heart rhythm,2021
