PMID,Title,Journal,Year
40918816,Association Between Sodium-Glucose Cotransporter-2 (SGLT2) Inhibitor Use and All-Cause Mortality in Patients With Pulmonary Arterial Hypertension.,Cureus,2025
40693064,Sodium-Glucose Cotransporter 2 (SGLT2) Inhibitors in Heart Failure With Preserved Ejection Fraction: A Systematic Review.,Cureus,2025
40411658,The Role of Diabetes and SGLT2 Inhibitors in Cerebrovascular Diseases.,Current neurology and neuroscience reports,2025
40330399,Heart Failure Treatment in Underserved Populations: A Comprehensive Analysis of Sacubitril/Valsartan and Sodium-Glucose Transporter 2 Inhibitor (SGLT2i) Prescription Trends at a Safety Net Hospital.,Cureus,2025
40324721,Comparative efficacy and safety of SGLT2 inhibitor class members in patients with heart failure and type 2 diabetes: A systematic review and network meta-analysis of randomized controlled trials.,Diabetes research and clinical practice,2025
40291834,SGLT2 inhibitor upregulates myocardial genes for oxidative phosphorylation and fatty acid metabolism in Galphaq-mice.,Journal of molecular and cellular cardiology plus,2025
40207988,Mechanistic evaluation of ertugliflozin in patients with type 2 diabetes and heart failure.,Physiological reports,2025
40183146,Insightful Perspectives on Sodium-glucose Co-transporter 2 Inhibitors: Navigating Safety Updates and Beyond.,Current drug research reviews,2025
40044419,Impact of sodium-glucose cotransporter-2 inhibitors on heart failure outcomes in cancer patients and survivors: a systematic review and meta-analysis.,European journal of preventive cardiology,2025
40028005,"Cardiovascular and Renal Outcomes with Ertugliflozin by Baseline Use of Renin-Angiotensin-Aldosterone System Inhibitors or Diuretics, Including Mineralocorticoid Receptor Antagonist: Analyses from the VERTIS CV Trial.","Kidney diseases (Basel, Switzerland)",2025
39893467,Redefining outcomes of ventricular arrhythmia for SGLT2 inhibitor medication in heart failure patients: a meta-analysis of randomized controlled trials.,Systematic reviews,2025
39838812,A comprehensive review of the efficacy and safety of ertugliflozin.,Expert opinion on drug metabolism & toxicology,2025
39836758,"Response by Park and Kang to Letter Regarding Article, ""Ertugliflozin for Functional Mitral Regurgitation Associated With Heart Failure: EFFORT Trial"".",Circulation,2025
39836753,"Letter by Wang and Peng Regarding Article, ""Ertugliflozin for Functional Mitral Regurgitation Associated With Heart Failure: EFFORT Trial"".",Circulation,2025
39792342,Heart failure outcomes captured by adverse event reporting in participants with type 2 diabetes and atherosclerotic cardiovascular disease: Observations from the VERTIS CV trial.,European journal of heart failure,2025
39696829,Long-term weight loss and cardiorenal outcomes by baseline BMI in the VERTIS CV trial.,"Diabetes, obesity & metabolism",2025
39438942,Effect of ertugliflozin on left ventricular function in type 2 diabetes and pre-heart failure: the Ertu-GLS randomized clinical trial.,Cardiovascular diabetology,2024
39400108,Empagliflozin and other SGLT2 inhibitors in patients with heart failure and preserved ejection fraction: a systematic review and meta-analysis.,Therapeutic advances in cardiovascular disease,2024
39217453,Ertugliflozin to Reduce Arrhythmic Burden in Patients with ICDs/CRT-Ds.,NEJM evidence,2024
39160356,SGLT2 inhibitors: how do they affect the cardiac cells.,Molecular and cellular biochemistry,2025
