PMID,Title,Journal,Year
40908379,In silico identification of peptidomimetic inhibitors targeting PXR and RXR interaction to overcome the inactivation of vitamin D in asthma.,Molecular diversity,2025
40901283,Optimizing Fluticasone Propionate and Ciclesonide pMDI Delivery: The Protective Role of Valved Holding Chambers Against Inhalation Timing Errors.,Journal of asthma and allergy,2025
40801091,Montelukast + fluticasone propionate vs. fluticasone propionate in the treatment of cough variant asthma in children: Cost-utility analysis.,The Journal of asthma : official journal of the Association for the Care of Asthma,2025
40791087,Cost-Utility of Fluticasone Propionate/Salmeterol and Fluticasone Propionate Monotherapy in Step-Up Treatment of Childhood Asthma.,Pediatric pulmonology,2025
40759266,"Efficacy and safety of novel fixed dose combination of vilanterol, glycopyrronium, and fluticasone furoate dry powder inhaler: A phase 3, randomized, non-inferiority trial compared with fixed dose combination of indacaterol, glycopyrronium, and mometasone furoate dry powder inhaler in Indian asthma patients.",Respiratory medicine,2025
40739568,Extracellular vesicles from bronchoalveolar lavage fluid provide insights into the inhaled corticosteroids treatment response in COPD.,Respiratory research,2025
40736776,"Clinical Remission Outcome in Chinese Patients With Severe Asthma With an Eosinophilic Phenotype Receiving Mepolizumab: A Post-hoc Analysis of a Phase 3, Randomized, Double-Blind, Placebo-Controlled Trial.","Allergy, asthma & immunology research",2025
40725761,Adherence to Intranasal Corticosteroids in Patients with Severe Asthma and Nasal Polyposis: Pharmacological and Clinical Factors Involved.,Journal of clinical medicine,2025
40715194,Resultant greenhouse gases from the use of inhaled corticosteroid based on Global Initiative for Asthma (GINA) guidelines: a primary care used case from Singapore.,NPJ primary care respiratory medicine,2025
40675397,The effect of inhalation delay on the aerodynamic particle size distribution of fluticasone propionate and ciclesonide using pMDI and valved holding chambers.,Respiratory medicine,2025
40622686,Budesonide-Formoterol Metered-Dose Inhaler vs Fluticasone-Salmeterol Dry-Powder Inhaler.,JAMA internal medicine,2025
40507284,Effect of Preoperative Single-Inhaler Triple Therapy on Pulmonary Function in Lung Cancer Patients with Chronic Obstructive Pulmonary Disease and FEV(1) < 1.5 L.,Cancers,2025
40446865,Comparative effectiveness of inhaled fluticasone propionate/salmeterol and budesonide/formoterol fixed-dose combinations in asthma control - a retrospective United States database analysis.,Respiratory medicine,2025
40436198,Increased rhinovirus replication following corticosteroid and air pollution exposures.,Environmental research,2025
40433997,Single-inhaler triple therapy improves small airway dysfunction in moderate to severe asthma and asthma-COPD overlap: a retrospective cohort study.,The Journal of asthma : official journal of the Association for the Care of Asthma,2025
40407861,A cost-effectiveness analysis comparing single-inhaler extrafine beclomethasone/formoterol/glycopyrronium bromide against other SITTs in adult patients with uncontrolled asthma in England.,Health economics review,2025
40356248,Lung Deposition of Extrafine Versus Nonextrafine Aerosols at Low Inhalation Flow Rates in Adult Asthma Patients: A Composition Study.,Journal of aerosol medicine and pulmonary drug delivery,2025
40328074,Analysis of adherence to ICS/LAMA/LABA in patients with asthma: a retrospective observational cohort study using medical claims data.,Respiratory investigation,2025
40324685,Investigation of the suitability of utilizing plasma concentration as a surrogate to understand lung exposure of inhaled drug in rats: Different delivery methods of fluticasone propionate.,Journal of pharmaceutical sciences,2025
40283397,Real-World Effectiveness of Fluticasone Furoate/Umeclidinium/Vilanterol Initiation in Japanese Patients with Asthma Previously on Inhaled Corticosteroid/Long-Acting beta(2)-Agonist Therapy: A Retrospective Cohort Study.,Journal of clinical medicine,2025
