PMID,Title,Journal,Year
27333298,Eosinophilic Esophagitis: Impact of Latest Insights Into Pathophysiology on Therapeutic Strategies.,"Digestive diseases (Basel, Switzerland)",2016
25727533,Improvement in psychotic symptoms after a gluten-free diet in a boy with complex autoimmune illness.,The American journal of psychiatry,2015
23503968,Glucocorticosteroids in the treatment of inflammatory bowel disease and approaches to minimizing systemic activity.,Therapeutic advances in gastroenterology,2013
19687602,Tracheobronchitis in a patient with Crohn's disease.,"Internal medicine (Tokyo, Japan)",2009
15497519,Tracheo-bronchitis associated with Crohn's disease improved on inhaled corticotherapy.,"Internal medicine (Tokyo, Japan)",2004
14583917,Corticosteroids for maintenance of remission in Crohn's disease.,The Cochrane database of systematic reviews,2003
11686956,Corticosteroids for maintaining remission of Crohn's disease.,The Cochrane database of systematic reviews,2001
10796525,Corticosteroids for maintaining remission of Crohn's disease.,The Cochrane database of systematic reviews,2000
10596470,[Treatment of Crohn's disease].,Casopis lekaru ceskych,1999
8534536,[Advances in the topical steroid treatment of inflammatory bowel diseases].,Revista espanola de enfermedades digestivas,1995
2060874,Fluticasone propionate in Crohn's disease.,Gut,1991
