PMID,Title,Journal,Year
38812314,Ibrutinib Contributes to Atrial Arrhythmia through the Autophagic Degradation of Connexins by Inhibiting the PI3K-AKT-mTOR Signaling Pathway.,Frontiers in bioscience (Landmark edition),2024
37282505,Edoxaban Versus Low-Molecular-Weight Heparin in Hospitalized COVID-19 Patients With Atrial Fibrillation.,Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,2023
36820106,Sinus Node Dysfunction and Acute Transverse Myelitis As Initial Presentation of Systemic Lupus Erythematosus in a 55-Year-Old Female: A Case Report.,Cureus,2023
36732468,Effects of hydroxychloroquine on atrial electrophysiology in in silico wild-type and PITX2(+/-) atrial cardiomyocytes.,Herz,2023
36660165,Incidence of arrhythmias in COVID-19 patients with double mutant strain of SARS-CoV-2 virus: A tertiary care experience.,Global cardiology science & practice,2022
36440249,Risk Factors for QT Prolongation in Patients with Chronic Hydroxychloroquine Use.,Acta Cardiologica Sinica,2022
36054570,Risk of Arrhythmia Among New Users of Hydroxychloroquine in Rheumatoid Arthritis and Systemic Lupus Erythematosus: A Population-Based Study.,"Arthritis & rheumatology (Hoboken, N.J.)",2023
35891806,Controversial COVID-19 Cures: Hydroxychloroquine and Oleander Pediatric Ingestion Simulation Cases.,Cureus,2022
35516670,Seven day continuous ambulatory electrocardiographic telemetric study with pocket electrocardiographic recording device for detecting hydroxychloroquine induced arrhythmias.,Journal of family medicine and primary care,2022
35386046,Serious Cardiovascular Adverse Events Associated with Hydroxychloroquine/Chloroquine Alone or with Azithromycin in Patients with COVID-19: A Pharmacovigilance Analysis of the FDA Adverse Event Reporting System (FAERS).,Drugs - real world outcomes,2022
35087712,Antiviral and anti-inflammatory drugs to combat COVID-19: Effects on cardiac ion channels and risk of ventricular arrhythmias.,BioImpacts : BI,2022
34785211,Assessment of proarrhythmogenic risk for chloroquine and hydroxychloroquine using the CiPA concept.,European journal of pharmacology,2021
34621334,Drug-Drug Interactions in Patients with COVID-19: A Retrospective Study at a Tertiary Care Hospital in Eastern India.,Maedica,2021
34246387,Spontaneous Hemoptysis in a Patient With COVID-19.,Chest,2021
33663232,False-Positive (99m)Technetium-Pyrophosphate Scintigraphy in Two Patients With Hypertrophic Cardiomyopathy.,Circulation. Heart failure,2021
33447021,Clinical Characteristics and Prognosis of COPD Patients Hospitalized with SARS-CoV-2.,International journal of chronic obstructive pulmonary disease,2020
33271643,COVID-19 and Cardiac Concerns for Psychiatric Patients.,The primary care companion for CNS disorders,2020
33098269,Association of Hydroxychloroquine Use With Decreased Incident Atrial Fibrillation in Systemic Lupus Erythematosus.,Arthritis care & research,2021
33097683,Delayed Presentation of Acute Generalized Exanthematous Pustulosis Following Treatment with Cefepime in a Patient with COVID-19 without the Use of Hydroxychloroquine.,The American journal of case reports,2020
33043453,Incidence and treatment of arrhythmias secondary to coronavirus infection in humans: A systematic review.,European journal of clinical investigation,2021
