PMID,Title,Journal,Year
40901701,Incorporating preprints in systematic reviews: a preliminary study of a novel method for rapid evidence synthesis.,Journal of the American Medical Informatics Association : JAMIA,2025
40791692,Incorporating Preprints in Systematic Reviews: A Preliminary Study of a Novel Method for Rapid Evidence Synthesis.,medRxiv : the preprint server for health sciences,2025
40743475,Visualization of FDA Adverse Drug Reaction Reports: Development and Usability Study of the VisDrugs Web Server.,JMIR formative research,2025
40735013,Hydroxychloroquine-Derived Ionizable Lipid Facilitates Spleen-Tropic Transfection and Enhances Cancer Immunotherapy.,Chem & bio engineering,2025
40733499,"COVID-19 and a Tale of Three Drugs: To Repurpose, or Not to Repurpose-That Was the Question.",Viruses,2025
40732271,A New In Silico Comparison of the Relative Affinity of Enantiomeric Chloroquine (CQ) and Hydroxychloroquine (HCQ) for ACE2.,"Pharmaceuticals (Basel, Switzerland)",2025
40709725,Integrating Chemo- and Bioinformatics with In Vitro Biological Assays to Discover Potential ACE2 and Mpro Inhibitors against SARS-CoV-2.,Journal of chemical information and modeling,2025
40709029,"Characteristics, management and factors associated with poor outcomes in COVID-19 patients in Burkina Faso: insights from a 2021 large-scale ambispective study.",Frontiers in public health,2025
40698256,Acute Hydroxychloroquine Overdose With Severe and Prolonged Cardiotoxicity.,Cureus,2025
40696628,Facial edema after covid-19 ameliorated by acupuncture: A CARE-compliant case report.,Medicine,2025
40679004,Drug-drug interactions with azithromycin during COVID-19: An evidence of contribution towards patient mortality.,Pakistan journal of pharmaceutical sciences,2025
40666594,Paraneoplastic Amyopathic Dermatomyositis Associated With a Bone and Medullary Location of Breast Adenocarcinoma.,Cureus,2025
40659960,On degree-dependent topological study of line graph of some antiviral COVID-19 drugs.,"The European physical journal. E, Soft matter",2025
40650450,Synthesis of Perfluorooctyl-Functionalized Halloysite Nanotubes for Dispersive Solid-Phase Extraction of Antimalarial Inhibitors in Whole Blood.,Journal of separation science,2025
40645955,Reply to: On meta-analytic models and the effect of hydroxychloroquine use in COVID-19.,Nature communications,2025
40645930,On meta-analytic models and the effect of hydroxychloroquine use in COVID-19.,Nature communications,2025
40624696,The lost chILD: a case report of delayed diagnosis of surfactant protein C deficiency in a 15-year-old African male.,Italian journal of pediatrics,2025
40619454,Tocilizumab as a targeted immunomodulatory therapy in the management of severe respiratory illnesses: a multicenter cohort study of COVID-19 patients.,Scientific reports,2025
40618216,Comparative outcomes of COVID-19 in patients with primary Sjogren's syndrome treated with hydroxychloroquine versus methotrexate: a retrospective cohort study.,Annals of medicine,2025
40615618,The PRINCIPLE randomised controlled open label platform trial of hydroxychloroquine for treating COVID19 in community based patients at high risk.,Scientific reports,2025
