PMID,Title,Journal,Year
39906951,Granulomatous vulvitis complicated by polymicrobial growth.,International journal of STD & AIDS,2025
34381526,"[Chronic inflammatory bowel diseases: what happens when SARS-CoV-2 occurs? Preliminary results from a study conducted at the Hassan II University Teaching Hospital in Fes, Morocco (a case report)].",The Pan African medical journal,2021
33457362,Pleuroparenchymal Fibroelastosis Associated with Crohn's Disease: A New Aetiology?,European journal of case reports in internal medicine,2020
33072463,Sustained Remission of Lupus Panniculitis Treated With Hydroxychloroquine in a Patient With Crohn's Disease: A Case Report.,Cureus,2020
32830267,"Incidence, Clinical Characteristics, and Evolution of SARS-CoV-2 Infection in Patients With Inflammatory Bowel Disease: A Single-Center Study in Madrid, Spain.",Inflammatory bowel diseases,2021
32777550,Systematic Review on Inflammatory Bowel Disease Patients With Coronavirus Disease 2019: It Is Time to Take Stock.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2020
32681228,Randomized Trial of Ciprofloxacin Doxycycline and Hydroxychloroquine Versus Budesonide in Active Crohn's Disease.,Digestive diseases and sciences,2021
29951562,Development of Drug-Induced Inverse Psoriasis in a Patient with Crohn's Disease.,ACG case reports journal,2018
25839777,Killing of Escherichia coli by Crohn's Disease Monocyte-derived Macrophages and Its Enhancement by Hydroxychloroquine and Vitamin D.,Inflammatory bowel diseases,2015
25244345,An update on disease modifying antirheumatic drugs.,Inflammation & allergy drug targets,2014
23602891,Pregnancy outcome following in utero exposure to hydroxychloroquine: a prospective comparative observational study.,"Reproductive toxicology (Elmsford, N.Y.)",2013
23518804,Tumor necrosis factor alpha antagonist-associated psoriasis in inflammatory diseases: an analysis of the FDA adverse event reporting system.,Inflammatory bowel diseases,2013
22504032,Inflammatory bowel disease and lupus: a systematic review of the literature.,Journal of Crohn's & colitis,2012
22249306,Coexistence of Crohn's disease in a patient with systemic lupus erythematosus.,Rheumatology international,2013
12066767,Cheilitis granulomatosa: overview of 13 patients with long-term follow-up--results of management.,International journal of dermatology,2002
10761605,[Cheilitis granulomatosa in a child].,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie,2000
10692062,Lichenoid and granulomatous dermatitis.,International journal of dermatology,2000
7750724,Hydroxychloroquine (Plaquenil) for recurrence prevention of Crohn's disease after curative surgery.,Gastroenterologie clinique et biologique,1995
7977573,Treatment strategies for scleritis and uveitis associated with inflammatory bowel disease.,American journal of ophthalmology,1994
1301697,[Granulomatous cheilitis with cutaneous extension in Crohn disease. Regression with hydroxychloroquine].,Annales de dermatologie et de venereologie,1992
