PMID,Title,Journal,Year
40526615,Risk of ischemic stroke associated with anti-rheumatic agents in patients with rheumatoid arthritis: A nationwide population-based case-control study.,PloS one,2025
39694827,Inhibition of Pyroptosis by Hydroxychloroquine as a Neuroprotective Strategy in Ischemic Stroke.,eNeuro,2024
39477448,Karius testing in the identification of Coxiella burnetii infective endocarditis presenting with acute ischaemic stroke.,BMJ case reports,2024
39059754,Antiphospholipid antibodies as potential prognostic indicators of recurrent ischemic stroke.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2024
38028052,Recurrent left ischemic stroke in a patient with systemic lupus erythematosus: A case report.,Clinical case reports,2023
37553227,Patient-reported outcomes of neurologic and neuropsychiatric symptoms in mild COVID-19: a prospective cohort study.,CMAJ open,2023
37264095,"Prevalence, risk factors, and prognosis of central nervous system manifestations in antiphospholipid syndrome.",Scientific reports,2023
37246776,Hydroxychloroquine exposure reduces the risk of cardiovasular disease events in patients with hypertension or diabetes mellitus.,Clinical and experimental rheumatology,2023
36238309,Exploring the risk factors for ischemic cerebrovascular disease in systemic lupus erythematosus: A single-center case-control study.,Frontiers in immunology,2022
34856695,"[The 490th case: arthralgia, amenorrhea, aphasia].",Zhonghua nei ke za zhi,2021
34145052,Assessing the efficacy and safety of hydroxychloroquine as outpatient treatment of COVID-19: a randomized controlled trial.,CMAJ open,2021
33681293,Neurological Consequences of SARS-CoV-2 Infection and Concurrence of Treatment-Induced Neuropsychiatric Adverse Events in COVID-19 Patients: Navigating the Uncharted.,Frontiers in molecular biosciences,2021
33548929,COVID-19 and Its Implications for Thrombosis and Anticoagulation.,Seminars in respiratory and critical care medicine,2021
33392888,Aneurysms in primary antiphospholipid syndrome: a case-based review.,Clinical rheumatology,2021
33321159,Use of hydroxychloroquine and risk of major adverse cardiovascular events in patients with lupus erythematosus: A Danish nationwide cohort study.,Journal of the American Academy of Dermatology,2021
33132915,"Effect of Triple Combination Therapy With Lopinavir-Ritonavir, Azithromycin, and Hydroxychloroquine on QT Interval and Arrhythmic Risk in Hospitalized COVID-19 Patients.",Frontiers in pharmacology,2020
33043250,Thrombosis and Bleeding as Presentation of COVID-19 Infection with Polycythemia Vera. A Case Report.,SN comprehensive clinical medicine,2020
32968208,Pharmacological and cardiovascular perspectives on the treatment of COVID-19 with chloroquine derivatives.,Acta pharmacologica Sinica,2020
32760619,A Case of COVID-19-Induced Vestibular Neuritis.,Cureus,2020
32534327,Unusual simultaneous cerebral infarcts in multiple arterial territories in a COVID-19 patient.,Thrombosis research,2020
