PMID,Title,Journal,Year
40429679,"Hand Osteoarthritis: Molecular Mechanisms, Randomized Controlled Trials, and the Future of Targeted Treatment.",International journal of molecular sciences,2025
39154846,Outcomes following total shoulder arthroplasty in patients with systemic lupus erythematosus.,Journal of shoulder and elbow surgery,2025
39089298,Calcium pyrophosphate deposition disease.,The Lancet. Rheumatology,2024
39030495,The performance of a Bayesian value-based sequential clinical trial design in the presence of an equivocal cost-effectiveness signal: evidence from the HERO trial.,BMC medical research methodology,2024
38882993,"A Narrative Review of Chondrocalcinosis: Clinical Presentation, Diagnosis, and Therapies.",Cureus,2024
38821468,Repurposing drugs for the treatment of osteoarthritis.,Osteoarthritis and cartilage,2024
38529115,Recent advances in the therapeutic management of calcium pyrophosphate deposition disease.,Frontiers in medicine,2024
38158992,[Diastolic dysfunction of ventricles in patients with calcium pyrophosphate crystal deposition disease while receiving anti-inflammatory therapy].,Terapevticheskii arkhiv,2023
38054626,Hypoxia and Matrix Metalloproteinase 13-Responsive Hydrogel Microspheres Alleviate Osteoarthritis Progression In Vivo.,"Small (Weinheim an der Bergstrasse, Germany)",2024
37804186,"Overlapping systemic lupus erythematosus, seropositive erosive rheumatoid arthritis, and ANCA-associated vasculitis: A case report and literature review.",Modern rheumatology case reports,2023
37797830,Hand osteoarthritis: A fresh look.,Joint bone spine,2024
37734873,Comparative effectiveness of pharmacological interventions for hand osteoarthritis: a systematic review and network meta-analysis of randomised trials.,RMD open,2023
36937821,An update on the use of conventional and biological disease-modifying anti-rheumatic drugs in hand osteoarthritis.,Therapeutic advances in musculoskeletal disease,2023
35908643,Effect of disease-modifying anti-rheumatic drugs in osteoarthritis: A meta-analysis.,Joint bone spine,2022
35000374,Efficacy of hydroxychloroquine for knee osteoarthritis.,The Korean journal of internal medicine,2022
34950454,Cost-effectiveness of hydroxychloroquine versus placebo for hand osteoarthritis: economic evaluation of the HERO trial.,F1000Research,2021
34403405,Drug-Associated Eosinophilic Fasciitis: A Case of Eosinophilic Fasciitis Secondary to Cemiplimab Therapy.,The American journal of case reports,2021
34215704,"Hydroxychloroquine in patients with inflammatory and erosive osteoarthritis of the hands: results of the OA-TREAT study-a randomised, double-blind, placebo-controlled, multicentre, investigator-initiated trial.",RMD open,2021
34094861,Andrographolide attenuates synovial inflammation of osteoarthritis by interacting with tumor necrosis factor receptor 2 trafficking in a rat model.,Journal of orthopaedic translation,2021
33882635,Efficacy and safety of hydroxychloroquine in osteoarthritis: a systematic review and meta-analysis of randomized controlled trials.,The Korean journal of internal medicine,2022
