PMID,Title,Journal,Year
40418946,ERN ReCONNET-SLICC-SLEuro expert consensus on the therapeutic management of rare systemic lupus erythematosus manifestations.,The Lancet. Rheumatology,2025
40243121,Effects of chloroquine and hydroxychloroquine on bone health (Review).,Molecular medicine reports,2025
40116061,Association between bone mineral density and vascular health in rheumatoid arthritis.,Singapore medical journal,2025
39843360,Factors influencing therapeutic efficacy of denosumab against osteoporosis in systemic lupus erythematosus.,Lupus science & medicine,2025
39416769,Inhibitory effect of hydroxychloroquine on glucocorticoid-induced osteoporosis in lupus therapy.,Clinical & translational immunology,2024
39317452,Real-world treatment patterns in patients with systemic lupus erythematosus: associations with comorbidities and damage.,Lupus science & medicine,2024
39231935,Hydroxychloroquine and a low antiresorptive activity bisphosphonate conjugate prevent and reverse ovariectomy-induced bone loss in mice through dual antiresorptive and anabolic effects.,Bone research,2024
39154356,Hydroxychloroquine and risk of osteoporosis in patients with rheumatoid arthritis: A population-based retrospective study of 6408 patients.,International journal of rheumatic diseases,2024
39079412,Identification of critical genes and metabolic pathways in rheumatoid arthritis and osteoporosis toward drug repurposing.,Computers in biology and medicine,2024
38821468,Repurposing drugs for the treatment of osteoarthritis.,Osteoarthritis and cartilage,2024
38746138,Hydroxychloroquine and a low activity bisphosphonate conjugate prevent and reverse ovariectomy-induced bone loss in mice through dual antiresorptive and anabolic effects.,Research square,2024
38642569,Systemic lupus erythematosus.,"Lancet (London, England)",2024
38291762,Factors affecting bone mineral density in children and adolescents with systemic lupus erythematosus.,Annals of pediatric endocrinology & metabolism,2024
37827694,EULAR recommendations for the management of systemic lupus erythematosus: 2023 update.,Annals of the rheumatic diseases,2024
37710183,Acid sphingomyelinase mediates ferroptosis induced by high glucose via autophagic degradation of GPX4 in type 2 diabetic osteoporosis.,"Molecular medicine (Cambridge, Mass.)",2023
37385514,PTP1B knockdown alleviates BMSCs senescence via activating AMPK-mediated mitophagy and promotes osteogenesis in senile osteoporosis.,Biochimica et biophysica acta. Molecular basis of disease,2023
37291382,What are the core recommendations for rheumatoid arthritis care? Systematic review of clinical practice guidelines.,Clinical rheumatology,2023
36680424,Factors associated with osteoporosis and fractures in patients with systemic lupus erythematosus: Kyoto Lupus Cohort.,Modern rheumatology,2023
36182990,HSC70 mediated autophagic degradation of oxidized PRL2 is responsible for osteoclastogenesis and inflammatory bone destruction.,Cell death and differentiation,2023
35767748,Frontal Fibrosing Alopecia - a review and a practical guide for clinicians.,Annals of agricultural and environmental medicine : AAEM,2022
