PMID,Title,Journal,Year
40895960,Cardiac Adaptation in Lupus: A Case of Massive Pericardial Effusion With Preserved Hemodynamics.,Cureus,2025
40677873,Adrenal hemorrhage and myocarditis in a patient with systemic lupus erythematosus: A case report and literature review.,Radiology case reports,2025
39677214,Diffuse Alveolar Hemorrhage as a Life-Threatening Complication of Systemic Lupus Erythematosus: A Case Report.,Cureus,2024
39109103,Shrinking Lung Syndrome: A Rare Pulmonary Complication of Systemic Lupus Erythematosus.,Cureus,2024
38762438,Acute Q fever revealed by an anti-phospholipid syndrome: A case report.,La Revue de medecine interne,2024
38405595,Case Report: In situ pulmonary artery thrombosis in a 12-year-old girl classified as systemic lupus erythematosus.,Frontiers in pediatrics,2024
37839033,Secukinumab-induced systemic lupus erythematosus in psoriatic arthritis.,ARP rheumatology,2023
36919389,Generalized Pustular Figurate Erythema in Patients with COVID-19 Treated with Hydroxychloroquine: A Systematic Review.,Acta dermatovenerologica Croatica : ADC,2022
35768095,"Comparison of demographic, clinical and laboratory characteristics between first and second COVID-19 waves in a secondary care hospital in Qatar: a retrospective study.",BMJ open,2022
35411806,Prognostic factors of systemic lupus erythematosus patients with pulmonary embolism: An 11-year cohort study.,Lupus,2022
35165505,The Impact of COVID-19 On Comorbidities: A Review Of Recent Updates For Combating It.,Saudi journal of biological sciences,2022
35051999,Eculizumab for refractory thrombosis in antiphospholipid syndrome.,Blood advances,2022
34764044,Efficacy of the early treatment with tocilizumab-hydroxychloroquine and tocilizumab-remdesivir in severe COVID-19 Patients.,Journal of infection and public health,2022
34757241,Risk of venous thromboembolism associated with methotrexate versus hydroxychloroquine for rheumatoid arthritis: A propensity score-matched cohort study.,Seminars in arthritis and rheumatism,2021
34104858,Bi-atrial thrombosis in a patient with SARS-CoV-2 infection: a case report.,European heart journal. Case reports,2020
33747414,Unusual presentation of COVID-19 in a child complicated by massive acute pulmonary embolism and lung infarction.,Hematology reports,2021
33720567,"[Pericarditis in contemporary therapeutic clinic: nosological spectrum, approaches to diagnosis and treatment].",Terapevticheskii arkhiv,2020
33500209,SARS-CoV-2 and Aspergillus section Fumigati coinfection in an immunocompetent patient treated with corticosteroids.,Revista iberoamericana de micologia,2021
33447995,COVID-19 infection in symptomatic pregnant women at the midpoint of the pandemic in Spain: a retrospective analysis.,Ginekologia polska,2020
33407777,"Double-blind, randomized, controlled, trial to assess the efficacy of allogenic mesenchymal stromal cells in patients with acute respiratory distress syndrome due to COVID-19 (COVID-AT): A structured summary of a study protocol for a randomised controlled trial.",Trials,2021
