PMID,Title,Journal,Year
40735013,Hydroxychloroquine-Derived Ionizable Lipid Facilitates Spleen-Tropic Transfection and Enhances Cancer Immunotherapy.,Chem & bio engineering,2025
40733499,"COVID-19 and a Tale of Three Drugs: To Repurpose, or Not to Repurpose-That Was the Question.",Viruses,2025
40709725,Integrating Chemo- and Bioinformatics with In Vitro Biological Assays to Discover Potential ACE2 and Mpro Inhibitors against SARS-CoV-2.,Journal of chemical information and modeling,2025
40709029,"Characteristics, management and factors associated with poor outcomes in COVID-19 patients in Burkina Faso: insights from a 2021 large-scale ambispective study.",Frontiers in public health,2025
40696628,Facial edema after covid-19 ameliorated by acupuncture: A CARE-compliant case report.,Medicine,2025
40679004,Drug-drug interactions with azithromycin during COVID-19: An evidence of contribution towards patient mortality.,Pakistan journal of pharmaceutical sciences,2025
40659960,On degree-dependent topological study of line graph of some antiviral COVID-19 drugs.,"The European physical journal. E, Soft matter",2025
40650450,Synthesis of Perfluorooctyl-Functionalized Halloysite Nanotubes for Dispersive Solid-Phase Extraction of Antimalarial Inhibitors in Whole Blood.,Journal of separation science,2025
40624696,The lost chILD: a case report of delayed diagnosis of surfactant protein C deficiency in a 15-year-old African male.,Italian journal of pediatrics,2025
40619454,Tocilizumab as a targeted immunomodulatory therapy in the management of severe respiratory illnesses: a multicenter cohort study of COVID-19 patients.,Scientific reports,2025
40618216,Comparative outcomes of COVID-19 in patients with primary Sjogren's syndrome treated with hydroxychloroquine versus methotrexate: a retrospective cohort study.,Annals of medicine,2025
40615618,The PRINCIPLE randomised controlled open label platform trial of hydroxychloroquine for treating COVID19 in community based patients at high risk.,Scientific reports,2025
40605155,A Comprehensive Molecular Dynamic Simulation Study of Plant Bioactive Phytoconstituents as Inhibitors for SARS-CoV-2 Main Protease and Spike (S) Glycoprotein.,Current computer-aided drug design,2025
40575645,COVID-19 management in patients with comorbid conditions.,World journal of virology,2025
40535766,Antimalarial compounds exhibit variant- and cell-type-specific activity against SARS-CoV-2 isolated in Panama.,Frontiers in pharmacology,2025
40520224,Estimating long COVID-19 prevalence across definitions and forms of sample selection.,Frontiers in epidemiology,2025
40507506,Treatment and Outcomes of COVID-19 Infection in Pregnant Women: Systematic Review of Cases Reported in Europe.,Journal of clinical medicine,2025
40482293,"Ashwagandha, Withania somnifera (L.) Dunal, for the prophylaxis against SARS-CoV-2 infection: A multicentric randomized hydroxychloroquine controlled clinical trial in Indian health care workers.",Journal of Ayurveda and integrative medicine,2025
40419200,"Repositioning antivirals against COVID-19: Synthetic pathways, mechanisms, and therapeutic insights.",Microbial pathogenesis,2025
40392879,QSPR modeling of some COVID-19 drugs using neighborhood eccentricity-based topological indices: A comparative analysis.,PloS one,2025
