PMID,Title,Journal,Year
40891278,Reactive Oxygen Species-Responsive Polymeric Chloroquine Nanogel for Targeted Oral Therapy of Ulcerative Colitis.,ACS applied materials & interfaces,2025
40855634,Management of Rheumatoid Arthritis in a Patient with Aplastic Anemia and Ulcerative Colitis: A Case Report.,The American journal of case reports,2025
39529874,Severe Antiphospholipid Syndrome and Diffuse Glomerulonephritis After Adalimumab Treatment in a Patient With Ulcerative Colitis.,Case reports in rheumatology,2024
38808337,Refractory autoimmune hemolytic anemia in a patient with systemic lupus erythematosus and ulcerative colitis: A case report.,World journal of clinical cases,2024
34381526,"[Chronic inflammatory bowel diseases: what happens when SARS-CoV-2 occurs? Preliminary results from a study conducted at the Hassan II University Teaching Hospital in Fes, Morocco (a case report)].",The Pan African medical journal,2021
34027304,(18)F-Fluorodeoxyglucose positron emission tomography/computed tomography as a diagnostic and follow-up tool in Coxiella burnetii endocarditis of prosthetic valve and aortic valved tube: a case report.,European heart journal. Case reports,2021
33725775,Tiaochang Xiaoyan extract tablets ameliorate chronic inflammation by activating macrophage lysosomes in chronic colitis rats.,Annals of palliative medicine,2021
32777550,Systematic Review on Inflammatory Bowel Disease Patients With Coronavirus Disease 2019: It Is Time to Take Stock.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2020
31424716,Clinical Pathologic Mismatch in a TNF-alpha Inhibitor-Associated Drug Reaction.,Journal of drugs in dermatology : JDD,2019
30893399,Frontal fibrosing alopecia demographics: a survey of 29 patients.,Cutis,2019
22504032,Inflammatory bowel disease and lupus: a systematic review of the literature.,Journal of Crohn's & colitis,2012
21924127,[Ulcerative colitis: exceptional consequence after rituximab therapy].,Annales pharmaceutiques francaises,2011
9561342,A practical guide to the management of distal ulcerative colitis.,Drugs,1998
8633581,Chloroquine for mild to moderately active ulcerative colitis: comparison with sulfasalazine.,The American journal of gastroenterology,1996
7977573,Treatment strategies for scleritis and uveitis associated with inflammatory bowel disease.,American journal of ophthalmology,1994
3880374,[A trial of hydroxychloroquine administration in the treatment of exacerbated ulcerative colitis].,Polskie Archiwum Medycyny Wewnetrznej,1985
7068043,Inhibition of leucocyte motility and prevention of immune-complex experimental colitis by hydroxychloroquine.,Gut,1982
4376100,Two first degree relatives with dilatation of the colon due to Crohn's disease.,Guy's Hospital reports,1973
4381124,[Chronic regional enterocolitis (Crohn's disease) in juveniles].,Nordisk medicin,1967
