pmid,title,journal,year,drug,disease
40900782,Bilateral breast metastases from rectal malignant melanoma: case report and literature review.,Frontiers in oncology,2025,Imatinib,Breast Cancer
40729789,Exploring the main source of coproporphyrins: Observations on transport in red blood cells.,Drug metabolism and disposition: the biological fate of chemicals,2025,Imatinib,Breast Cancer
40679587,"Therapeutic evaluation of paclitaxel co-loaded PLGA nanoparticles with imatinib, protamine-imatinib, and gefitinib: comparative in vitro studies in MDA-MB-231 breast cancer cells and in vivo investigations in rats.",Naunyn-Schmiedeberg's archives of pharmacology,2025,Imatinib,Breast Cancer
40671471,Phospholipid-based nanolipid carriers for dual kinase inhibitors in triple-negative breast cancer.,"Nanomedicine (London, England)",2025,Imatinib,Breast Cancer
40442861,"BCR::ABL1 Tyrosine Kinase Inhibitors During Pregnancy, a Disproportionality Analysis of Vigibase.",Clinical pharmacology and therapeutics,2025,Imatinib,Breast Cancer
40330925,Chronic myeloid leukemia in a patient treated with palbociclib and exemestane: a case report.,AME case reports,2025,Imatinib,Breast Cancer
40301277,Functionalized Niosomes for Co-Delivery of Curcumin and Imatinib Mesylate to Treat Breast Cancer: In Vitro and In Vivo Investigations.,AAPS PharmSciTech,2025,Imatinib,Breast Cancer
40243589,Combinatorial CRISPR screen reveals FYN and KDM4 as targets for synergistic drug combination for treating triple negative breast cancer.,eLife,2025,Imatinib,Breast Cancer
40234727,Genetic associations of plasma proteins and breast cancer identify potential therapeutic drug candidates.,Communications biology,2025,Imatinib,Breast Cancer
39834939,Integration of machine learning and experimental validation to identify the prognostic signature related to diverse programmed cell deaths in breast cancer.,Frontiers in oncology,2024,Imatinib,Breast Cancer
39786520,Elucidating the binding specificity of interactive compounds targeting ATP-binding cassette subfamily G member 2 (ABCG2).,Molecular diversity,2025,Imatinib,Breast Cancer
39617120,"New metal complexes of 1H-benzimidazole-2-yl hydrazones: Cytostatic, proapoptotic and modulatory activity on kinase signaling pathways.",Archives of biochemistry and biophysics,2025,Imatinib,Breast Cancer
39596658,Integration of Machine Learning and Experimental Validation to Identify Anoikis-Related Prognostic Signature for Predicting the Breast Cancer Tumor Microenvironment and Treatment Response.,Genes,2024,Imatinib,Breast Cancer
39560382,Imatinib Impedes EMT and Notch Signalling by Inhibiting p300 Acetyltransferase in Breast Cancer Cells.,Molecular carcinogenesis,2025,Imatinib,Breast Cancer
39326102,PPARgamma antagonism as a new tool for preventing or overcoming endocrine resistance in luminal A breast cancers.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024,Imatinib,Breast Cancer
39286390,Extragastrointestinal stromal tumors with diffuse membranous distribution with bleeding: A case report.,World journal of clinical cases,2024,Imatinib,Breast Cancer
39134910,Simultaneous Robotic Sphincter-Preserving Rectal Resection and Prostatectomy for Rectal Gastrointestinal Stromal Tumor and Prostatic Cancer.,Annals of surgical oncology,2024,Imatinib,Breast Cancer
39023605,Imatinib in c-KIT-mutated metastatic solid tumors: A multicenter trial of Korean Cancer Study Group (UN18-05 Trial).,Journal of cancer research and therapeutics,2024,Imatinib,Breast Cancer
39000534,Synthesis and Antiproliferative Effect of New Alkyne-Tethered Vindoline Hybrids Containing Pharmacophoric Fragments.,International journal of molecular sciences,2024,Imatinib,Breast Cancer
38973363,USP5 Promotes Ripretinib Resistance in Gastrointestinal Stromal Tumors by MDH2 Deubiquition.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2024,Imatinib,Breast Cancer
38934510,QbD-based co-loading of paclitaxel and imatinib mesylate by protamine-coated PLGA nanoparticles effective on breast cancer cells.,"Nanomedicine (London, England)",2024,Imatinib,Breast Cancer
38927992,Gynotoxic Effects of Chemotherapy and Potential Protective Mechanisms.,Cancers,2024,Imatinib,Breast Cancer
38897442,"BM7, a derivative of benzofuran, effectively fights cancer by promoting cancer cell apoptosis and impacting IL-6 levels.",European journal of pharmacology,2024,Imatinib,Breast Cancer
38866361,Targeting the RAS upstream and downstream signaling pathway for cancer treatment.,European journal of pharmacology,2024,Imatinib,Breast Cancer
38726553,From Deep Learning to the Discovery of Promising VEGFR-2 Inhibitors.,ChemMedChem,2024,Imatinib,Breast Cancer
38712513,Discontinuation of imatinib in patients with oligometastatic gastrointestinal stromal tumour who are in complete radiological remission: a prospective multicentre phase II study.,"Acta oncologica (Stockholm, Sweden)",2024,Imatinib,Breast Cancer
38239643,Development of a cancer metastasis-on-chip assay for high throughput drug screening.,Frontiers in oncology,2023,Imatinib,Breast Cancer
38202650,"An Efficient Synthesis of 1-(1,3-Dioxoisoindolin-2-yl)-3-aryl Urea Analogs as Anticancer and Antioxidant Agents: An Insight into Experimental and In Silico Studies.","Molecules (Basel, Switzerland)",2023,Imatinib,Breast Cancer
38201518,NK3.3-Derived Extracellular Vesicles Penetrate and Selectively Kill Treatment-Resistant Tumor Cells.,Cancers,2023,Imatinib,Breast Cancer
38182686,TRIM21/USP15 balances ACSL4 stability and the imatinib resistance of gastrointestinal stromal tumors.,British journal of cancer,2024,Imatinib,Breast Cancer
38177530,MYSM1 acts as a novel co-activator of ERalpha to confer antiestrogen resistance in breast cancer.,EMBO molecular medicine,2024,Imatinib,Breast Cancer
38151847,"Design, Synthesis, Characterisation, and Evaluation of Substituted Quinolin-2-one Derivatives as Possible Anti-lung Cancer Agents.",Current drug discovery technologies,2024,Imatinib,Breast Cancer
38096958,Cost in the United States of FDA-approved small molecule protein kinase inhibitors used in the treatment of neoplastic and non-neoplastic diseases.,Pharmacological research,2024,Imatinib,Breast Cancer
38023262,Prognostic value analysis of cholesterol and cholesterol homeostasis related genes in breast cancer by Mendelian randomization and multi-omics machine learning.,Frontiers in oncology,2023,Imatinib,Breast Cancer
38009423,"(68) Ga-labeled, imatinib encapsulated, theranostic liposomes: Formulation, characterization, and in vitro evaluation of anticancer activity.",Drug development research,2024,Imatinib,Breast Cancer
37888038,Adjuvant Targeted Therapy in Solid Cancers: Pioneers and New Glories.,Journal of personalized medicine,2023,Imatinib,Breast Cancer
37855370,In silico screening and identification of potential drug against p300 acetyltransferase activity in breast cancer via drug repurposing approach.,Journal of biomolecular structure & dynamics,2024,Imatinib,Breast Cancer
37593245,"Design, Synthesis, ADME, and Anticancer Studies of Newer N-Aryl-5-(3,4,5-Trifluorophenyl)-1,3,4-Oxadiazol-2-Amines: An Insight into Experimental and Theoretical Investigations.",ACS omega,2023,Imatinib,Breast Cancer
37521867,Emerging roles of Aurora-A kinase in cancer therapy resistance.,Acta pharmaceutica Sinica. B,2023,Imatinib,Breast Cancer
37454916,Small molecule protein kinase inhibitors approved by regulatory agencies outside of the United States.,Pharmacological research,2023,Imatinib,Breast Cancer
37296934,Drug Repurposing in Oncology: A Systematic Review of Randomized Controlled Clinical Trials.,Cancers,2023,Imatinib,Breast Cancer
37163949,"Scaffold hopping of N-benzyl-3,4,5-trimethoxyaniline: 5,6,7-Trimethoxyflavan derivatives as novel potential anticancer agents modulating hippo signaling pathway.",European journal of medicinal chemistry,2023,Imatinib,Breast Cancer
37086687,"Synergistic delivery of Imatinib through multifunctional nano-crystalline capsules, in response to redox environment for improved breast cancer therapy.","Colloids and surfaces. B, Biointerfaces",2023,Imatinib,Breast Cancer
37075870,Rule of five violations among the FDA-approved small molecule protein kinase inhibitors.,Pharmacological research,2023,Imatinib,Breast Cancer
37009526,Unusual breast metastasis of gastrointestinal stromal tumor: A case report and literature review.,World journal of clinical oncology,2023,Imatinib,Breast Cancer
33232037,Cancer Chemotherapy.,,2025,Imatinib,Breast Cancer
36724921,[Evaluation and Clarification of Enterohepatic Interactions in Pharmacokinetics].,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,2023,Imatinib,Breast Cancer
36567949,Gene expression profile analysis to discover molecular signatures for early diagnosis and therapies of triple-negative breast cancer.,Frontiers in molecular biosciences,2022,Imatinib,Breast Cancer
36522480,An integrative approach for exploring the nature of fibroepithelial neoplasms.,British journal of cancer,2023,Imatinib,Breast Cancer
36403719,Properties of FDA-approved small molecule protein kinase inhibitors: A 2023 update.,Pharmacological research,2023,Imatinib,Breast Cancer
