pmid,title,journal,year,drug,disease
40536568,Efficacy and safety of imatinib in patients with COVID-19: a systematic review and meta-analysis.,Wiener klinische Wochenschrift,2025,Imatinib,COVID-19
40452060,National Insights Into Epidemiological Trends and Outcomes of Malignant Neoplasms of the Small Intestine: A Big Data Analysis.,Journal of gastroenterology and hepatology,2025,Imatinib,COVID-19
39985762,Disease-Drug-Drug Interaction of Imatinib in COVID-19 ARDS: A Pooled Population Pharmacokinetic Analysis.,CPT: pharmacometrics & systems pharmacology,2025,Imatinib,COVID-19
39748395,Integrative analyses of mendelian randomization and bioinformatics reveal casual relationship and genetic links between COVID-19 and knee osteoarthritis.,BMC medical genomics,2025,Imatinib,COVID-19
39587918,Evaluating imatinib in severe COVID-19: a systematic review and meta-analysis.,Transactions of the Royal Society of Tropical Medicine and Hygiene,2025,Imatinib,COVID-19
39519351,Vitamin K2 Protects Against SARS-CoV-2 Envelope Protein-Induced Cytotoxicity in Chronic Myeloid Leukemia Cells and Enhances Imatinib Activity.,International journal of molecular sciences,2024,Imatinib,COVID-19
39445010,Increased plasma imatinib exposure and toxicity in chronically treated GIST patients with SARS-CoV-2 infection: a case series.,Frontiers in immunology,2024,Imatinib,COVID-19
39281285,Gastrointestinal tract organoids as novel tools in drug discovery.,Frontiers in pharmacology,2024,Imatinib,COVID-19
39165680,Regorafenib-related erythrocytosis in metastatic extra-gastrointestinal stromal tumor: a case report.,Frontiers in oncology,2024,Imatinib,COVID-19
39024368,"In-silico discovery of common molecular signatures for which SARS-CoV-2 infections and lung diseases stimulate each other, and drug repurposing.",PloS one,2024,Imatinib,COVID-19
38969238,Short- and long-term effects of imatinib in hospitalized COVID-19 patients: A randomized trial.,The Journal of infection,2024,Imatinib,COVID-19
38605258,Oral arsenic plus imatinib versus imatinib solely for newly diagnosed chronic myeloid leukemia: a randomized phase 3 trial with 5-year outcomes.,Journal of cancer research and clinical oncology,2024,Imatinib,COVID-19
38503318,"Drugs and natural products for the treatment of COVID-19 during 2020, the first year of the pandemic.",Boletin medico del Hospital Infantil de Mexico,2024,Imatinib,COVID-19
38454628,Pharmacist's role in the management of drug-drug interactions caused by nirmatrelvir/ritonavir in COVID-19 oncohematology patients.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2025,Imatinib,COVID-19
38424569,Imatinib treatment improves hyperglycaemic dysregulation in severe COVID-19: a secondary analysis of blood biomarkers in a randomised controlled trial.,"Critical care (London, England)",2024,Imatinib,COVID-19
38272877,Longitudinal plasma proteomics reveals biomarkers of alveolar-capillary barrier disruption in critically ill COVID-19 patients.,Nature communications,2024,Imatinib,COVID-19
38186640,"Identification of oral therapeutics using an AI platform against the virus responsible for COVID-19, SARS-CoV-2.",Frontiers in pharmacology,2023,Imatinib,COVID-19
38104036,Patient Versus Physician Perspective in the Management of Chronic Myeloid Leukemia During Treatment with Tyrosine Kinase Inhibitors.,Oncology and therapy,2024,Imatinib,COVID-19
38022239,Paradoxical Immune Reconstitution Inflammatory Syndrome in SARS-CoV-2 Infection After Improvement of Chemotherapy-Induced Aplasia.,Cureus,2023,Imatinib,COVID-19
38006751,Predictions based on inflammatory cytokine profiling of Egyptian COVID-19 with 2 potential therapeutic effects of certain marine-derived compounds.,International immunopharmacology,2024,Imatinib,COVID-19
37763683,Clinical Outcomes of Patients with Chronic Myeloid Leukemia and COVID-19 Infection-A Single Center Survey.,"Medicina (Kaunas, Lithuania)",2023,Imatinib,COVID-19
37659007,"Reply to ""Embracing imatinib: a novel approach to safeguarding the endothelial barrier in patients with COVID-19"".",Angiogenesis,2023,Imatinib,COVID-19
37601670,Management of chronic myelogenous leukemia with COVID-19 and hepatitis B.,Frontiers in oncology,2023,Imatinib,COVID-19
