pmid,title,journal,year,drug,disease
40920588,Histopathologic and Clinical Characteristics of Cutaneous Toxicities of Tyrosine Kinase Inhibitors: Insights Into Pathologic Mechanisms From a Retrospective Cohort.,The American Journal of dermatopathology,2025,Imatinib,Cirrhosis
40837040,Hyaluronic Acid-Decorated Liposomes for the Intrapulmonary Delivery of Imatinib: A Targeted Treatment for Postinflammatory Pulmonary Fibrosis.,Small science,2025,Imatinib,Cirrhosis
40732226,Computational Insights into the Polypharmacological Landscape of BCR-ABL Inhibitors: Emphasis on Imatinib and Nilotinib.,"Pharmaceuticals (Basel, Switzerland)",2025,Imatinib,Cirrhosis
40679587,"Therapeutic evaluation of paclitaxel co-loaded PLGA nanoparticles with imatinib, protamine-imatinib, and gefitinib: comparative in vitro studies in MDA-MB-231 breast cancer cells and in vivo investigations in rats.",Naunyn-Schmiedeberg's archives of pharmacology,2025,Imatinib,Cirrhosis
40520075,Adipose-derived stem cell exosomes alleviate TGF-beta1-induced urethral stricture fibrosis by suppressing the TGF-beta/Smad pathway and downstream PDGFR-beta/RAS/ERK signaling.,Journal of cell communication and signaling,2025,Imatinib,Cirrhosis
40430462,New Challenging Systemic Therapies for Juvenile Scleroderma: A Comprehensive Review.,"Pharmaceuticals (Basel, Switzerland)",2025,Imatinib,Cirrhosis
40316684,PDGF-BB promotes oral submucosal fibrosis by driving phenotypic transformation and autophagy in oral mucosal fibroblasts through downregulation of circHIPK3.,Scientific reports,2025,Imatinib,Cirrhosis
40143016,Chondroitin Sulfate-Based Imatinib Nanoparticles Targeting Activated Hepatic Stellate Cells Against Hepatic Fibrosis.,Pharmaceutics,2025,Imatinib,Cirrhosis
40021434,Successful Lung Transplantation in A Patient With Pre-Existing Chronic Myeloid Leukemia Treated With Imatinib: A Case Report.,Transplantation proceedings,2025,Imatinib,Cirrhosis
39965654,Imatinib aggravates pressure-overload-induced right ventricle failure via JNK/Runx2 pathway.,British journal of pharmacology,2025,Imatinib,Cirrhosis
39735860,Case Report: Loeffler endocarditis as a cause of left ventricular thrombosis in young women: a case study and literature review.,Frontiers in cardiovascular medicine,2024,Imatinib,Cirrhosis
39647393,Chemotherapeutic potential of radotinib against blood and solid tumors: A beacon of hope in drug repurposing.,Bioorganic chemistry,2025,Imatinib,Cirrhosis
39347150,New and Emerging Therapeutic Drugs for the Treatment of Pulmonary Arterial Hypertension: A Systematic Review.,Cureus,2024,Imatinib,Cirrhosis
39317342,"Imatinib-cardiotoxicity: biventricular heart failure, thrombi and transmural fibrosis.",Acta cardiologica,2024,Imatinib,Cirrhosis
39281285,Gastrointestinal tract organoids as novel tools in drug discovery.,Frontiers in pharmacology,2024,Imatinib,Cirrhosis
39125756,Assessment of Imatinib Anti-Remodeling Activity on a Human Precision Cut Lung Slices Model.,International journal of molecular sciences,2024,Imatinib,Cirrhosis
39024368,"In-silico discovery of common molecular signatures for which SARS-CoV-2 infections and lung diseases stimulate each other, and drug repurposing.",PloS one,2024,Imatinib,Cirrhosis
38996959,A novel PDGFR inhibitor WQ-C-401 prevents pulmonary vascular remodeling in rats with monocrotaline-induced pulmonary arterial hypertension.,Experimental cell research,2024,Imatinib,Cirrhosis
38317807,The Role of Mesenchymal Stem Cells and Imatinib in the Process of Liver Fibrosis Healing Through CCL2-CCR2 and CX3CL1-CX3CR1 Axes.,Reports of biochemistry & molecular biology,2023,Imatinib,Cirrhosis
38281037,A comprehensive comparison of the safety and efficacy of drugs in the treatment of idiopathic pulmonary fibrosis: a network meta-analysis based on randomized controlled trials.,BMC pulmonary medicine,2024,Imatinib,Cirrhosis
38161771,A Rare Case of Isolated Right Ventricular Loeffler's Endocarditis in Primary Hypereosinophilic Syndrome.,Journal of cardiovascular echography,2023,Imatinib,Cirrhosis
38078122,Sunitinib-induced hyperammonemic encephalopathy in metastatic gastrointestinal stromal tumors: A case report.,World journal of clinical cases,2023,Imatinib,Cirrhosis
37730958,"Design and synthesis of novel 1,2,3,4-tetrazines as new anti-leukemia cancer agents.",Chemical biology & drug design,2023,Imatinib,Cirrhosis
37298573,Screening and Analysis of Possible Drugs Binding to PDGFRalpha: A Molecular Modeling Study.,International journal of molecular sciences,2023,Imatinib,Cirrhosis
37285821,False-Negative Testing for FIP1L1::PDGFRA by Fluorescence in situ Hybridization Is a Frequent Cause of Diagnostic Delay.,Acta haematologica,2023,Imatinib,Cirrhosis
37225027,Oral targeted delivery of Imatinib by pH responsive copolymer modulates liver fibrosis in the mice model.,International journal of pharmaceutics,2023,Imatinib,Cirrhosis
37200402,The host-directed therapeutic imatinib mesylate accelerates immune responses to Mycobacterium marinum infection and limits pathology associated with granulomas.,PLoS pathogens,2023,Imatinib,Cirrhosis
36864321,Modeling drug-induced liver injury and screening for anti-hepatofibrotic compounds using human PSC-derived organoids.,"Cell regeneration (London, England)",2023,Imatinib,Cirrhosis
36655489,Imatinib suppresses activation of hepatic stellate cells by targeting STAT3/IL-6 pathway through miR-124.,Cell biology international,2023,Imatinib,Cirrhosis
36522140,A leap towards personalised therapy of acute lung injury.,The European respiratory journal,2022,Imatinib,Cirrhosis
36254545,From Morphea to Dermatofibrosarcoma Protuberans.,Acta dermatovenerologica Croatica : ADC,2022,Imatinib,Cirrhosis
36211205,Nephrogenic systemic fibrosis-related pulmonary restriction: An under-appreciated manifestation potentially reversible with imatinib therapy.,Journal of scleroderma and related disorders,2022,Imatinib,Cirrhosis
36183364,The effect of mesenchymal stem cells and imatinib on macrophage polarization in rat model of liver fibrosis.,Cell biology international,2023,Imatinib,Cirrhosis
36157698,Nintedanib-Induced Delayed Mucosal Healing after Adjuvant Radiation in a Case of Oropharyngeal Carcinoma.,Case reports in oncology,2022,Imatinib,Cirrhosis
35983805,Inhibition of platelet-derived growth factor pathway suppresses tubulointerstitial injury in renal congestion.,Journal of hypertension,2022,Imatinib,Cirrhosis
35877038,Cardiac Remodelling Following Cancer Therapy: A Review.,Cardiovascular toxicology,2022,Imatinib,Cirrhosis
35841089,"Platelet-derived growth factor (PDGF)-BB regulates the airway tone via activation of MAP2K, thromboxane, actin polymerisation and Ca(2+)-sensitisation.",Respiratory research,2022,Imatinib,Cirrhosis
35650297,Identification of hub pathways and drug candidates in gastric cancer through systems biology.,Scientific reports,2022,Imatinib,Cirrhosis
35268401,Future Treatment Options in Systemic Sclerosis-Potential Targets and Ongoing Clinical Trials.,Journal of clinical medicine,2022,Imatinib,Cirrhosis
35103114,Imatinib-induced retroperitoneal fibrosis in a child with chronic myeloid leukemia: a case report.,American journal of blood research,2021,Imatinib,Cirrhosis
35083254,Shifting Paradigms for Suppressing Fibrosis in Kidney Transplants: Supplementing Perfusion Solutions With Anti-fibrotic Drugs.,Frontiers in medicine,2021,Imatinib,Cirrhosis
34505278,Focal segmental glomerulosclerosis and concurrent glomerular microangiopathy after long-term imatinib administration.,CEN case reports,2022,Imatinib,Cirrhosis
34268974,Prediction of optimal cytogenetic responses at 6 and 12 months in patients with chronic myeloid leukemia in chronic phase treated with imatinib.,Journal of B.U.ON. : official journal of the Balkan Union of Oncology,2021,Imatinib,Cirrhosis
34152210,Unexpected pancytopenia: Dasatinib induced aplastic anemia in chronic myeloid leukemia.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2022,Imatinib,Cirrhosis
34145346,Inhibition of discoidin domain receptors by imatinib prevented pancreatic fibrosis demonstrated in experimental chronic pancreatitis model.,Scientific reports,2021,Imatinib,Cirrhosis
34001878,Direct contribution of skeletal muscle mesenchymal progenitors to bone repair.,Nature communications,2021,Imatinib,Cirrhosis
33664035,Novel case of a scleroderma-mimicking syndrome associated with gastrointestinal stromal tumour.,BMJ case reports,2021,Imatinib,Cirrhosis
33539723,Pathologic HIF1alpha signaling drives adipose progenitor dysfunction in obesity.,Cell stem cell,2021,Imatinib,Cirrhosis
33521022,Macromolecular Crowding as a Tool to Screen Anti-fibrotic Drugs: The Scar-in-a-Jar System Revisited.,Frontiers in medicine,2020,Imatinib,Cirrhosis
32962198,Effects of Combined Admistration of Imatinib and Sorafenib in a Murine Model of Liver Fibrosis.,"Molecules (Basel, Switzerland)",2020,Imatinib,Cirrhosis
