pmid,title,journal,year,drug,disease
40810715,Cardiovascular Disease in Patients With Chronic Myeloid Leukemia: JACC: CardioOncology State-of-the-Art Review.,JACC. CardioOncology,2025,Imatinib,Coronary Artery Disease
39389691,A 78-Year-Old Man With Shortness of Breath After Radioembolization of the Liver.,Chest,2024,Imatinib,Coronary Artery Disease
39287867,"Tryptophan Metabolism in Obesity: The Indoleamine 2,3-Dioxygenase-1 Activity and Therapeutic Options.",Advances in experimental medicine and biology,2024,Imatinib,Coronary Artery Disease
35343478,[Cardiovascular management of patients with chronic myeloid leukemia treated with BCR-ABL tyrosine kinase inhibitors: it is time for a shared management].,Giornale italiano di cardiologia (2006),2022,Imatinib,Coronary Artery Disease
32597702,Reduced Platelet miR-223 Induction in Kawasaki Disease Leads to Severe Coronary Artery Pathology Through a miR-223/PDGFRbeta Vascular Smooth Muscle Cell Axis.,Circulation research,2020,Imatinib,Coronary Artery Disease
32566462,Peripheral Artery Disease and Stroke.,Journal of cardiovascular echography,2020,Imatinib,Coronary Artery Disease
32348984,Cardiovascular Toxicity in Cancer Patients Treated with Tyrosine Kinase Inhibitors: A Real-World Single-Center Experience.,Oncology,2020,Imatinib,Coronary Artery Disease
28287043,Healthcare and economic burden of adverse events among patients with chronic myelogenous leukemia treated with BCR-ABL1 tyrosine kinase inhibitors.,Journal of medical economics,2017,Imatinib,Coronary Artery Disease
27916790,Announcement: UEDA Heart Award for 2016.,International heart journal,2016,Imatinib,Coronary Artery Disease
26635034,Hyperhomocysteinemia and high doses of nilotinib favor cardiovascular events in chronic phase Chronic Myelogenous Leukemia patients.,Haematologica,2016,Imatinib,Coronary Artery Disease
26373533,Major arterial events in patients with chronic myeloid leukemia treated with tyrosine kinase inhibitors: a meta-analysis.,Leukemia & lymphoma,2016,Imatinib,Coronary Artery Disease
25022862,Laparoscopic resection of a gastrointestinal stromal tumor of the lower rectum in a patient with coronary artery disease following long-term neoadjuvant imatinib treatment and anticoagulation therapy.,World journal of surgical oncology,2014,Imatinib,Coronary Artery Disease
24794907,Dasatinib.,"Profiles of drug substances, excipients, and related methodology",2014,Imatinib,Coronary Artery Disease
23591991,"Smooth muscle hyperplasia due to loss of smooth muscle alpha-actin is driven by activation of focal adhesion kinase, altered p53 localization and increased levels of platelet-derived growth factor receptor-beta.",Human molecular genetics,2013,Imatinib,Coronary Artery Disease
22890672,Role of platelet-derived growth factor in cerebral vasospasm after subarachnoid hemorrhage in rats.,Acta neurochirurgica. Supplement,2013,Imatinib,Coronary Artery Disease
22633167,Nilotinib-associated vascular events.,"Clinical lymphoma, myeloma & leukemia",2012,Imatinib,Coronary Artery Disease
22271904,Clinical cardiac safety profile of nilotinib.,Haematologica,2012,Imatinib,Coronary Artery Disease
21674581,"Choosing the right TKI for chronic myeloid leukemia: when the truth lies in ""long-term"" safety and efficacy.",American journal of hematology,2011,Imatinib,Coronary Artery Disease
21630307,Nilotinib treatment-associated peripheral artery disease and sudden death: yet another reason to stick to imatinib as front-line therapy for chronic myelogenous leukemia.,American journal of hematology,2011,Imatinib,Coronary Artery Disease
21385075,Fatal heart failure after a 26-month combination of tyrosine kinase inhibitors in a papillary thyroid cancer.,Thyroid : official journal of the American Thyroid Association,2011,Imatinib,Coronary Artery Disease
20399520,Cardiac side-effects of cancer chemotherapy.,International journal of cardiology,2010,Imatinib,Coronary Artery Disease
18679003,Imatinib mesilate inhibits neointimal hyperplasia via growth inhibition of vascular smooth muscle cells in a rat model of balloon injury.,The Tohoku journal of experimental medicine,2008,Imatinib,Coronary Artery Disease
18083403,Cardiotoxicity associated with tyrosine kinase inhibitor sunitinib.,"Lancet (London, England)",2007,Imatinib,Coronary Artery Disease
17449798,Congestive heart failure is a rare event in patients receiving imatinib therapy.,Blood,2007,Imatinib,Coronary Artery Disease
17289809,"C-KIT, by interacting with the membrane-bound ligand, recruits endothelial progenitor cells to inflamed endothelium.",Blood,2007,Imatinib,Coronary Artery Disease
12589154,Platelet-derived growth factor receptor inhibition reduces allograft arteriosclerosis of heart and aorta in cholesterol-fed rabbits.,Transplantation,2003,Imatinib,Coronary Artery Disease
