pmid,title,journal,year,drug,disease
40844771,Estimating Costs of Market Exclusivity Extensions For 4 Top-Selling Prescription Drugs in the US.,JAMA health forum,2025,Imatinib,Glaucoma
38096958,Cost in the United States of FDA-approved small molecule protein kinase inhibitors used in the treatment of neoplastic and non-neoplastic diseases.,Pharmacological research,2024,Imatinib,Glaucoma
37454916,Small molecule protein kinase inhibitors approved by regulatory agencies outside of the United States.,Pharmacological research,2023,Imatinib,Glaucoma
33513356,Properties of FDA-approved small molecule protein kinase inhibitors: A 2021 update.,Pharmacological research,2021,Imatinib,Glaucoma
33303874,Evaluating the neuroprotective impact of senolytic drugs on human vision.,Scientific reports,2020,Imatinib,Glaucoma
31862477,Properties of FDA-approved small molecule protein kinase inhibitors: A 2020 update.,Pharmacological research,2020,Imatinib,Glaucoma
30877063,Properties of FDA-approved small molecule protein kinase inhibitors.,Pharmacological research,2019,Imatinib,Glaucoma
30672497,Uncontrolled neovascular glaucoma - an alarming manifestation of chronic myeloid leukemia on imatinib therapy - a case report and review of literature.,Indian journal of ophthalmology,2019,Imatinib,Glaucoma
18061664,Ocular side effects in chronic myeloid leukemia patients treated with imatinib.,Leukemia research,2008,Imatinib,Glaucoma
12964961,Ocular side-effects associated with imatinib mesylate (Gleevec).,Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics,2003,Imatinib,Glaucoma
