pmid,title,journal,year,drug,disease
40927046,The Anti-Leukemic Potential of Curcumin in Chronic Myeloid Leukemia: A Systematic Review of In Vitro Studies.,Food science & nutrition,2025,Imatinib,Leukemia
40920588,Histopathologic and Clinical Characteristics of Cutaneous Toxicities of Tyrosine Kinase Inhibitors: Insights Into Pathologic Mechanisms From a Retrospective Cohort.,The American Journal of dermatopathology,2025,Imatinib,Leukemia
40920292,Published Population Pharmacokinetic Models of Imatinib Perform Poorly on TDM Data from Pediatric Patients.,Targeted oncology,2025,Imatinib,Leukemia
40916393,How I treat Ph+ acute lymphoblastic leukemia.,"Future oncology (London, England)",2025,Imatinib,Leukemia
40896831,Impact of ASXL1 at diagnosis in patients with CML receiving frontline potent TKIs: high risk of kinase domain mutations.,Blood,2025,Imatinib,Leukemia
40891420,Imatinib-Induced Reactive Angioendotheliomatosis: A Paradoxical Pro-Angiogenic Case.,International journal of dermatology,2025,Imatinib,Leukemia
40887424,[Myeloid/lymphoid neoplasm with ETV6::ABL1 fusion: a case report and literature review].,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,2025,Imatinib,Leukemia
40880391,Exosomal miRNA expression profiling in patients with imatinib resistant Chronic myeloid leukemia: A pilot study.,PloS one,2025,Imatinib,Leukemia
40883483,"MicroRNAs as prognostic and predictive biomarkers among chronic myeloid leukemia patients in Addis Ababa, Ethiopia.",Scientific reports,2025,Imatinib,Leukemia
40883153,Management of Chronic Myeloid Leukemia During Pregnancy: Review of Evidence and Treatment Algorithm.,"Clinical lymphoma, myeloma & leukemia",2025,Imatinib,Leukemia
40864820,K-562 Extracellular Vesicles Partially Protect Intact Cells from Oxidative Stress and Provide Limited Resistance to Imatinib.,Current issues in molecular biology,2025,Imatinib,Leukemia
40864405,Dasatinib is superior to imatinib in adult Ph + ALL: a propensity score-matched analysis of pooled JALSG trial data.,International journal of hematology,2025,Imatinib,Leukemia
40846378,Eosinophilic Myocarditis Associated With Chronic Eosinophilic Leukemia.,JACC. Case reports,2025,Imatinib,Leukemia
