pmid,title,journal,year,drug,disease
40762051,"Ponatinib, But Not the New Abl-Kinase Inhibitor Asciminib, Activates Platelets, Leukocytes, and Endothelial Cell TNF Signaling to Induce Atherosclerotic Plaque Inflammation, Myocardial Infarction, and Stroke.",Circulation,2025,Imatinib,Myocardial Infarction
40094679,Chronic Myeloid Leukemia: A Review.,JAMA,2025,Imatinib,Myocardial Infarction
39885917,Successful treatment of a chronic myeloid leukemia patient with extreme thrombocytosis by a combination of imatinib and interferon‑alpha: A case report.,Experimental and therapeutic medicine,2025,Imatinib,Myocardial Infarction
37221442,Cardiac safety profile of type II kinase inhibitors: Analysis of post-marketing reports from databases of European Medicine Agency & World Health Organization.,"Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences",2023,Imatinib,Myocardial Infarction
36639597,Imatinib attenuates reperfusion injury in a rat model of acute myocardial infarction.,Basic research in cardiology,2023,Imatinib,Myocardial Infarction
36241191,Two pediatric oncologic cases of hypereosinophilic syndrome and review of the literature.,"Cancer reports (Hoboken, N.J.)",2022,Imatinib,Myocardial Infarction
35015312,Adverse outcomes in chronic myeloid leukemia patients treated with tyrosine kinase inhibitors: Follow-up of patients diagnosed 2002-2017 in a complete coverage and nationwide agnostic register study.,American journal of hematology,2022,Imatinib,Myocardial Infarction
34282617,Cardiovascular events and atherogenic lipid profile in chronic myeloid leukemia patients treated with nilotinib versus imatinib.,Bratislavske lekarske listy,2021,Imatinib,Myocardial Infarction
33162495,[Management of vascular adverse events during tyrosine kinase inhibitors in patients with chronic myeloid leukemia].,[Rinsho ketsueki] The Japanese journal of clinical hematology,2020,Imatinib,Myocardial Infarction
32617216,A Rare Case of Hypereosinophilic Syndrome-Induced Shower Thrombus Responsive to Nilotinib.,Cureus,2020,Imatinib,Myocardial Infarction
31631014,The concurrent administration of imatinib with extracorporeal photopheresis leads to complete and durable responses in patients with refractory sclerotic type chronic graft-versus-host disease.,Current research in translational medicine,2020,Imatinib,Myocardial Infarction
31044260,Incidence and evaluation of predisposition to cardiovascular toxicity in chronic myeloid leukemia patients treated with bosutinib in the real-life practice.,Annals of hematology,2019,Imatinib,Myocardial Infarction
30101387,"A phase Ib study of BGJ398, a pan-FGFR kinase inhibitor in combination with imatinib in patients with advanced gastrointestinal stromal tumor.",Investigational new drugs,2019,Imatinib,Myocardial Infarction
29946911,Features of vascular adverse events in Japanese patients with chronic myeloid leukemia treated with tyrosine kinase inhibitors: a retrospective study of the CML Cooperative Study Group database.,Annals of hematology,2018,Imatinib,Myocardial Infarction
29735299,"Discontinuation of tyrosine kinase inhibitor therapy in chronic myeloid leukaemia (EURO-SKI): a prespecified interim analysis of a prospective, multicentre, non-randomised, trial.",The Lancet. Oncology,2018,Imatinib,Myocardial Infarction
29415932,[Management of cardiovascular complications in CML patients treated with tyrosine kinase inhibitors].,[Rinsho ketsueki] The Japanese journal of clinical hematology,2018,Imatinib,Myocardial Infarction
29362980,Efficacy and safety of switching to nilotinib in patients with CML-CP in major molecular response to imatinib: results of a multicenter phase II trial (NILSw trial).,International journal of hematology,2018,Imatinib,Myocardial Infarction
28316033,Cardiovascular Complications of Targeted Therapies for Chronic Myeloid Leukemia.,Current treatment options in cardiovascular medicine,2017,Imatinib,Myocardial Infarction
27356148,Pancreas preserving surgery for duodenal gastrointestinal stromal tumor removal.,Minerva chirurgica,2016,Imatinib,Myocardial Infarction
27295519,Cardiovascular Events Associated With Use of Tyrosine Kinase Inhibitors in Chronic Myeloid Leukemia: A Population-Based Cohort Study.,Annals of internal medicine,2016,Imatinib,Myocardial Infarction
27161312,Hiding inside? Intracellular expression of non-glycosylated c-kit protein in cardiac progenitor cells.,Stem cell research,2016,Imatinib,Myocardial Infarction
27013180,Mortality and Vascular Events Among Elderly Patients With Chronic Myeloid Leukemia: A Retrospective Analysis of Linked SEER-Medicare Data.,"Clinical lymphoma, myeloma & leukemia",2016,Imatinib,Myocardial Infarction
26648184,Impact of exclusion criteria for the DASISION and ENESTnd trials in the front-line treatment of a 'real-life' patient population with chronic myeloid leukaemia.,Hematological oncology,2017,Imatinib,Myocardial Infarction
25641662,Clinical outcomes of patients with advanced gastrointestinal stromal tumors: safety and efficacy in a worldwide treatment-use trial of sunitinib.,Cancer,2015,Imatinib,Myocardial Infarction
