pmid,title,journal,year,drug,disease
40378257,Atypical Femoral Fracture in a Patient on Imatinib: A Case Report.,JBJS case connector,2025,Imatinib,Osteoporosis
39233865,Three cases of uncommon medication-associated osteonecrosis of temporal bone.,World journal of otorhinolaryngology - head and neck surgery,2024,Imatinib,Osteoporosis
38084162,Dasatinib-Triggered Severe Hypocalcemia in a Patient with Chronic Kidney Disease and Osteoporosis.,Cureus,2023,Imatinib,Osteoporosis
37670241,Effect of asciminib and vitamin K2 on Abelson tyrosine-kinase-inhibitor-resistant chronic myelogenous leukemia cells.,BMC cancer,2023,Imatinib,Osteoporosis
37325683,Osteoporosis in a 60-Year-Old Male With a History of Chronic Myeloid Leukemia Treated With Imatinib Mesylate.,Cureus,2023,Imatinib,Osteoporosis
37309222,"Systemic mastocytosis in adults: 2023 update on diagnosis, risk stratification and management.",American journal of hematology,2023,Imatinib,Osteoporosis
35725736,Automated gathering of real-world data from online patient forums can complement pharmacovigilance for rare cancers.,Scientific reports,2022,Imatinib,Osteoporosis
35561182,Design and application of a knowledge network for automatic prioritization of drug mechanisms.,"Bioinformatics (Oxford, England)",2022,Imatinib,Osteoporosis
33524167,"Systemic mastocytosis in adults: 2021 Update on diagnosis, risk stratification and management.",American journal of hematology,2021,Imatinib,Osteoporosis
30997443,The Bone Phenotype and Pain Response to Pamidronate in Tyrosine Kinase Inhibitor-Treated Chronic Myelogenous Leukemia.,Journal of the Endocrine Society,2019,Imatinib,Osteoporosis
30536695,"Systemic mastocytosis in adults: 2019 update on diagnosis, risk stratification and management.",American journal of hematology,2019,Imatinib,Osteoporosis
29507818,Lrp1 in osteoblasts controls osteoclast activity and protects against osteoporosis by limiting PDGF-RANKL signaling.,Bone research,2018,Imatinib,Osteoporosis
26622794,Imatinib-based therapy in adult Philadelphia chromosome-positive acute lymphoblastic leukemia: A case report and literature review.,Oncology letters,2015,Imatinib,Osteoporosis
25312588,Advances in kinase targeting: current clinical use and clinical trials.,Trends in pharmacological sciences,2014,Imatinib,Osteoporosis
24130113,The tyrosine kinase inhibitor GNF-2 suppresses osteoclast formation and activity.,Journal of leukocyte biology,2014,Imatinib,Osteoporosis
22407760,Secondary hyperparathyroidism but stable bone-mineral density in patients with chronic myeloid leukemia treated with imatinib.,American journal of hematology,2012,Imatinib,Osteoporosis
17718241,[The pathology of ocular syndromes caused by toxicity].,Bulletin de la Societe belge d'ophtalmologie,2007,Imatinib,Osteoporosis
17049513,Imatinib mesylate (Gleevec) enhances mature osteoclast apoptosis and suppresses osteoclast bone resorbing activity.,European journal of pharmacology,2006,Imatinib,Osteoporosis
16449525,Imatinib as a potential antiresorptive therapy for bone disease.,Blood,2006,Imatinib,Osteoporosis
15087068,Systemic mastocytosis: current concepts and treatment advances.,Current hematology reports,2004,Imatinib,Osteoporosis
