pmid,title,journal,year,drug,disease
40252783,Properties of FDA-approved small molecule protein kinase inhibitors: A 2025 update.,Pharmacological research,2025,Imatinib,Rheumatoid Arthritis
39462155,"Safety concerns of paternal drug exposure on fertility, pregnancy and offspring: An analysis based on the FDA adverse event reporting system.",Andrology,2025,Imatinib,Rheumatoid Arthritis
39328627,A Review of the Regulatory Challenges of Personalized Medicine.,Cureus,2024,Imatinib,Rheumatoid Arthritis
38096958,Cost in the United States of FDA-approved small molecule protein kinase inhibitors used in the treatment of neoplastic and non-neoplastic diseases.,Pharmacological research,2024,Imatinib,Rheumatoid Arthritis
36403719,Properties of FDA-approved small molecule protein kinase inhibitors: A 2023 update.,Pharmacological research,2023,Imatinib,Rheumatoid Arthritis
35194426,Preparation and Evaluation of Imatinib Loaded Transfersomal gel for the Treatment of Rheumatoid Arthritis.,Iranian journal of pharmaceutical research : IJPR,2021,Imatinib,Rheumatoid Arthritis
34921994,Properties of FDA-approved small molecule protein kinase inhibitors: A 2022 update.,Pharmacological research,2022,Imatinib,Rheumatoid Arthritis
34354255,"Trends in kinase drug discovery: targets, indications and inhibitor design.",Nature reviews. Drug discovery,2021,Imatinib,Rheumatoid Arthritis
33539089,Recent Developments in the Use of Kinase Inhibitors for Management of Viral Infections.,Journal of medicinal chemistry,2022,Imatinib,Rheumatoid Arthritis
33513356,Properties of FDA-approved small molecule protein kinase inhibitors: A 2021 update.,Pharmacological research,2021,Imatinib,Rheumatoid Arthritis
31862477,Properties of FDA-approved small molecule protein kinase inhibitors: A 2020 update.,Pharmacological research,2020,Imatinib,Rheumatoid Arthritis
31816725,Effective quantification of 11 tyrosine kinase inhibitors and caffeine in human plasma by validated LC-MS/MS method with potent phospholipids clean-up procedure. Application to therapeutic drug monitoring.,Talanta,2020,Imatinib,Rheumatoid Arthritis
31263618,Chronic Myeloid Leukemia in a Patient Receiving Tofacitinib: A Case Report and Literature Review.,Case reports in rheumatology,2019,Imatinib,Rheumatoid Arthritis
30877063,Properties of FDA-approved small molecule protein kinase inhibitors.,Pharmacological research,2019,Imatinib,Rheumatoid Arthritis
30687331,Treatment Effects of the Second-Generation Tyrosine Kinase Inhibitor Dasatinib on Autoimmune Arthritis.,Frontiers in immunology,2018,Imatinib,Rheumatoid Arthritis
30345193,"capital ES, Cyrillicase Report of Acute Toxic Imatinib-induced Hepatitis in a Patient with Chronic Myeloid Leukemia, Sulfa Allergy, and Rheumatoid Arthritis.",Cureus,2018,Imatinib,Rheumatoid Arthritis
30281780,Imatinib inhibits CSF1R that stimulates proliferation of rheumatoid arthritis fibroblast-like synoviocytes.,Clinical and experimental immunology,2019,Imatinib,Rheumatoid Arthritis
28982129,The tyrosine kinase inhibitor imatinib mesylate suppresses uric acid crystal-induced acute gouty arthritis in mice.,PloS one,2017,Imatinib,Rheumatoid Arthritis
27454254,"Abstracts from the 3rd International Genomic Medicine Conference (3rd IGMC 2015) : Jeddah, Kingdom of Saudi Arabia. 30 November - 3 December 2015.",BMC genomics,2016,Imatinib,Rheumatoid Arthritis
24072562,Proposal for a new nomenclature of disease-modifying antirheumatic drugs.,Annals of the rheumatic diseases,2014,Imatinib,Rheumatoid Arthritis
23947692,Imatinib mesylate: an innovation in treatment of autoimmune diseases.,Recent patents on inflammation & allergy drug discovery,2013,Imatinib,Rheumatoid Arthritis
23657945,Drug repurposing for gastrointestinal stromal tumor.,Molecular cancer therapeutics,2013,Imatinib,Rheumatoid Arthritis
23284953,Transport mechanisms and their pathology-induced regulation govern tyrosine kinase inhibitor delivery in rheumatoid arthritis.,PloS one,2012,Imatinib,Rheumatoid Arthritis
23092598,[Non oncologic applications of molecular targeted therapies].,Bulletin du cancer,2012,Imatinib,Rheumatoid Arthritis
22777068,[New kinase inhibitors].,Zeitschrift fur Rheumatologie,2012,Imatinib,Rheumatoid Arthritis
22612424,Tyrosine kinase inhibitors as potential drugs for B-cell lymphoid malignancies and autoimmune disorders.,Expert opinion on investigational drugs,2012,Imatinib,Rheumatoid Arthritis
22363762,The prevalence and cost of unapproved uses of top-selling orphan drugs.,PloS one,2012,Imatinib,Rheumatoid Arthritis
22338992,Mast cell activation syndrome masquerading as agranulocytosis.,Military medicine,2012,Imatinib,Rheumatoid Arthritis
21968742,Interleukin-17-positive mast cells contribute to synovial inflammation in spondylarthritis.,Arthritis and rheumatism,2012,Imatinib,Rheumatoid Arthritis
21188449,Comparative suppressive effects of tyrosine kinase inhibitors imatinib and nilotinib in models of autoimmune arthritis.,Modern rheumatology,2011,Imatinib,Rheumatoid Arthritis
20478730,Imatinib mesylate induces clinical remission in rheumatoid arthritis.,Joint bone spine,2010,Imatinib,Rheumatoid Arthritis
20453443,Involvement of mast cells in systemic sclerosis.,Nihon Rinsho Men'eki Gakkai kaishi = Japanese journal of clinical immunology,2010,Imatinib,Rheumatoid Arthritis
20380722,Platelet-derived growth factor and transforming growth factor beta synergistically potentiate inflammatory mediator synthesis by fibroblast-like synoviocytes.,Arthritis research & therapy,2010,Imatinib,Rheumatoid Arthritis
20181277,c-Fms-mediated differentiation and priming of monocyte lineage cells play a central role in autoimmune arthritis.,Arthritis research & therapy,2010,Imatinib,Rheumatoid Arthritis
19654496,Resolution of rheumatoid arthritis symptoms with imatinib mesylate.,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,2009,Imatinib,Rheumatoid Arthritis
19568828,Imatinib mesylate inhibited rat adjuvant arthritis and PDGF-dependent growth of synovial fibroblast via interference with the Akt signaling pathway.,Modern rheumatology,2009,Imatinib,Rheumatoid Arthritis
19509096,Longstanding remission of adult onset Still's disease under imatinib therapy in a patient with chronic myelogenous leukemia.,The Journal of rheumatology,2009,Imatinib,Rheumatoid Arthritis
18824923,Maintained efficacy of the tyrosine kinase inhibitor imatinib mesylate in a patient with rheumatoid arthritis.,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,2008,Imatinib,Rheumatoid Arthritis
18671330,Imatinib treatment of seropositive arthritis in a young woman with chronic myeloid leukemia.,The Journal of rheumatology,2008,Imatinib,Rheumatoid Arthritis
18201764,Ulcerative keratitis in gastrointestinal stromal tumor patients treated with perifosine.,Ophthalmology,2008,Imatinib,Rheumatoid Arthritis
17694264,Imatinib mesylate both prevents and treats the arthritis induced by type II collagen antibody in mice.,Modern rheumatology,2007,Imatinib,Rheumatoid Arthritis
17603257,[Imatinib mesylate as a novel therapeutic drug for systemic rheumatic diseases].,Nihon Rinsho Men'eki Gakkai kaishi = Japanese journal of clinical immunology,2007,Imatinib,Rheumatoid Arthritis
17560008,Modulation of T-effector function by imatinib at the level of cytokine secretion.,Experimental hematology,2007,Imatinib,Rheumatoid Arthritis
17498050,Mast cells in the pathogenesis of rheumatic diseases and as potential targets for anti-rheumatic therapy.,Immunological reviews,2007,Imatinib,Rheumatoid Arthritis
17414958,Macrophages and their products in rheumatoid arthritis.,Current opinion in rheumatology,2007,Imatinib,Rheumatoid Arthritis
17294533,Cancer drug effective in RA.,DukeMedicine healthnews,2006,Imatinib,Rheumatoid Arthritis
17292918,The 2.7 A crystal structure of the autoinhibited human c-Fms kinase domain.,Journal of molecular biology,2007,Imatinib,Rheumatoid Arthritis
21901078,Platelet-derived growth factor as a therapeutic target for systemic autoimmune diseases.,Drug target insights,2007,Imatinib,Rheumatoid Arthritis
16981009,Selective tyrosine kinase inhibition by imatinib mesylate for the treatment of autoimmune arthritis.,The Journal of clinical investigation,2006,Imatinib,Rheumatoid Arthritis
16970656,"Molecular medicine, the Medicare drug benefit, and the need for cost control.",Journal of the American Geriatrics Society,2006,Imatinib,Rheumatoid Arthritis
