pmid,title,journal,year,drug,disease
39985762,Disease-Drug-Drug Interaction of Imatinib in COVID-19 ARDS: A Pooled Population Pharmacokinetic Analysis.,CPT: pharmacometrics & systems pharmacology,2025,Imatinib,SARS-CoV-2
39748395,Integrative analyses of mendelian randomization and bioinformatics reveal casual relationship and genetic links between COVID-19 and knee osteoarthritis.,BMC medical genomics,2025,Imatinib,SARS-CoV-2
39587918,Evaluating imatinib in severe COVID-19: a systematic review and meta-analysis.,Transactions of the Royal Society of Tropical Medicine and Hygiene,2025,Imatinib,SARS-CoV-2
39519351,Vitamin K2 Protects Against SARS-CoV-2 Envelope Protein-Induced Cytotoxicity in Chronic Myeloid Leukemia Cells and Enhances Imatinib Activity.,International journal of molecular sciences,2024,Imatinib,SARS-CoV-2
39445010,Increased plasma imatinib exposure and toxicity in chronically treated GIST patients with SARS-CoV-2 infection: a case series.,Frontiers in immunology,2024,Imatinib,SARS-CoV-2
39281285,Gastrointestinal tract organoids as novel tools in drug discovery.,Frontiers in pharmacology,2024,Imatinib,SARS-CoV-2
39165680,Regorafenib-related erythrocytosis in metastatic extra-gastrointestinal stromal tumor: a case report.,Frontiers in oncology,2024,Imatinib,SARS-CoV-2
39024368,"In-silico discovery of common molecular signatures for which SARS-CoV-2 infections and lung diseases stimulate each other, and drug repurposing.",PloS one,2024,Imatinib,SARS-CoV-2
38969238,Short- and long-term effects of imatinib in hospitalized COVID-19 patients: A randomized trial.,The Journal of infection,2024,Imatinib,SARS-CoV-2
38503318,"Drugs and natural products for the treatment of COVID-19 during 2020, the first year of the pandemic.",Boletin medico del Hospital Infantil de Mexico,2024,Imatinib,SARS-CoV-2
38454628,Pharmacist's role in the management of drug-drug interactions caused by nirmatrelvir/ritonavir in COVID-19 oncohematology patients.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2025,Imatinib,SARS-CoV-2
38424569,Imatinib treatment improves hyperglycaemic dysregulation in severe COVID-19: a secondary analysis of blood biomarkers in a randomised controlled trial.,"Critical care (London, England)",2024,Imatinib,SARS-CoV-2
38272877,Longitudinal plasma proteomics reveals biomarkers of alveolar-capillary barrier disruption in critically ill COVID-19 patients.,Nature communications,2024,Imatinib,SARS-CoV-2
38186640,"Identification of oral therapeutics using an AI platform against the virus responsible for COVID-19, SARS-CoV-2.",Frontiers in pharmacology,2023,Imatinib,SARS-CoV-2
38022239,Paradoxical Immune Reconstitution Inflammatory Syndrome in SARS-CoV-2 Infection After Improvement of Chemotherapy-Induced Aplasia.,Cureus,2023,Imatinib,SARS-CoV-2
38006751,Predictions based on inflammatory cytokine profiling of Egyptian COVID-19 with 2 potential therapeutic effects of certain marine-derived compounds.,International immunopharmacology,2024,Imatinib,SARS-CoV-2
37601670,Management of chronic myelogenous leukemia with COVID-19 and hepatitis B.,Frontiers in oncology,2023,Imatinib,SARS-CoV-2
37542399,"Predictors of Mortality among COVID-19 Patients Admitted to Intensive Care Units: A Single-Center Study in Tehran, Iran.",Archives of Iranian medicine,2022,Imatinib,SARS-CoV-2
37337067,SARS-CoV-2 Omicron BA.5.2-infection and COVID-19 in persons with chronic myeloid leukaemia.,Journal of cancer research and clinical oncology,2023,Imatinib,SARS-CoV-2
36995225,Amuvatinib Blocks SARS-CoV-2 Infection at the Entry Step of the Viral Life Cycle.,Microbiology spectrum,2023,Imatinib,SARS-CoV-2
36986786,Evaluation of In Vitro and In Vivo Antiviral Activities of Vitamin D for SARS-CoV-2 and Variants.,Pharmaceutics,2023,Imatinib,SARS-CoV-2
36864189,"A SARS-CoV-2-specific CAR-T-cell model identifies felodipine, fasudil, imatinib, and caspofungin as potential treatments for lethal COVID-19.",Cellular & molecular immunology,2023,Imatinib,SARS-CoV-2
