pmid,title,journal,year,drug,disease
40834023,Common molecular links and therapeutic insights between type 2 diabetes and kidney cancer.,PloS one,2025,Imatinib,Type 2 Diabetes
40690035,Exploration of Imatinib involved in amyloidogenesis as a common foundation for type-2 diabetes mellitus (T2DM) and Alzheimer's disease (AD).,Metabolic brain disease,2025,Imatinib,Type 2 Diabetes
40127075,Exploring common genomic biomarkers to disclose common drugs for the treatment of colorectal cancer and hepatocellular carcinoma with type-2 diabetes through transcriptomics analysis.,PloS one,2025,Imatinib,Type 2 Diabetes
40025145,Screening of common genomic biomarkers to explore common drugs for the treatment of pancreatic and kidney cancers with type-2 diabetes through bioinformatics analysis.,Scientific reports,2025,Imatinib,Type 2 Diabetes
39634181,"Exploring the pathogenesis, biomarkers, and potential drugs for type 2 diabetes mellitus and acute pancreatitis through a comprehensive bioinformatic analysis.",Frontiers in endocrinology,2024,Imatinib,Type 2 Diabetes
39160196,"Bioinformatics analysis to disclose shared molecular mechanisms between type-2 diabetes and clear-cell renal-cell carcinoma, and therapeutic indications.",Scientific reports,2024,Imatinib,Type 2 Diabetes
39134910,Simultaneous Robotic Sphincter-Preserving Rectal Resection and Prostatectomy for Rectal Gastrointestinal Stromal Tumor and Prostatic Cancer.,Annals of surgical oncology,2024,Imatinib,Type 2 Diabetes
36864712,"A 68-Year-Old Man with a Cytogenetic Diagnosis of Chronic Myeloid Leukemia and Bone Marrow Findings of Philadelphia Chromosome Translocation Between the Long Arm of Chromosomes 9 and 22, Leading to the BCR-ABL1 Fusion Gene and V617F Mutation in the JAK2 Gene.",The American journal of case reports,2023,Imatinib,Type 2 Diabetes
36187072,Are off-target effects of imatinib the key to improving beta-cell function in diabetes?,Upsala journal of medical sciences,2022,Imatinib,Type 2 Diabetes
35475716,Effects of imatinib on glycemic and lipid profiles: a retrospective cohort study.,Leukemia & lymphoma,2022,Imatinib,Type 2 Diabetes
35106640,Successful treatment of imatinib-induced periorbital edema with a sodium-glucose cotransporter-2 inhibitor.,Annals of hematology,2022,Imatinib,Type 2 Diabetes
34772496,Antidiabetic Effects of the Senolytic Agent Dasatinib.,Mayo Clinic proceedings,2021,Imatinib,Type 2 Diabetes
34617056,Inhibition of angiotensin-induced aortic aneurysm by metformin in apolipoprotein E-deficient mice.,JVS-vascular science,2021,Imatinib,Type 2 Diabetes
34214082,Effects of imatinib on vascular insulin sensitivity and free fatty acid transport in early weight gain.,PloS one,2021,Imatinib,Type 2 Diabetes
