PMID,Title,Journal,Year
37933173,Non-steroidal intravitreal injection for noninfectious uveitic cystoid macular edema: Systematic review and meta-analysis.,European journal of ophthalmology,2024
36549244,Anti-TNF vs tocilizumab in refractory uveitic cystoid macular edema due to Behcet's disease. Multicenter study of 49 patients.,Seminars in arthritis and rheumatism,2023
35588311,Long-term Efficacy of TNF-alpha Inhibitors on Persistent Uveitic Macular Edema: A Swiss Multicenter Cohort Study.,Ocular immunology and inflammation,2023
34793830,Anti-Tumor Necrosis Factor alpha versus Tocilizumab in the Treatment of Refractory Uveitic Macular Edema: A Multicenter Study from the French Uveitis Network.,Ophthalmology,2022
31732597,Lessons of the month 2: A case of Behcet's disease: 70% have ophthalmic involvement.,"Clinical medicine (London, England)",2019
31302214,In situ antibody-loaded hydrogel for intravitreal delivery.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2019
30858697,Update in treatment of uveitic macular edema.,"Drug design, development and therapy",2019
30206553,The use of biologic therapies in uveitis.,Romanian journal of ophthalmology,2018
30096013,INFLIXIMAB and ADALIMUMAB in Uveitic Macular Edema.,Ocular immunology and inflammation,2018
28318719,[Anti-TNFalpha agents for refractory cystoid macular edema associated with non-infectious uveitis: A case report].,Journal francais d'ophtalmologie,2017
27726475,Efficacy of Anti-IL6-Receptor Tocilizumab in Refractory Cystoid Macular Edema of Birdshot Retinochoroidopathy Report of Two Cases and Literature Review.,Ocular immunology and inflammation,2017
27681002,INFLIXIMAB THERAPY IN PATIENTS WITH NONINFECTIOUS INTERMEDIATE UVEITIS RESISTANT TO CONVENTIONAL IMMUNOMODULATORY THERAPY.,"Retina (Philadelphia, Pa.)",2017
26972783,Progress in the understanding and utilization of biologic response modifiers in the treatment of uveitis.,Expert review of clinical immunology,2016
26548469,[Pharmacological therapy of age-related macular degeneration based on etiopathogenesis].,Orvosi hetilap,2015
25028250,Treatment and functional outcome of patients with cystoid macular edema: a single-center experience.,Clinical rheumatology,2015
24953977,"A noncontrolled trial of anti-TNF-alpha chimeric monoclonal antibody (infliximab, Remicade((R))) in exudative age-related macular degeneration.",Acta ophthalmologica,2014
24492505,Cytokines and Biologics in non-infectious autoimmune uveitis: bench to bedside.,Indian journal of ophthalmology,2014
25825604,Update on intravitreal anti-tumor necrosis factor alpha therapies for ocular disorders.,Journal of ophthalmic inflammation and infection,2014
24366669,Anti-TNF-alpha agents for refractory cystoid macular edema associated with noninfectious uveitis.,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2014
24127749,Frequency of the off-label use of monoclonal antibodies in clinical practice: a systematic review of the literature.,Current medical research and opinion,2014
