PMID,Title,Journal,Year
39695351,Pulmonary toxicity assessment of tumor necrosis factor alpha inhibitors in the treatment of IBD: a real world study based on US food and drug administration adverse events reporting system (FAERS).,Expert opinion on drug safety,2024
36250175,Influence of comorbidities on treatment considerations for first-line biologic prescribing in patients with inflammatory bowel disease in the UK.,Frontline gastroenterology,2022
36161620,Evaluation of the frequency and intensity of COVID-19 in patients with ankylosing spondylitis under anti-TNF therapy.,Turkish journal of medical sciences,2022
36042661,Ulcerative colitis-associated bronchiectasis: A rare extraintestinal manifestation of inflammatory bowel disease: A case report.,Medicine,2022
33544122,Subclinical Pulmonary Involvement in Active IBD Responds to Biologic Therapy.,Journal of Crohn's & colitis,2021
32198218,Delphi consensus recommendations for a treatment algorithm in pulmonary sarcoidosis.,European respiratory review : an official journal of the European Respiratory Society,2020
31852268,Infection risk in patients undergoing treatment for inflammatory arthritis: non-biologics versus biologics.,Expert review of clinical immunology,2020
31842375,Transcriptome-Guided Drug Repositioning.,Pharmaceutics,2019
29683730,Biologic Drugs: A New Target Therapy in COPD?,COPD,2018
29609004,Emerging biological therapies for treating chronic obstructive pulmonary disease: A pairwise and network meta-analysis.,Pulmonary pharmacology & therapeutics,2018
28609574,Factors associated with the choice of the first biologic in psoriasis: real-life analysis from the Psobioteq cohort.,Journal of the European Academy of Dermatology and Venereology : JEADV,2017
26555431,"Incidence and complications of interstitial lung disease in users of tocilizumab, rituximab, abatacept and anti-tumor necrosis factor alpha agents, a retrospective cohort study.",Arthritis research & therapy,2015
23246078,Long-term safety study of infliximab in moderate-to-severe chronic obstructive pulmonary disease.,Respiratory medicine,2013
23128254,"[Doctors, lawyers and pharmaceutical industry on health lawsuits in Minas Gerais, Southeastern Brazil].",Revista de saude publica,2012
22300528,Systemic inflammatory profile and response to anti-tumor necrosis factor therapy in chronic obstructive pulmonary disease.,Respiratory research,2012
21997704,Chemokine release by neutrophils in chronic obstructive pulmonary disease.,Innate immunity,2012
21933595,Infliximab protects against pulmonary emphysema in smoking rats.,Chinese medical journal,2011
21378550,Mycobacterial infections in the era of modern biologic agents.,The American journal of the medical sciences,2011
20692546,Pulmonary manifestations of ankylosing spondylitis.,Clinics in chest medicine,2010
19853667,TNF-alpha inhibitors in asthma and COPD: we must not throw the baby out with the bath water.,Pulmonary pharmacology & therapeutics,2010
