PMID,Title,Journal,Year
40794228,The Intriguing Roles of Cytokines in Metabolic Dysfunction-Associated Steatotic Liver Disease: A Narrative Review.,Current obesity reports,2025
40791303,First Reported Successful Use of Infliximab Maintenance Therapy for Dual Treatment of Crohn Disease and Idiopathic Retroperitoneal Fibrosis.,ACG case reports journal,2025
40713349,Down-regulation of TNF-alpha/RIPK/Caspase-8 axis by combined infliximab and umbelliferone prevents unilateral ureter ligation-induced interstitial renal fibrosis.,Journal of pharmacological sciences,2025
40698202,Refractory Colitis in Hermansky-Pudlak Syndrome: A Surgical Case Report.,Cureus,2025
40088616,Advanced pulmonary sarcoidosis.,Journal of autoimmunity,2025
39961300,Precision imaging in chronic liver disease management.,Acta gastro-enterologica Belgica,2025
39868554,Recent advances in pharmacological treatments of proliferative vitreoretinopathy.,Current opinion in ophthalmology,2025
39834689,Acute fibrinous and organizing pneumonia after lung transplantation: A case report of treatment with infliximab and tocilizumab and literature review.,Respiratory medicine case reports,2025
39813158,Effectiveness and Safety of Adalimumab in Patients With Very Early-Onset Inflammatory Bowel Disease: A Retrospective Study on Behalf of the Porto Inflammatory Bowel Disease Working Group of European Society for Pediatric Gastroenterology Hepatology and Nutrition.,Inflammatory bowel diseases,2025
39767557,Drug-Induced Pulmonary Fibrosis: National Database Analysis.,Biomedicines,2024
39695351,Pulmonary toxicity assessment of tumor necrosis factor alpha inhibitors in the treatment of IBD: a real world study based on US food and drug administration adverse events reporting system (FAERS).,Expert opinion on drug safety,2024
39598344,"The Effect of Biologic Agents on Steatotic Liver Disease in Patients with Inflammatory Bowel Disease: A Prospective, Open-Label Comparative Trial.","Pharmaceuticals (Basel, Switzerland)",2024
39527713,Efficacy of Infliximab in Experimental Tracheal Stenosis.,The Journal of craniofacial surgery,2025
39428941,Revealing Fibrosis Genes as Biomarkers of Ulcerative Colitis: A Bioinformatics Study Based on ScRNA and Bulk RNA Datasets.,"Endocrine, metabolic & immune disorders drug targets",2025
39423922,Association between nutritional status assessed by body mass index and Crohn's disease phenotype: A Nation-wide analysis.,Clinical nutrition ESPEN,2024
39250458,Efficacy and safety of infliximab in patients with autoimmune hepatitis.,"Hepatology (Baltimore, Md.)",2025
39201548,Evaluation of the Antifibrotic Effects of Drugs Commonly Used in Inflammatory Intestinal Diseases on In Vitro Intestinal Cellular Models.,International journal of molecular sciences,2024
39174896,Rheumatoid arthritis complicated with cervical actinomycosis and ureteral obstruction: A case report and literature review.,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,2024
39093785,Risks and benefits of anti-TNF therapy for ulcerative colitis in a patient with autoimmune hepatitis-related cirrhosis: Case report.,Medicine,2024
39083286,Effect of Overweight and Obesity on the Response to Anti-TNF Therapy and Disease Course in Children With IBD.,Inflammatory bowel diseases,2025
