PMID,Title,Journal,Year
40855440,Hepatitis B reactivation with TNF-alpha inhibitors: assessing antiviral prophylaxis efficacy - protocol for systematic review and meta-analysis.,Systematic reviews,2025
40737051,Bibliometric insights into transforming the management of rheumatoid arthritis: three decades of progress against opportunistic infections.,Clinical and experimental rheumatology,2025
40371441,Infliximab may contribute to remit rapidly progressive of IgA nephropathy secondary to Crohn's disease: A case report.,Technology and health care : official journal of the European Society for Engineering and Medicine,2025
40320559,Prevalence of opportunistic infections in Syrian inflammatory bowel disease patients on biologic therapy: a multi-center retrospective cross-sectional study.,BMC infectious diseases,2025
39677079,"Serological Profiles of Hepatitis B Virus in Patients With Crohn's Disease Undergoing Anti-Tumor Necrosis Factor Alpha (TNFalpha) Therapy at Ibn Sina University Hospital, Rabat.",Cureus,2024
38675746,Immunogenicity of Hepatitis B Vaccination in Patients with Ulcerative Colitis on Infliximab Is Attenuated Compared to Those on 5-Aminosalicylic Acid Therapies: A Prospective Observational Study.,Vaccines,2024
38056920,Hepatitis B vaccination associated with low response in patients with rheumatic diseases treated with biologics.,RMD open,2023
38046251,Epidemiological characteristics of hepatitis B and C in patients with inflammatory arthritis: Implications from treasure database.,Archives of rheumatology,2023
38006373,PAPA Syndrome: Challenges in Achieving Long-Term Remission.,Acta dermatovenerologica Croatica : ADC,2023
37431718,The use of a tumor necrosis factor inhibitor-adalimumab-in the management of arthritis in an adolescent with HIV: A case report.,International journal of rheumatic diseases,2024
36224043,A case of HCC successfully treated with infliximab-steroid sequential therapy for small bowel perforation due to atezolizumab/bevacizumab combination therapy.,"Cancer reports (Hoboken, N.J.)",2022
36120653,Immune function in newborns with in-utero exposure to anti-TNFalpha therapy.,Frontiers in pediatrics,2022
35975904,Meta-analysis: hepatitis B reactivation in patients receiving biological therapy.,Alimentary pharmacology & therapeutics,2022
35768794,Acute hepatitis B virus infection despite vaccination in a patient treated by infliximab: a case report.,BMC gastroenterology,2022
34477078,"Two Cases of Hidradenitis Suppurativa Treated with Adalimumab at the Department of Dermatology and Venereology, Clinical Hospital Mostar.",Acta dermatovenerologica Croatica : ADC,2021
32675781,Evaluation of hepatitis B vaccine efficacy and factors affecting vaccine nonresponse in patients receiving anti-tumor necrosis factor agents.,European journal of gastroenterology & hepatology,2021
32322119,"Assessment of anti-HBs antibody concentration in children with juvenile idiopathic arthritis treated with biological drugs, vaccinated against viral type B hepatitis in infancy.",Reumatologia,2020
31852268,Infection risk in patients undergoing treatment for inflammatory arthritis: non-biologics versus biologics.,Expert review of clinical immunology,2020
31146509,Best practices on immunomodulators and biologic agents for ulcerative colitis and Crohn's disease in Asia.,Intestinal research,2019
30848854,Best practices on immunomodulators and biologic agents for ulcerative colitis and Crohn's disease in Asia.,Journal of gastroenterology and hepatology,2019
