PMID,Title,Journal,Year
40937051,Evaluating spleen volume in inflammatory bowel disease.,Annals of gastroenterology,2025
40821152,Generalized Pustular Psoriasis as a Systemic Inflammatory Disease: Experience With 38 Japanese Cases Over 15 Years at a Single Institution.,Cureus,2025
40539167,Neuro-Behcet's Syndrome: A Case Report.,Cureus,2025
40535405,Double Trouble: Drug-Induced Autoimmune Hepatitis (AIH)-Primary Biliary Cholangitis (PBC) Overlap Syndrome Triggered by Hydralazine.,Cureus,2025
40531440,A Systematic Review of Anti-TNF and Anti-IL-6 Treatments for Pediatric Takayasu Arteritis: Addressing a Therapeutic Dilemma.,Paediatric drugs,2025
40495185,Clinical characteristics and treatment of infantile Takayasu arteritis in the Chinese Han population: a single-center study.,Pediatric rheumatology online journal,2025
40242300,Unveiling the Uncommon: Pyoderma Gangrenosum as an Extraintestinal Complication of Ulcerative Colitis.,ACG case reports journal,2025
40220198,Role of polyphenolics in the management of rheumatoid arthritis through intracellular signaling pathways: a mechanistic review.,Inflammopharmacology,2025
40088616,Advanced pulmonary sarcoidosis.,Journal of autoimmunity,2025
39807746,"Polyarteritis nodosa with life-threatening intracranial aneurysms in a child, and treatment with infliximab.",The Turkish journal of pediatrics,2024
39516049,Biomarker-guided infliximab therapy for immune checkpoint inhibitor-induced acute interstitial nephritis.,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",2025
39331850,Pearls & Oy-sters: Vocal Cord Palsy as the Presenting Manifestation of Neurosarcoidosis.,Neurology,2024
38914585,Assessment of cerebrovascular alterations induced by inflammatory response and oxidative-nitrative stress after traumatic intracranial hypertension and a potential mitigation strategy.,Scientific reports,2024
38364414,Effect of Treatment With Biologic Agents on the Novel Inflammatory Biomarkers Systemic Immune Inflammation Index and Systemic Inflammation Response Index for Psoriasis.,Dermatology practical & conceptual,2024
38317525,Real-world biologic treatment patterns and healthcare resource utilization in psoriasis patients using an insurance claims database in Japan.,The Journal of dermatological treatment,2024
38101913,Aneurysmal Disease in Patients With Takayasu Arteritis.,The Journal of rheumatology,2024
38046251,Epidemiological characteristics of hepatitis B and C in patients with inflammatory arthritis: Implications from treasure database.,Archives of rheumatology,2023
38032436,Active flare of IgA nephropathy during long-term therapy with anti-tumor necrosis factor-alpha antibody drugs for Crohn's disease: three case reports and literature review.,CEN case reports,2024
38025989,Evaluation of Treatment Patterns and Maintenance Dose Titration Among Patients With Crohn's Disease Initiating Biologics With 3 Years of Follow-Up.,Journal of health economics and outcomes research,2023
38006373,PAPA Syndrome: Challenges in Achieving Long-Term Remission.,Acta dermatovenerologica Croatica : ADC,2023
