PMID,Title,Journal,Year
40895383,"Discontinuation of biosimilar infliximab in Japanese patients with rheumatoid arthritis achieving sustained clinical remission or low disease activity during the IFX-SIRIUS STUDY I (the IFX-SIRIUS STUDY II): A clinical, ultrasound, and biomarker-based effectiveness after discontinuation and reinitiation of biosimilar infliximab.",Global health & medicine,2025
40850756,"Switching from originator infliximab to biosimilar infliximab in Japanese patients with rheumatoid arthritis achieving clinical remission (the IFX-SIRIUS study I): An interventional, multicenter, open-label, single-arm clinical trial with clinical, ultrasound and biomarker assessments.",Drug discoveries & therapeutics,2025
40793891,[Evolution of biological management during pregnancy: from uncertainty to evidence in rheumatoid arthritis].,Medicina,2025
40737051,Bibliometric insights into transforming the management of rheumatoid arthritis: three decades of progress against opportunistic infections.,Clinical and experimental rheumatology,2025
40720061,Real-World Effectiveness and Safety of Infliximab Biosimilar CT-P13 for Rheumatic Diseases: A National Observational Cohort Study (ReFLECT).,Advances in therapy,2025
40707848,"Biosimilars and reference biological medicines in the treatment of rheumatoid arthritis: a multicenter cross-sectional study in Catalonia, Spain.",Clinical rheumatology,2025
40699912,TNF-alpha Promotes Synovial Inflammation and Cartilage Bone Destruction in Rheumatoid Arthritis via NF-kappaB/YY1/miR-103a-3p Axis.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2025
40611412,Prevalence and Impact of Antibodies Against TNF Alpha Inhibitors in Rheumatoid Arthritis and Spondyloarthritis: Systematic Review and Meta- Analysis with Subgroup Analysis.,Current drug safety,2025
40560239,Risk of new or recurrent cancer during treatment with biologics in patients with immune-mediated inflammatory diseases and previous cancer: a meta-analysis.,Clinical and experimental medicine,2025
40548492,Limited reduction of bone mineral density in patients with early rheumatoid arthritis receiving aggressive treatment: 10 year results of the NEO-RACo study.,Scandinavian journal of rheumatology,2025
40513927,Native structure of the monoclonal therapeutic CD20 antibody ocrelizumab.,Biochimica et biophysica acta. Proteins and proteomics,2025
40454138,Switching from intravenous to subcutaneous infliximab in patients with immune mediated diseases in clinical remission.,Frontiers in medicine,2025
40434456,JAK-STAT inhibitors in noninfectious uveitis - A review.,Indian journal of ophthalmology,2025
40385904,Infliximab-Induced Vasculitis in a Rheumatoid Arthritis Patient: A Comprehensive Case Report.,Cureus,2025
40376321,Cardiovascular Outcomes of Disease-Modifying Antirheumatic Drugs in Rheumatoid Arthritis: A Review of the Current Evidence.,Cureus,2025
40371548,Drug survival and predictor factors for discontinuation of first-line biologic therapy in rheumatoid arthritis: data from a real-world single-centre study.,Clinical and experimental rheumatology,2025
40365452,Genital Tuberculosis and Serous Cystadenoma in a 58-Year-Old Female With Rheumatoid Arthritis and Sjogren's Syndrome: A Case Report.,Case reports in rheumatology,2025
40256995,Recommendations for the Use of Disease-Modifying Antirheumatic Drugs in Pregnancy and Reproductive Health for Patients With Rheumatic Disease: A Scoping Review.,Arthritis care & research,2025
40249052,Characterising infusion/injection-related reactions in patients with rheumatoid arthritis treated with biologic agents.,Clinical and experimental rheumatology,2025
40241664,"A real-world, observational, prospective cohort study evaluating the safety and effectiveness of CT-P13 in inflammatory bowel disease and rheumatoid arthritis: the MEGA-J study.",Current medical research and opinion,2025
