PMID,Title,Journal,Year
40535405,Double Trouble: Drug-Induced Autoimmune Hepatitis (AIH)-Primary Biliary Cholangitis (PBC) Overlap Syndrome Triggered by Hydralazine.,Cureus,2025
40064627,Treatment of Refractory Extensive Ulcerative Necrobiosis Lipoidica With Infliximab.,International journal of dermatology,2025
36566818,Anti-Tumor Necrosis Factor Treatment Does Not Decrease the Risk of Type 2 Diabetes in Patients With Inflammatory Bowel Disease.,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2023
35972216,"Re: Lin I, Melsheimer R, Bhak RH, et al. Impact of switching to infliximab biosimilars on treatment patterns among US veterans receiving innovator infliximab. Curr Med Res Opin. 2022;38(4):613-627.",Current medical research and opinion,2022
33298502,Craniectomy with microvascular flap reconstruction in a patient taking infliximab for vasculitis.,BMJ case reports,2020
32439174,Development and application of an antibody that binds to interleukin-1beta of various mammalian species for the treatment of inflammatory diseases.,Biochemical and biophysical research communications,2020
31845616,Pathological findings in central nervous system demyelination associated with infliximab.,"Multiple sclerosis (Houndmills, Basingstoke, England)",2020
31596759,Hidradenitis Suppurativa.,Diseases of the colon and rectum,2019
31513665,"Anti-interleukin-1 treatment in patients with rheumatoid arthritis and type 2 diabetes (TRACK): A multicentre, open-label, randomised controlled trial.",PLoS medicine,2019
30980454,Pyoderma gangrenosum successfully treated with golimumab: Case report and review of the literature.,Dermatologic therapy,2019
30260514,Infliximab ameliorates tumor necrosis factor-alpha-induced insulin resistance by attenuating PTP1B activation in 3T3L1 adipocytes in vitro.,Scandinavian journal of immunology,2018
30037762,Biologics for the primary care physician: Review and treatment of psoriasis.,Disease-a-month : DM,2019
29258704,Acute infection due to Mycobacterium marinum in a patient with ulcerative colitis and metabolic syndrome on infliximab therapy.,Gastroenterologia y hepatologia,2018
27230767,Cooling down inflammation in type 2 diabetes: how strong is the evidence for cardiometabolic benefit?,Endocrine,2017
25358444,Central IKKbeta inhibition prevents air pollution mediated peripheral inflammation and exaggeration of type II diabetes.,Particle and fibre toxicology,2014
25345753,"Anti-inflammatory agents to treat or prevent type 2 diabetes, metabolic syndrome and cardiovascular disease.",Expert opinion on investigational drugs,2015
23906523,Successful treatment of infliximab-associated immune-mediated sensory polyradiculopathy with intravenous immunoglobulin.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2013
23377397,"New-onset vitiligo during long-term, stable infliximab treatment of pityriasis rubra pilaris.",Journal of drugs in dermatology : JDD,2013
22104047,Pyoderma gangrenosum associated with inflammatory bowel disease. Report of two cases with good response to infliximab.,Reumatologia clinica,2012
21709287,Does therapy with anti-TNF-alpha improve glucose tolerance and control in patients with type 2 diabetes?,Diabetes care,2011
