PMID,Title,Journal,Year
40939219,Traditional Chinese medicine combined with biologic therapy for refractory severe ulcerative colitis: A case report.,"Explore (New York, N.Y.)",2025
40937051,Evaluating spleen volume in inflammatory bowel disease.,Annals of gastroenterology,2025
40933992,Misfortunes never come alone: melanoma and ulcerative colitis after biologic therapy in a psoriatic patient - a case report and literature review.,Frontiers in immunology,2025
40925779,Overcoming anti-Infliximab antibodies and maintaining Infliximab achieves superior durability and outcome compared to switching to Adalimumab.,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2025
40919597,"Therapeutic Drug Monitoring in Pediatric Inflammatory Bowel Disease: A Nationwide Survey of Anti-TNF Therapy Practices, Attitudes, and Barriers.",Crohn's & colitis 360,2025
40915441,Dual-function fab-scFv fusion antibody ameliorates ulcerative colitis by targeting hFcRn-mediated colonic enrichment and TNF-alpha neutralization.,International journal of biological macromolecules,2025
40902939,A series of pediatric patients with inflammatory bowel disease switching from intravenous to subcutaneous infliximab maintenance therapy.,Clinics and research in hepatology and gastroenterology,2025
40875539,Optimizing the switch from escalated intravenous to subcutaneous infliximab: a population pharmacokinetics-pharmacodynamics study.,Journal of Crohn's & colitis,2025
40833756,Early predictors of rescue therapy and colectomy in acute severe ulcerative colitis.,Singapore medical journal,2025
40828456,Real‑world safety and efficacy of biological agents in inflammatory bowel disease: a one-year post-marketing pharmacovigilance observational study in the Calabria region.,Pharmacological reports : PR,2025
40824626,Effectiveness of Switching From Intravenous to Subcutaneous Infliximab in Patients With Inflammatory Bowel Disease: An individual participant data meta-analysis.,Journal of clinical gastroenterology,2025
40821793,Multi-omics derivation of a core gene signature for predicting therapeutic response and characterizing immune dysregulation in inflammatory bowel disease.,Frontiers in immunology,2025
40820417,Real-world Dose Escalation and Associated Direct Costs of Biologics in Management of Ulcerative Colitis: A Retrospective Database Study.,"Digestive diseases (Basel, Switzerland)",2025
40799981,Empiric Antibiotic Use With Rescue Infliximab Does Not Improve Outcomes in Acute Severe Ulcerative Colitis: A Retrospective Cohort Study.,Health science reports,2025
40791287,Advancements in Immunomodulatory Therapies for IBD and Their Interplay With the Gut-Brain Axis: An Updated Review of Current Literature and Beyond.,Health science reports,2025
40778752,Frequency and Effectiveness of Dose Escalation and De-Escalation of Biologic Therapy in Inflammatory Bowel Disease: The RAINBOW-IBD Study of ENEIDA.,Alimentary pharmacology & therapeutics,2025
40755725,Long-term durability of infliximab maintenance therapy incorporating plant-based diet in inflammatory bowel disease.,Translational gastroenterology and hepatology,2025
40736698,Patients Included in Clinical Trials of Biological Drugs for Inflammatory Bowel Disease Do Not Represent the Real-World Population.,The American journal of gastroenterology,2025
40717967,What is the optimal biological therapy for moderate to severe ulcerative colitis: a systematic review and network meta-analysis.,Frontiers in pharmacology,2025
40701396,Early Infliximab Levels and Clearance Predict Outcomes After Infliximab Rescue in Acute Severe Ulcerative Colitis: Results From PREDICT-UC.,Gastroenterology,2025
