PMID,Title,Journal,Year
40727383,Pharmacokinetic Profile of Isoniazid and Acetylator Status in Patients with Systemic Lupus Erythematosus: Implications for Tuberculosis Prevention Therapy in Indonesia.,Infection and drug resistance,2025
40368164,Drug-resistance patterns and associated mutations of Mycobacterium tuberculosis strains isolated from chronic kidney disease and diabetes mellitus patients in Ethiopia.,Journal of global antimicrobial resistance,2025
40173158,Clinical presentation and outcome of tuberculosis in chronic kidney disease stage 4 & 5 from a high TB burden country.,PloS one,2025
40145528,Antibiotic treatment for non-tuberculous mycobacteria lung infection in people with cystic fibrosis.,The Cochrane database of systematic reviews,2025
39817834,A Case of Isoniazid-Induced Cerebellitis in Diabetic Chronic Kidney Disease.,Annals of Indian Academy of Neurology,2025
39575041,Drug-Induced Systemic Lupus Erythematosus: A Rare Presentation of Hydralazine-Induced Lupus.,Cureus,2024
39295970,Tuberculosis in kidney transplant candidates and recipients.,World journal of transplantation,2024
38916390,The Unusual Adverse Effects of Antituberculosis Therapy in Kidney Patients.,International journal of mycobacteriology,2024
38913369,Severe Acute Liver Injury After Hepatotoxic Medication Initiation in Real-World Data.,JAMA internal medicine,2024
38269612,Kidney transplantation in patients on anti-tubercular therapy: A single centre observational study.,Transplant infectious disease : an official journal of the Transplantation Society,2024
36269714,Comparison of three short-course rifamycin-based regimens for the prevention of tuberculosis in patients with end-stage kidney disease: Study protocol for a randomised clinical trial (RIFAKiD-TB trial).,PloS one,2022
35393765,Diagnosis of tuberculosis in dialysis and kidney transplant patients.,Hemodialysis international. International Symposium on Home Hemodialysis,2022
35297024,A non-immunocompromised host with nontuberculous mycobacteria-associated tubulointerstitial nephritis.,CEN case reports,2022
35254535,Update of the mechanism and characteristics of tuberculosis in chronic kidney disease : Review article.,Wiener klinische Wochenschrift,2022
34899926,Agreement between the results of tuberculin skin test and Interferon-Gamma Release Assays in renal transplant candidates.,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,2021
37461971,P053 Interstitial Nephritis from IBD: Complicated Conclusions.,The American journal of gastroenterology,2021
34260011,Mesangiocapillary glomerulonephritis complicating pulmonary tuberculosis.,CEN case reports,2022
33677558,Completion Rate and Safety of Programmatic Screening and Treatment for Latent Tuberculosis Infection in Elderly Patients With Poorly Controlled Diabetic Mellitus: A Prospective Multicenter Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2021
33007403,Intravesical BCG instillation as a possible cause of acute and chronic kidney injury.,Infectious diseases now,2021
32818551,Latent Tuberculosis Therapy Outcomes in Dialysis Patients: A Retrospective Cohort.,American journal of kidney diseases : the official journal of the National Kidney Foundation,2021
