PMID,Title,Journal,Year
40735451,Isolated splenic tuberculosis in a patient with rheumatoid arthritis.,IDCases,2025
38885547,"Novel isoniazid-hydrazone derivatives induce cell growth inhibition, cell cycle arrest and apoptosis via mitochondria-dependent caspase activation and PI3K/AKT inhibition.",Bioorganic chemistry,2024
38645328,"Design, Synthesis, and In Silico and In Vitro Cytotoxic Activities of Novel Isoniazid-Hydrazone Analogues Linked to Fluorinated Sulfonate Esters.",ACS omega,2024
38220180,[A case of pulmonary tuberculosis developed during chemotherapy for local advanced colon cancer].,Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology,2024
32769931,Intestinal tuberculosis in a patient with end-stage renal disease on hemodialysis: A case report.,Medicine,2020
32391058,Integrating Genome-Wide Association Studies and Gene Expression Profiles With Chemical-Genes Interaction Networks to Identify Chemicals Associated With Colorectal Cancer.,Frontiers in genetics,2020
30836914,Synthesis and Antibacterial Activity of Mefloquine-Based Analogs Against Sensitive and Resistant Mycobacterium tuberculosis Strains.,Current topics in medicinal chemistry,2019
27591998,Synthesis and evaluation of copper(II) complexes with isoniazid-derived hydrazones as anticancer and antitubercular agents.,"Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine",2016
25365228,"Caffeic Acid Phenethyl Ester: A Review of Its Antioxidant Activity, Protective Effects against Ischemia-reperfusion Injury and Drug Adverse Reactions.",Critical reviews in food science and nutrition,2016
25153640,"Synthesis, spectral characterization, molecular structure and pharmacological studies of N'-(1, 4-naphtho-quinone-2yl) isonicotinohydrazide.","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2015
11471313,[Ileocecal tuberculosis during hemodialysis simulating carcinoma of the colon].,Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia,2001
7686075,Polymorphic N-acetylation of 2-aminofluorene by cell-free colon extracts from inbred mice.,Pharmacogenetics,1993
1510430,Epithelial cells in culture as a model for the intestinal transport of antimicrobial agents.,Antimicrobial agents and chemotherapy,1992
1617211,"Action of hydrazine drugs in tumor-free and 1,2-dimethylhydrazine-treated male rats.",Oncology research,1992
4317543,[Conservative treatment in carcinoid].,Klinicheskaia meditsina,1970
5194715,"Lupus vulgaris, isoniazid, and cancer. The frequency of cancer deaths in 245 isoniazid-treated lupus vulgaris patients with an average observation period of 12 years.",Scandinavian journal of respiratory diseases,1968
