PMID,Title,Journal,Year
40915311,"A 3-month clofazimine-rifapentine-containing regimen for drug-susceptible tuberculosis versus standard of care (Clo-Fast): a randomised, open-label, phase 2c clinical trial.",The Lancet. Infectious diseases,2025
40817073,"ACTG A5409 (RAD-TB): Study protocol for a phase 2 randomized, adaptive, dose-ranging, open-label trial of novel regimens for the treatment of pulmonary tuberculosis.",Trials,2025
40803739,"ThiPhiSA: new pathways to TB prevention from community screening - a household-randomised controlled trial in KwaZulu-Natal, South Africa.",BMJ open,2025
40741959,"Pharmacokinetics of first-line tuberculosis drugs rifampin, isoniazid, ethambutol, and pyrazinamide during pregnancy and postpartum with and without efavirenz-based antiretroviral treatment: IMPAACT P1026s study.",Antimicrobial agents and chemotherapy,2025
40559715,Unmasking Bacillus Calmette-Guerin Immune Reconstitution Inflammatory Syndrome in a Perinatal HIV Transmission-A Case Report.,Tropical medicine and infectious disease,2025
40540663,Molecular Characterization of Mycobacterium Tuberculosis in HIV Patients Receiving Antiretroviral Drugs in Cameroon.,International journal of mycobacteriology,2025
40522414,"An Update on the Clinical Management of HIV and Tuberculosis Co-Infection in Pregnancy: TB Preventative Therapy, Long-Acting ARVs, and Bedaquiline-Based Regimens.",Current HIV/AIDS reports,2025
40425522,"Tuberculosis Diagnosis, Treatment, and Prevention Services for Children Living with HIV in Low- and Middle-Income Countries: A Multiregional Site Survey.",Journal of the Pediatric Infectious Diseases Society,2025
40414233,"Efficacy and safety of 8-week regimens for the treatment of rifampicin-susceptible pulmonary tuberculosis (TRUNCATE-TB): a prespecified exploratory analysis of a multi-arm, multi-stage, open-label, randomised controlled trial.",The Lancet. Infectious diseases,2025
40370442,Acute-phase proteins as biomarkers of inflammation in HIV patients with latent tuberculosis: a prospective study.,Frontiers in immunology,2025
40349709,"Simultaneous initiation of dolutegravir-based antiretroviral therapy and once-weekly rifapentine and isoniazid for tuberculosis prevention in antiretroviral-naive people with HIV: an open-label, non-randomised, phase 1/2 trial.",The lancet. HIV,2025
40312113,Tuberculosis preventive treatment care pathways in people living with HIV: a systematic review and meta-analysis.,The European respiratory journal,2025
40237651,Hepatotoxicity Among People Living with HIV and Receiving Isoniazid Preventive Therapy in Pregnancy and Postpartum: The Role of Antiretroviral Regimen and Pharmacogenetics.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
40221651,Incidence and predictors of common opportunistic infections among children less than 15 years of age on antiretroviral therapy in Ethiopia: a systematic review and meta-analysis.,BMC infectious diseases,2025
40182420,"Incidence and Risk Factors of Tuberculosis among Children Receiving Antiretroviral Therapy in Northwest, Ethiopia.",International journal of public health,2025
40162275,Predicted choice and acceptability of regimens for tuberculosis preventive treatment among people living with HIV in Uganda - a discrete choice experiment.,medRxiv : the preprint server for health sciences,2025
40147460,Tuberculosis disease among people with HIV: therapeutic advances.,The lancet. HIV,2025
40063565,"Tuberculosis screening, isoniazid preventive therapy coverage and factors associated with active TB diagnosis among people living with HIV at public health facilities of central Ethiopia.",PloS one,2025
40053000,Eradicating latent tuberculosis: use of interferon gamma release assay and isoniazid/rifapentine in people living with HIV/AIDS.,Revista do Instituto de Medicina Tropical de Sao Paulo,2025
40052661,Urine metabolite-determined isoniazid adherence under programmatic conditions in people living with HIV.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,2025
